
Dunn Index
           comp       ave      cent
sin   0.0509915 0.1182866 0.1609505
comp  1.3824363 3.2068819 4.3635466
ave   0.6204407 1.4392562 1.9583701
cent  0.5350651 1.2412077 1.6888890
aveto 0.5677895 1.3171196 1.7921810
haus  0.5892351 1.3668677 1.8598723

Davies Index
           comp        ave      cent
sin   24.624657 11.0941766 8.1226735
comp   1.179387  0.5304789 0.3877669
ave    2.559000  1.1508574 0.8413026
cent   2.898293  1.3052329 0.9546376
aveto  2.746789  1.2363650 0.9040941
haus   2.656730  1.1988219 0.8771494

Silhouette Coefficient
[1] 0.5430665
