
Dunn Index
            comp       ave      cent
sin   0.04738155 0.1304527 0.1750752
comp  0.89526185 2.4648693 3.3079996
ave   0.48446157 1.3338382 1.7900894
cent  0.35378826 0.9740634 1.3072504
aveto 0.42855015 1.1799007 1.5834962
haus  0.41645885 1.1466105 1.5388188

Davies Index
           comp        ave      cent
sin   25.648698 11.5587862 8.4897902
comp   1.370071  0.6103777 0.4474258
ave    2.798075  1.2436562 0.9111936
cent   3.469267  1.5466321 1.1336771
aveto  3.070667  1.3670050 1.0018192
haus   3.008942  1.3451231 0.9862317

Silhouette Coefficient
[1] 0.4994763
