
Dunn Index
            comp       ave     cent
sin   0.04738155 0.1359018 0.191618
comp  0.78802993 2.2602608 3.186910
ave   0.46860626 1.3440763 1.895113
cent  0.39035224 1.1196248 1.578642
aveto 0.44085858 1.2644892 1.782897
haus  0.35162095 1.0085341 1.422007

Davies Index
           comp      ave      cent
sin   19.099175 8.708478 6.3516257
comp   1.276493 0.576718 0.4161633
ave    2.432015 1.115920 0.8081602
cent   2.787894 1.284852 0.9314821
aveto  2.580108 1.185305 0.8589005
haus   2.786813 1.255594 0.9073763

Silhouette Coefficient
[1] 0.5234867
