sex,index,FL,RW,CL,CW,BD
0,1,8,6,16,19,7
0,2,8,7,18,20,7
0,3,9,7,19,22,7
0,4,9,7,20,23,8
0,5,9,8,20,23,8
0,6,10,9,23,26,9
0,7,11,9,23,27,9
0,8,11,9,24,28,10
0,9,11,9,24,27,9
0,10,11,10,25,29,10
0,11,12,10,27,31,10
0,12,12,11,26,31,11
0,13,12,10,27,31,11
0,14,12,10,27,31,10
0,15,12,10,27,31,11
0,16,12,11,26,30,11
0,17,13,10,28,32,11
0,18,13,10,28,32,11
0,19,13,11,27,32,11
0,20,13,11,29,33,12
0,21,14,11,31,35,12
0,22,14,11,31,36,13
0,23,15,10,31,36,13
0,24,15,11,32,37,13
0,25,15,11,32,37,13
0,26,15,12,32,36,13
0,27,15,11,33,37,13
0,28,15,12,35,40,14
0,29,15,12,34,38,14
0,30,16,11,33,39,14
0,31,16,12,34,40,15
0,32,16,13,36,41,15
0,33,16,12,35,40,14
0,34,16,13,35,41,15
0,35,16,13,38,43,14
0,36,16,12,36,41,14
0,37,16,13,37,42,15
0,38,17,12,36,42,15
0,39,17,12,36,41,15
0,40,17,13,37,43,16
0,41,17,13,38,44,16
0,42,17,14,39,44,16
0,43,18,13,39,44,16
0,44,18,15,42,49,17
0,45,19,13,41,47,17
0,46,19,13,40,46,16
0,47,19,15,41,48,17
0,48,19,14,43,49,18
0,49,19,14,42,48,18
0,50,21,15,47,54,20
1,1,7,6,14,17,6
1,2,9,8,19,22,7
1,3,9,8,18,21,7
1,4,9,8,19,22,7
1,5,9,8,19,22,7
1,6,9,8,20,23,8
1,7,10,9,20,24,8
1,8,10,9,21,24,8
1,9,10,9,21,25,8
1,10,10,9,22,26,9
1,11,11,9,22,25,8
1,12,11,10,22,26,9
1,13,11,11,24,29,10
1,14,11,11,24,28,10
1,15,11,11,23,27,10
1,16,11,10,24,28,10
1,17,11,11,26,30,10
1,18,12,10,24,28,10
1,19,12,11,25,29,11
1,20,12,12,26,31,11
1,21,12,11,27,31,11
1,22,12,12,26,31,11
1,23,12,12,27,31,11
1,24,13,11,27,31,11
1,25,13,11,27,32,11
