      support confidence      lift      leverage   jaccard
1   0.9696002  0.9696002 1.0000000 -1.110223e-16 0.9696002
2   0.9797244  0.9797244 1.0000000  0.000000e+00 0.9797244
3   0.3133623  0.9761287 1.0067332  2.095833e-03 0.3206529
4   0.3161761  0.9848937 1.0052763  1.659490e-03 0.3211299
5   0.3414188  0.9754181 0.9956046 -1.507309e-03 0.3454507
6   0.6389118  0.9829761 1.0137952  8.694007e-03 0.6515084
7   0.6383056  0.9820434 1.0023670  1.507309e-03 0.6438454
8   0.6562378  0.9665134 0.9968165 -2.095833e-03 0.6613056
9   0.6635483  0.9772803 0.9975053 -1.659490e-03 0.6667818
10  0.7895718  0.9835787 1.0597364  4.450746e-02 0.8387943
11  0.7843604  0.9770868 1.0077213  6.009877e-03 0.7938919
12  0.7912365  0.9856525 1.0060507  4.758764e-03 0.7982274
13  0.8761117  0.9715851 1.0020471  1.789858e-03 0.8803171
14  0.8830693  0.9793009 0.9995677 -3.819263e-04 0.8844937
15  0.9007392  0.9704827 1.0009102  8.191147e-04 0.9034530
16  0.9114696  0.9820440 1.0023676  2.152877e-03 0.9147719
17  0.9500303  0.9798165 1.0000940  8.933583e-05 0.9507012
18  0.9500303  0.9696914 1.0000940  8.933583e-05 0.9507012
19  0.2158115  0.9855797 1.0164805  3.499021e-03 0.2218554
20  0.2160468  0.9866540 1.0070730  1.517365e-03 0.2198621
21  0.2550237  0.9851461 1.0614252  1.475834e-02 0.2736363
22  0.2543360  0.9824899 1.0132938  3.336736e-03 0.2610896
23  0.2564170  0.9905284 1.0110276  2.796829e-03 0.2610702
24  0.2827816  0.9774213 1.0080663  2.262748e-03 0.2896959
25  0.2848444  0.9845514 1.0049269  1.396514e-03 0.2894190
26  0.2928877  0.9772384 1.0078777  2.289252e-03 0.2999602
27  0.2959458  0.9874419 1.0078772  2.313002e-03 0.3009144
28  0.3086667  0.9850152 1.0054002  1.657921e-03 0.3135518
29  0.3086667  0.9762491 1.0068573  2.102218e-03 0.3158977
30  0.2412895  0.9730726 0.9932105 -1.649434e-03 0.2446159
31  0.2867082  0.9833670 1.0595083  1.610324e-02 0.3073022
32  0.2799678  0.9602483 0.9903549 -2.726628e-03 0.2853349
33  0.2863282  0.9820636 1.0023876  6.820130e-04 0.2907022
34  0.3236947  0.9754083 0.9955945 -1.432335e-03 0.3276642
35  0.3216590  0.9780468 0.9982876 -5.517416e-04 0.3259140
36  0.3225456  0.9753762 0.9955618 -1.437904e-03 0.3265071
37  0.4231002  0.9816533 1.0124310  5.194986e-03 0.4328357
38  0.4222588  0.9797011 0.9999762 -1.005639e-05 0.4271828
39  0.5028636  0.9836994 1.0598665  2.840422e-02 0.5369789
40  0.5043926  0.9866905 1.0176261  8.736506e-03 0.5165819
41  0.5049083  0.9876993 1.0081400  4.076751e-03 0.5120709
42  0.5627675  0.9875212 1.0184829  1.021283e-02 0.5761859
43  0.5593746  0.9815676 1.0018814  1.050409e-03 0.5648944
44  0.5892225  0.9832563 1.0140843  8.183531e-03 0.6014722
45  0.5898106  0.9842377 1.0046067  2.704618e-03 0.5962682
46  0.6274847  0.9821148 1.0024398  1.527240e-03 0.6330866
47  0.6274847  0.9830475 1.0138689  8.583484e-03 0.6400155
48  0.5345481  0.9828326 1.0589326  2.974911e-02 0.5702015
49  0.5300243  0.9745151 1.0050690  2.673141e-03 0.5389378
50  0.5348195  0.9833317 1.0036819  1.961935e-03 0.5408828
51  0.5933301  0.9688280 0.9992036 -4.728902e-04 0.6001171
52  0.5982249  0.9768205 0.9970359 -1.778440e-03 0.6018843
53  0.6078515  0.9672608 0.9975873 -1.470137e-03 0.6138833
54  0.6155238  0.9794696 0.9997399 -1.601252e-04 0.6200963
55  0.6413636  0.9773341 0.9975603 -1.568585e-03 0.6448467
56  0.6413636  0.9665667 0.9968714 -2.012882e-03 0.6466762
57  0.7096094  0.9834731 1.0596227  3.992821e-02 0.7548555
58  0.7060447  0.9785326 1.0092125  6.445073e-03 0.7167314
59  0.7112561  0.9857553 1.0061557  4.351497e-03 0.7184387
60  0.7718657  0.9775751 1.0082249  6.296753e-03 0.7817895
61  0.7718657  0.9840702 1.0602660  4.387321e-02 0.8205839
62  0.7784252  0.9858827 1.0062858  4.862435e-03 0.7855969
