        support confidence      lift      leverage    jaccard
1    0.90173442  0.9017344 1.0000000  0.000000e+00 0.90173442
2    0.92813521  0.9281352 1.0000000  0.000000e+00 0.92813521
3    0.96960019  0.9696002 1.0000000 -1.110223e-16 0.96960019
4    0.97972441  0.9797244 1.0000000  0.000000e+00 0.97972441
5    0.05174301  1.0000000 8.1347612  4.538228e-02 0.42091705
6    0.05174301  1.0000000 1.4728096  1.661083e-02 0.07620761
7    0.05053064  0.9765693 0.9967796 -1.632534e-04 0.05151264
8    0.05139921  0.9786391 1.2191020  9.237676e-03 0.06393922
9    0.05144444  0.9795004 1.0862405  4.084357e-03 0.05698251
10   0.05203254  0.9906977 1.0674066  3.285850e-03 0.05603188
11   0.05244872  0.9986219 1.0299316  1.524251e-03 0.05408911
12   0.05246682  0.9989664 1.0196402  1.010611e-03 0.05354966
13   0.05161635  0.8999842 0.9980591 -1.003780e-04 0.05687936
14   0.05307300  0.9253826 0.9970342 -1.578716e-04 0.05691996
15   0.05546156  0.9670295 0.9973487 -1.474354e-04 0.05708911
16   0.05604061  0.9771257 0.9973475 -1.490409e-04 0.05712389
17   0.06521483  0.9340417 1.1635465  9.166509e-03 0.08077548
18   0.06838148  0.9793961 1.0861248  5.422345e-03 0.07571250
19   0.06754911  0.9674744 1.0423852  2.746665e-03 0.07260174
20   0.06972957  0.9987042 1.0300165  2.032041e-03 0.07190908
21   0.06976576  0.9992225 1.0199016  1.361357e-03 0.07120563
22   0.06442770  0.8993433 0.9973483 -1.712986e-04 0.07088182
23   0.06652673  0.9286436 1.0005478  3.642036e-05 0.07128523
24   0.06953052  0.9705734 1.0010037  6.971790e-05 0.07155493
25   0.07010052  0.9785299 0.9987808 -8.557084e-05 0.07143911
26   0.06671673  0.9283646 1.0295322  1.913772e-03 0.07356712
27   0.06886100  0.9582022 0.9882446 -8.191147e-04 0.07080066
28   0.06825482  0.9497671 0.9694227 -2.152877e-03 0.06941160
29   0.09311752  0.9476107 1.0209835  1.913772e-03 0.09977412
30   0.09348847  0.9513857 0.9812144 -1.789858e-03 0.09594689
31   0.09665512  0.9836111 1.0039671  3.819263e-04 0.09849351
32   0.10772029  0.8910343 0.9881338 -1.293578e-03 0.11773897
33   0.11304930  0.9351145 1.0075197  8.437519e-04 0.12078182
34   0.11759118  0.9726837 1.0031802  3.727803e-04 0.12086635
35   0.11870403  0.9818889 1.0022093  2.616774e-04 0.12089046
36   0.11092312  0.9023331 1.0006639  7.359708e-05 0.12139455
37   0.11418929  0.9289026 1.0008268  9.433845e-05 0.12188315
38   0.11912021  0.9690145 0.9993959 -7.199831e-05 0.12237424
39   0.12054068  0.9805697 1.0008627  1.039061e-04 0.12273607
40   0.11638785  0.8977598 0.9955922 -5.152811e-04 0.12720135
41   0.11940974  0.9210692 0.9923868 -9.160601e-04 0.12725257
42   0.12503732  0.9644776 0.9947168 -6.641010e-04 0.12834801
43   0.12688302  0.9787145 0.9989692 -1.309281e-04 0.12914514
44   0.14018294  0.9020727 1.0003751  5.256308e-05 0.15287919
45   0.14336768  0.9225664 0.9940000 -8.654022e-04 0.15249148
46   0.15026193  0.9669306 0.9972467 -4.148564e-04 0.15415603
47   0.15185430  0.9771775 0.9974003 -3.957991e-04 0.15443788
48   0.14240864  0.8707679 1.2824753  3.136663e-02 0.20340911
49   0.14757480  0.9023567 1.0006901  1.017730e-04 0.16080883
50   0.15095859  0.9230471 0.9945180 -8.321224e-04 0.16047127
51   0.15841378  0.9686324 0.9990019 -1.582690e-04 0.16252065
52   0.15997901  0.9782031 0.9984472 -2.487940e-04 0.16269783
53   0.15885711  0.8989351 0.9968956 -4.946904e-04 0.17274695
54   0.16379708  0.9268892 0.9986575 -2.201893e-04 0.17405684
55   0.17101704  0.9677452 0.9980869 -3.278011e-04 0.17534811
56   0.17307988  0.9794184 0.9996876 -5.407910e-05 0.17600839
57   0.17040180  0.8989118 0.9968698 -5.350686e-04 0.18503891
58   0.17600224  0.9284555 1.0003451  6.071953e-05 0.18689892
59   0.18384648  0.9698358 1.0002430  4.466653e-05 0.18849897
60   0.18557457  0.9789519 0.9992115 -1.464426e-04 0.18864679
61   0.19412451  1.0000000 1.4728096  6.231894e-02 0.28590845
62   0.17568558  0.9050149 1.0036380  6.368248e-04 0.19092661
63   0.18077031  0.9312081 1.0033108  5.965149e-04 0.19200461
64   0.18828883  0.9699385 1.0003489  6.567049e-05 0.19303046
65   0.19015263  0.9795395 0.9998113 -3.589139e-05 0.19330421
66   0.17649081  0.9007249 0.9988805 -1.978004e-04 0.19159071
67   0.18138554  0.9257053 0.9973820 -4.761205e-04 0.19241216
68   0.18974549  0.9683705 0.9987318 -2.409481e-04 0.19445166
69   0.19217024  0.9807453 1.0010420  2.000274e-04 0.19539479
70   0.17743176  0.9028174 1.0012010  2.128437e-04 0.19268597
71   0.18217268  0.9269404 0.9987127 -2.348111e-04 0.19328796
