     support confidence      lift      leverage   jaccard
1  0.9696002  0.9696002 1.0000000 -1.110223e-16 0.9696002
2  0.9797244  0.9797244 1.0000000  0.000000e+00 0.9797244
3  0.8761117  0.9715851 1.0020471  1.789858e-03 0.8803171
4  0.8830693  0.9793009 0.9995677 -3.819263e-04 0.8844937
5  0.9007392  0.9704827 1.0009102  8.191147e-04 0.9034530
6  0.9114696  0.9820440 1.0023676  2.152877e-03 0.9147719
7  0.9500303  0.9798165 1.0000940  8.933583e-05 0.9507012
8  0.9500303  0.9696914 1.0000940  8.933583e-05 0.9507012
9  0.8120731  0.9725220 1.0030134  2.439761e-03 0.8181727
10 0.8198178  0.9817969 1.0021154  1.730569e-03 0.8240001
11 0.8581161  0.9794597 0.9997298 -2.319219e-04 0.8600771
12 0.8581161  0.9717427 1.0022097  1.891962e-03 0.8628156
13 0.8846526  0.9821407 1.0024663  2.176450e-03 0.8883740
14 0.8846526  0.9705783 1.0010088  8.915273e-04 0.8878336
