      support confidence      lift      leverage   jaccard
1   0.9695829  0.9695829 1.0000000  1.110223e-16 0.9695829
2   0.9797491  0.9797491 1.0000000  1.110223e-16 0.9797491
3   0.3131518  0.9760998 1.0067214  2.090757e-03 0.3204417
4   0.3159944  0.9849601 1.0053187  1.671795e-03 0.3209452
5   0.3414778  0.9754590 0.9956213 -1.501811e-03 0.3455063
6   0.6388597  0.9829652 1.0138021  8.697574e-03 0.6514627
7   0.6382713  0.9820598 1.0023585  1.501811e-03 0.6438022
8   0.6564311  0.9665045 0.9968251 -2.090757e-03 0.6615032
9   0.6637547  0.9772876 0.9974876 -1.671795e-03 0.6669729
10  0.7898954  0.9835761 1.0596874  4.449122e-02 0.8390953
11  0.7846810  0.9770831 1.0077356  6.023376e-03 0.7942219
12  0.7915611  0.9856502 1.0060231  4.739114e-03 0.7985297
13  0.8760863  0.9715685 1.0020480  1.790551e-03 0.8802940
14  0.8830841  0.9793290 0.9995712 -3.788041e-04 0.8845094
15  0.9007640  0.9704672 1.0009121  8.208134e-04 0.9034795
16  0.9115277  0.9820638 1.0023626  2.148474e-03 0.9148238
17  0.9500380  0.9798420 1.0000949  9.013648e-05 0.9507093
18  0.9500380  0.9696749 1.0000949  9.013648e-05 0.9507093
19  0.2156268  0.9855594 1.0164778  3.495453e-03 0.2216690
20  0.2158803  0.9867180 1.0071130  1.524703e-03 0.2196908
21  0.2550967  0.9851419 1.0613744  1.475107e-02 0.2737021
22  0.2544087  0.9824850 1.0133069  3.340927e-03 0.2611682
23  0.2564908  0.9905258 1.0109995  2.790574e-03 0.2611385
24  0.2825989  0.9773944 1.0080566  2.258594e-03 0.2895127
25  0.2846900  0.9846269 1.0049787  1.410367e-03 0.2892621
26  0.2927198  0.9772130 1.0078695  2.285569e-03 0.2997923
27  0.2958068  0.9875185 1.0079300  2.327305e-03 0.3007732
28  0.3084806  0.9850833 1.0054445  1.670414e-03 0.3133627
29  0.3084806  0.9762219 1.0068473  2.097887e-03 0.3157115
30  0.2413637  0.9731012 0.9932147 -1.648903e-03 0.2446863
31  0.2868446  0.9833654 1.0594604  1.609866e-02 0.3074341
32  0.2801003  0.9602446 0.9903687 -2.723952e-03 0.2854731
33  0.2864644  0.9820619 1.0023607  6.746618e-04 0.2908322
34  0.3237616  0.9754528 0.9956149 -1.425980e-03 0.3277282
35  0.3217247  0.9780658 0.9982820 -5.536807e-04 0.3259741
36  0.3225938  0.9754195 0.9955809 -1.431891e-03 0.3265521
37  0.4232329  0.9816487 1.0124444  5.202122e-03 0.4329771
38  0.4223910  0.9796960 0.9999458 -2.289127e-05 0.4273037
39  0.5030508  0.9836962 1.0598168  2.839255e-02 0.5371529
40  0.5045807  0.9866879 1.0176417  8.747327e-03 0.5167816
41  0.5050967  0.9876969 1.0081122  4.064453e-03 0.5122473
42  0.5626992  0.9875127 1.0184923  1.021670e-02 0.5761238
43  0.5593225  0.9815868 1.0018757  1.047176e-03 0.5648346
44  0.5891965  0.9832462 1.0140920  8.187580e-03 0.6014527
45  0.5898030  0.9842584 1.0046025  2.702155e-03 0.5962533
46  0.6274442  0.9821315 1.0024317  1.522027e-03 0.6330374
47  0.6274442  0.9830369 1.0138761  8.587337e-03 0.6399815
48  0.5347987  0.9828309 1.0588846  2.974014e-02 0.5704409
49  0.5302723  0.9745125 1.0050843  2.682449e-03 0.5391951
50  0.5350702  0.9833300 1.0036550  1.948541e-03 0.5411200
51  0.5934875  0.9688188 0.9992120 -4.680431e-04 0.6002802
52  0.5983940  0.9768284 0.9970190 -1.789172e-03 0.6020402
53  0.6080442  0.9672528 0.9975968 -1.464755e-03 0.6140814
54  0.6157210  0.9794646 0.9997096 -1.788309e-04 0.6202749
55  0.6415574  0.9773417 0.9975429 -1.580277e-03 0.6450259
56  0.6415574  0.9665580 0.9968803 -2.007751e-03 0.6468747
57  0.7099055  0.9834707 1.0595738  3.991395e-02 0.7551325
58  0.7063387  0.9785294 1.0092272  6.457961e-03 0.7170361
59  0.7115531  0.9857532 1.0061282  4.333985e-03 0.7187166
60  0.7721792  0.9775715 1.0082392  6.310186e-03 0.7821128
61  0.7721792  0.9840677 1.0602170  4.385736e-02 0.8208756
62  0.7787424  0.9858805 1.0062581  4.843170e-03 0.7858924
63  0.7787424  0.9838059 1.0599349  4.403467e-02 0.8275739
64  0.7734828  0.9857290 1.0061035  4.692310e-03 0.7805489
65  0.7734828  0.9771612 1.0078161  5.998743e-03 0.7831459
66  0.8120926  0.9725074 1.0030163  2.442145e-03 0.8181959
67  0.8198689  0.9818198 1.0021135  1.729139e-03 0.8240464
68  0.8581167  0.9794887 0.9997343 -2.280823e-04 0.8600788
69  0.8581167  0.9717270 1.0022114  1.893490e-03 0.8628188
70  0.8846955  0.9821612 1.0024620  2.172737e-03 0.8884111
71  0.8846955  0.9705634 1.0010113  8.938043e-04 0.8878784
72  0.2010881  0.9857549 1.0166793  3.298994e-03 0.2067768
73  0.2017580  0.9890388 1.0094817  1.895049e-03 0.2054594
74  0.2127933  0.9868592 1.0072571  1.533144e-03 0.2165653
75  0.2127933  0.9857005 1.0166233  3.479484e-03 0.2187724
76  0.2289615  0.9850828 1.0613107  1.322683e-02 0.2457610
77  0.2287261  0.9840701 1.0149417  3.367254e-03 0.2350041
78  0.2302289  0.9905355 1.0110094  2.507088e-03 0.2344611
79  0.2506971  0.9827531 1.0135834  3.359691e-03 0.2573938
80  0.2506971  0.9854108 1.0616641  1.456111e-02 0.2690208
81  0.2527339  0.9907378 1.0112159  2.803187e-03 0.2573372
82  0.2527339  0.9853528 1.0616016  1.466539e-02 0.2711934
83  0.2520278  0.9906416 1.0111177  2.771149e-03 0.2566135
84  0.2520278  0.9825998 1.0134253  3.338727e-03 0.2587433
85  0.2636968  0.9785997 1.0092998  2.429723e-03 0.2703613
86  0.2660505  0.9873345 1.0077423  2.044010e-03 0.2706070
87  0.2782988  0.9847839 1.0051389  1.422849e-03 0.2828099
88  0.2782988  0.9775502 1.0082173  2.268237e-03 0.2851498
89  0.2891078  0.9876604 1.0080749  2.315815e-03 0.2939996
