     support confidence      lift      leverage   jaccard
1  0.9695829  0.9695829 1.0000000  1.110223e-16 0.9695829
2  0.9797491  0.9797491 1.0000000  1.110223e-16 0.9797491
3  0.6388597  0.9829652 1.0138021  8.697574e-03 0.6514627
4  0.6382713  0.9820598 1.0023585  1.501811e-03 0.6438022
5  0.6564311  0.9665045 0.9968251 -2.090757e-03 0.6615032
6  0.6637547  0.9772876 0.9974876 -1.671795e-03 0.6669729
7  0.7898954  0.9835761 1.0596874  4.449122e-02 0.8390953
8  0.7846810  0.9770831 1.0077356  6.023376e-03 0.7942219
9  0.7915611  0.9856502 1.0060231  4.739114e-03 0.7985297
10 0.8760863  0.9715685 1.0020480  1.790551e-03 0.8802940
11 0.8830841  0.9793290 0.9995712 -3.788041e-04 0.8845094
12 0.9007640  0.9704672 1.0009121  8.208134e-04 0.9034795
13 0.9115277  0.9820638 1.0023626  2.148474e-03 0.9148238
14 0.9500380  0.9798420 1.0000949  9.013648e-05 0.9507093
15 0.9500380  0.9696749 1.0000949  9.013648e-05 0.9507093
16 0.5030508  0.9836962 1.0598168  2.839255e-02 0.5371529
17 0.5045807  0.9866879 1.0176417  8.747327e-03 0.5167816
18 0.5050967  0.9876969 1.0081122  4.064453e-03 0.5122473
19 0.5626992  0.9875127 1.0184923  1.021670e-02 0.5761238
20 0.5593225  0.9815868 1.0018757  1.047176e-03 0.5648346
21 0.5891965  0.9832462 1.0140920  8.187580e-03 0.6014527
22 0.5898030  0.9842584 1.0046025  2.702155e-03 0.5962533
23 0.6274442  0.9821315 1.0024317  1.522027e-03 0.6330374
24 0.6274442  0.9830369 1.0138761  8.587337e-03 0.6399815
25 0.5347987  0.9828309 1.0588846  2.974014e-02 0.5704409
26 0.5302723  0.9745125 1.0050843  2.682449e-03 0.5391951
27 0.5350702  0.9833300 1.0036550  1.948541e-03 0.5411200
28 0.5934875  0.9688188 0.9992120 -4.680431e-04 0.6002802
29 0.5983940  0.9768284 0.9970190 -1.789172e-03 0.6020402
30 0.6080442  0.9672528 0.9975968 -1.464755e-03 0.6140814
31 0.6157210  0.9794646 0.9997096 -1.788309e-04 0.6202749
32 0.6415574  0.9773417 0.9975429 -1.580277e-03 0.6450259
33 0.6415574  0.9665580 0.9968803 -2.007751e-03 0.6468747
34 0.7099055  0.9834707 1.0595738  3.991395e-02 0.7551325
35 0.7063387  0.9785294 1.0092272  6.457961e-03 0.7170361
36 0.7115531  0.9857532 1.0061282  4.333985e-03 0.7187166
37 0.7721792  0.9775715 1.0082392  6.310186e-03 0.7821128
38 0.7721792  0.9840677 1.0602170  4.385736e-02 0.8208756
39 0.7787424  0.9858805 1.0062581  4.843170e-03 0.7858924
40 0.7787424  0.9838059 1.0599349  4.403467e-02 0.8275739
41 0.7734828  0.9857290 1.0061035  4.692310e-03 0.7805489
42 0.7734828  0.9771612 1.0078161  5.998743e-03 0.7831459
43 0.8120926  0.9725074 1.0030163  2.442145e-03 0.8181959
44 0.8198689  0.9818198 1.0021135  1.729139e-03 0.8240464
45 0.8581167  0.9794887 0.9997343 -2.280823e-04 0.8600788
46 0.8581167  0.9717270 1.0022114  1.893490e-03 0.8628188
47 0.8846955  0.9821612 1.0024620  2.172737e-03 0.8884111
48 0.8846955  0.9705634 1.0010113  8.938043e-04 0.8878784
49 0.5174084  0.9877983 1.0187869  9.541269e-03 0.5301456
50 0.5153896  0.9839443 1.0042819  2.197456e-03 0.5215655
51 0.5524243  0.9817401 1.0020322  1.120347e-03 0.5579909
52 0.5524243  0.9876669 1.0186514  1.011482e-02 0.5657297
53 0.5799537  0.9843128 1.0046581  2.688953e-03 0.5864089
54 0.5799537  0.9833006 1.0141481  8.090764e-03 0.5921325
55 0.5214821  0.9750999 1.0056901  2.950495e-03 0.5305549
56 0.5214821  0.9834232 1.0595227  2.929625e-02 0.5565647
57 0.5260085  0.9835635 1.0038933  2.039982e-03 0.5321068
58 0.5260085  0.9830643 1.0591360  2.936927e-02 0.5612329
59 0.5214550  0.9833720 1.0036979  1.921161e-03 0.5274860
60 0.5214550  0.9745542 1.0051273  2.660016e-03 0.5303661
61 0.5483959  0.9696048 1.0000227  1.242258e-05 0.5557462
62 0.5538184  0.9791923 0.9994318 -3.148712e-04 0.5585563
63 0.5798179  0.9769673 0.9971608 -1.650932e-03 0.5836591
64 0.5798179  0.9689566 0.9993541 -3.747465e-04 0.5867657
65 0.5955877  0.9795137 0.9997598 -1.430784e-04 0.6002664
66 0.5955877  0.9673013 0.9976469 -1.404780e-03 0.6017763
67 0.6949504  0.9789337 1.0096442  6.638203e-03 0.7058645
68 0.6949504  0.9838770 1.0600116  3.934396e-02 0.7396520
69 0.6999837  0.9860238 1.0064044  4.454470e-03 0.7072894
70 0.6999837  0.9837407 1.0598647  3.953743e-02 0.7448655
71 0.6963536  0.9858635 1.0062408  4.318870e-03 0.7035763
72 0.6963536  0.9786389 1.0093402  6.443895e-03 0.7071142
73 0.7613431  0.9859668 1.0063463  4.801246e-03 0.7685791
74 0.7613431  0.9776571 1.0083276  6.287790e-03 0.7713848
75 0.7613431  0.9843051 1.0604729  4.341516e-02 0.8096678
76 0.7974544  0.9819747 1.0022716  1.807387e-03 0.8019555
77 0.7974544  0.9726608 1.0031745  2.523533e-03 0.8038876
78 0.5091614  0.9840609 1.0044010  2.230976e-03 0.5153475
79 0.5091614  0.9879154 1.0189077  9.448410e-03 0.5217827
80 0.5129363  0.9836125 1.0039433  2.014733e-03 0.5190115
81 0.5129363  0.9751484 1.0057402  2.927546e-03 0.5219903
82 0.5129363  0.9836638 1.0597819  2.893453e-02 0.5476027
83 0.5370528  0.9793159 0.9995579 -2.375296e-04 0.5418798
84 0.5370528  0.9697272 1.0001489  7.993513e-05 0.5444858
85 0.6853183  0.9861399 1.0065229  4.441302e-03 0.6926737
86 0.6853183  0.9790489 1.0097630  6.626098e-03 0.6962860
87 0.6853183  0.9841528 1.0603087  3.897984e-02 0.7296745
