        support confidence      lift      leverage    jaccard
1    0.80308517  0.8030852 1.0000000  0.000000e+00 0.80308517
2    0.90172364  0.9017236 1.0000000 -1.110223e-16 0.90172364
3    0.92817570  0.9281757 1.0000000 -1.110223e-16 0.92817570
4    0.96958285  0.9695829 1.0000000  1.110223e-16 0.96958285
5    0.97974906  0.9797491 1.0000000  1.110223e-16 0.97974906
6    0.05142852  0.9786391 1.2185994  9.225545e-03 0.06394930
7    0.05147378  0.9795004 1.0862535  4.087253e-03 0.05701565
8    0.05206221  0.9906977 1.0673601  3.285596e-03 0.05606137
9    0.05247864  0.9986219 1.0299500  1.526032e-03 0.05412092
10   0.05249674  0.9989664 1.0196146  1.009892e-03 0.05357885
11   0.05277738  0.9089492 1.0080130  4.195447e-04 0.05818828
12   0.05402665  0.9304646 1.0024660  1.329038e-04 0.05795525
13   0.05603636  0.9650764 0.9953522 -2.616636e-04 0.05767367
14   0.05696879  0.9811350 1.0014146  8.047453e-05 0.05808137
15   0.05568330  0.8986121 0.9965494 -1.928077e-04 0.06132480
16   0.05724037  0.9237400 0.9952210 -2.748645e-04 0.06135737
17   0.05988376  0.9663988 0.9967161 -1.973006e-04 0.06163005
18   0.06042693  0.9751644 0.9953205 -2.840953e-04 0.06157919
19   0.05097588  0.7864525 0.9792891 -1.078087e-03 0.06239957
20   0.05857112  0.9036313 1.0021156  1.236489e-04 0.06450777
21   0.05965744  0.9203911 0.9916130 -5.045805e-04 0.06391853
22   0.06277158  0.9684358 0.9988169 -7.435191e-05 0.06460449
23   0.06352296  0.9800279 1.0002846  1.807594e-05 0.06475039
24   0.06525203  0.9340417 1.1630668  9.148607e-03 0.08078816
25   0.06842048  0.9793961 1.0861378  5.426190e-03 0.07575651
26   0.06758763  0.9674744 1.0423397  2.745403e-03 0.07263988
27   0.06976934  0.9987042 1.0300349  2.034411e-03 0.07195138
28   0.06980555  0.9992225 1.0198759  1.360412e-03 0.07124444
29   0.05863449  0.8163600 4.1457515  4.449122e-02 0.27907277
30   0.06667331  0.9282833 1.0294544  1.907632e-03 0.07351987
31   0.06881880  0.9581548 0.9882134 -8.208134e-04 0.07075841
32   0.06822132  0.9498361 0.9694688 -2.148474e-03 0.06937629
33   0.05958502  0.7895873 0.9831925 -1.018594e-03 0.07275662
34   0.06758763  0.8956334 0.9932460 -4.595909e-04 0.07430482
35   0.06958828  0.9221449 0.9935025 -4.551039e-04 0.07450159
36   0.07304642  0.9679702 0.9983368 -1.216925e-04 0.07515065
37   0.07375253  0.9773273 0.9975281 -1.827577e-04 0.07514573
38   0.06301601  0.8122520 1.0114146  7.111829e-04 0.07706956
39   0.07002281  0.9025671 1.0009354  6.543687e-05 0.07700885
40   0.07220452  0.9306884 1.0027072  1.949440e-04 0.07734378
41   0.07524623  0.9698950 1.0003219  2.421577e-05 0.07742032
42   0.07603382  0.9800467 1.0003038  2.308959e-05 0.07748298
43   0.06230084  0.7924007 0.9866957 -8.400446e-04 0.07603160
44   0.07125398  0.9062752 1.0050476  3.578560e-04 0.07837924
45   0.07280200  0.9259643 0.9976175 -1.738658e-04 0.07794675
46   0.07601572  0.9668394 0.9971705 -2.156997e-04 0.07819018
47   0.07691194  0.9782383 0.9984581 -1.187769e-04 0.07836482
48   0.08011660  0.8152174 1.2543134  1.624373e-02 0.11991870
49   0.08124819  0.8267318 1.0294447  2.323901e-03 0.09906946
50   0.09312536  0.9475866 1.0209130  1.907632e-03 0.09977788
51   0.09349652  0.9513633 0.9812089 -1.790551e-03 0.09595659
52   0.09666498  0.9836035 1.0039341  3.788041e-04 0.09850099
53   0.17988666  0.9135252 1.0130878  2.323901e-03 0.19579462
54   0.18490187  0.9389941 0.9684517 -6.023376e-03 0.18836864
55   0.18818801  0.9556822 0.9754357 -4.739114e-03 0.19038199
56   0.25894409  0.8071334 1.0050408  1.298746e-03 0.29937099
57   0.28913492  0.9012387 0.9994623 -1.555622e-04 0.30976258
58   0.29954555  0.9336889 1.0059398  1.768735e-03 0.31549390
59   0.31315180  0.9760998 1.0067214  2.090757e-03 0.32044168
60   0.31599435  0.9849601 1.0053187  1.671795e-03 0.32094520
61   0.29169684  0.8332558 1.0375684  1.056178e-02 0.33860866
62   0.33190904  0.9481252 1.0514587  1.624373e-02 0.36081642
63   0.32893975  0.9396431 1.0123548  4.014393e-03 0.34650595
64   0.33072313  0.9447375 0.9743752 -8.697574e-03 0.33442572
65   0.34147777  0.9754590 0.9956213 -1.501811e-03 0.34550634
66   0.51138833  0.7868346 0.9797648 -1.056178e-02 0.54308952
67   0.56981460  0.8767306 0.9722831 -1.624373e-02 0.58035369
68   0.59923595  0.9219991 0.9933454 -4.014393e-03 0.61217054
69   0.63885972  0.9829652 1.0138021  8.697574e-03 0.65146270
70   0.63827129  0.9820598 1.0023585  1.501811e-03 0.64380222
71   0.54414108  0.8011729 0.9976189 -1.298746e-03 0.58003069
72   0.61258872  0.9019527 1.0002540  1.555622e-04 0.63263341
73   0.62863014  0.9255715 0.9971943 -1.768735e-03 0.64229424
74   0.65643105  0.9665045 0.9968251 -2.090757e-03 0.66150323
75   0.66375471  0.9772876 0.9974876 -1.671795e-03 0.66697292
76   0.72183698  0.8988299 0.9967909 -2.323901e-03 0.73434147
77   0.72183698  0.8005080 0.9967909 -2.323901e-03 0.73434147
78   0.78989535  0.9835761 1.0596874  4.449122e-02 0.83909527
79   0.78989535  0.8510192 1.0596874  4.449122e-02 0.83909527
80   0.78468098  0.9770831 1.0077356  6.023376e-03 0.79422194
81   0.78468098  0.8092975 1.0077356  6.023376e-03 0.79422194
82   0.79156105  0.9856502 1.0060231  4.739114e-03 0.79852968
83   0.79156105  0.8079222 1.0060231  4.739114e-03 0.79852968
84   0.83505033  0.9260602 0.9977208 -1.907632e-03 0.83937395
85   0.83505033  0.8996684 0.9977208 -1.907632e-03 0.83937395
86   0.87608633  0.9715685 1.0020480  1.790551e-03 0.88029399
87   0.87608633  0.9035704 1.0020480  1.790551e-03 0.88029399
88   0.88308408  0.9793290 0.9995712 -3.788041e-04 0.88450937
89   0.88308408  0.9013370 0.9995712 -3.788041e-04 0.88450937
90   0.90076405  0.9704672 1.0009121  8.208134e-04 0.90347946
91   0.90076405  0.9290223 1.0009121  8.208134e-04 0.90347946
92   0.91152774  0.9820638 1.0023626  2.148474e-03 0.91482383
93   0.91152774  0.9303686 1.0023626  2.148474e-03 0.91482383
94   0.95003802  0.9798420 1.0000949  9.013648e-05 0.95070933
95   0.95003802  0.9696749 1.0000949  9.013648e-05 0.95070933
96   0.05040556  0.9801091 1.0869285  4.031250e-03 0.05583578
97   0.05040556  0.9792473 1.2193567  9.067730e-03 0.06268153
98   0.05126557  0.9968315 1.0739686  3.530869e-03 0.05522292
99   0.05126557  0.9846983 1.2261443  9.455182e-03 0.06377252
100  0.05140136  0.9994719 1.0308267  1.537151e-03 0.05301241
101  0.05140136  0.9794721 1.2196367  9.256548e-03 0.06391913
102  0.05139231  0.9992959 1.0199509  1.005265e-03 0.05245262
103  0.05139231  0.9789619 1.2190013  9.232955e-03 0.06390571
104  0.05098494  0.9905030 1.0671503  3.208222e-03 0.05490135
105  0.05098494  0.9793079 1.0860400  4.039211e-03 0.05647417
106  0.05146473  0.9998241 1.0311900  1.556633e-03 0.05307875
107  0.05146473  0.9806797 1.0875612  4.143504e-03 0.05700963
108  0.05141947  0.9989448 1.0195925  9.880762e-04 0.05247937
109  0.05141947  0.9794792 1.0862299  4.081915e-03 0.05695549
110  0.05198979  0.9986089 1.0299367  1.511162e-03 0.05361677
111  0.05198979  0.9906848 1.0673462  3.280394e-03 0.05598339
112  0.05202600  0.9993045 1.0199596  1.018098e-03 0.05309939
113  0.05202600  0.9910329 1.0677213  3.299800e-03 0.05602347
114  0.05242432  0.9989650 1.0196131  1.008425e-03 0.05350494
115  0.05242432  0.9986205 1.0299486  1.524379e-03 0.05406490
116  0.05103925  0.9670669 0.9974051 -1.327855e-04 0.05254623
117  0.05103925  0.9108239 1.0100921  5.099460e-04 0.05628994
118  0.05178158  0.9811321 1.0014116  7.299201e-05 0.05279821
119  0.05178158  0.9089464 1.0080100  4.114747e-04 0.05709666
120  0.05222516  0.9666555 0.9969808 -1.581552e-04 0.05376364
121  0.05222516  0.9319871 1.0041063  2.135759e-04 0.05603637
122  0.05309422  0.9827413 1.0030541  1.616601e-04 0.05414013
123  0.05309422  0.9319879 1.0041072  2.171780e-04 0.05696498
124  0.05503150  0.9820679 1.0023667  1.299367e-04 0.05611143
125  0.05503150  0.9659940 0.9962985 -2.044546e-04 0.05664474
126  0.05133799  0.9219639 0.9933075 -3.458928e-04 0.05505291
127  0.05133799  0.8968844 0.9946333 -2.770003e-04 0.05656294
128  0.05394518  0.9687856 0.9991777 -4.439558e-05 0.05553795
129  0.05394518  0.9008314 0.9990106 -5.342798e-05 0.05943310
130  0.05428013  0.9748008 0.9949495 -2.755328e-04 0.05532284
131  0.05428013  0.8982772 0.9961779 -2.082605e-04 0.05978841
132  0.05541172  0.9680531 0.9984223 -8.756123e-05 0.05704248
133  0.05541172  0.9253212 0.9969247 -1.709355e-04 0.05941334
134  0.05597299  0.9778586 0.9980705 -1.082099e-04 0.05705611
135  0.05597299  0.9262921 0.9979707 -1.138178e-04 0.06001631
136  0.05838101  0.9749055 0.9950563 -2.900494e-04 0.05949646
137  0.05838101  0.9661423 0.9964515 -2.079006e-04 0.06008572
138  0.05027882  0.9863257 1.0067126  3.352500e-04 0.05128158
139  0.05027882  0.7915063 0.9855821 -7.355213e-04 0.06159135
140  0.05377317  0.9180835 0.9891268 -5.911134e-04 0.05763633
141  0.05377317  0.9013657 0.9996031 -2.135336e-05 0.05924714
142  0.05676057  0.9690881 0.9994897 -2.897815e-05 0.05843212
143  0.05676057  0.9042400 1.0027906  1.579545e-04 0.06252992
144  0.05742142  0.9803709 1.0006347  3.642446e-05 0.05853960
145  0.05742142  0.9039476 1.0024663  1.412698e-04 0.06325163
146  0.05779258  0.9687405 0.9991312 -5.025153e-05 0.05949119
147  0.05779258  0.9206807 0.9919250 -4.704725e-04 0.06193248
148  0.05859828  0.9822458 1.0025484  1.489508e-04 0.05974489
149  0.05859828  0.9224740 0.9938571 -3.621891e-04 0.06279954
150  0.06152231  0.9800981 1.0003562  2.190785e-05 0.06271398
151  0.06152231  0.9685051 0.9988884 -6.846450e-05 0.06332169
152  0.06390317  0.9793285 1.0860628  5.063876e-03 0.07076195
153  0.06390317  0.9339772 1.1629865  8.955699e-03 0.07912701
154  0.06473602  0.9920921 1.0688624  4.170676e-03 0.06970669
155  0.06473602  0.9578087 1.1926615  1.045740e-02 0.08032395
156  0.06520676  0.9993063 1.0306559  1.939517e-03 0.06724925
157  0.06520676  0.9346049 1.1637681  9.176045e-03 0.08073664
158  0.06521582  0.9994451 1.0201031  1.285204e-03 0.06656134
159  0.06521582  0.9342498 1.1633259  9.156017e-03 0.08074513
160  0.06618446  0.9673194 1.0421727  2.678231e-03 0.07113459
161  0.06618446  0.9792392 1.0859638  5.239094e-03 0.07328368
162  0.06832995  0.9986769 1.0300068  1.990629e-03 0.07046698
163  0.06832995  0.9793694 1.0861082  5.417294e-03 0.07565628
164  0.06836616  0.9992061 1.0198592  1.331263e-03 0.06977539
165  0.06836616  0.9793801 1.0861200  5.420852e-03 0.07569637
166  0.06750616  0.9987945 1.0301281  1.974349e-03 0.06961807
167  0.06750616  0.9675620 1.0424341  2.747953e-03 0.07255303
168  0.06754237  0.9993303 1.0199860  1.323450e-03 0.06893525
169  0.06754237  0.9675788 1.0424522  2.750554e-03 0.07259194
170  0.06971502  0.9992215 1.0198749  1.358578e-03 0.07115205
171  0.06971502  0.9987032 1.0300338  2.032759e-03 0.07189536
172  0.05474182  0.9336112 1.0353629  1.869713e-03 0.06044703
173  0.05474182  0.8210455 4.1695462  4.161285e-02 0.26211530
174  0.05631699  0.9604755 0.9906070 -5.340031e-04 0.05794523
175  0.05631699  0.8183373 4.1557930  4.276555e-02 0.26892318
176  0.05540267  0.9448819 0.9644121 -2.044419e-03 0.05636189
177  0.05540267  0.8121019 4.1241277  4.196888e-02 0.26415746
178  0.06399370  0.9598099 0.9899205 -6.515941e-04 0.06581937
