       support confidence      lift      leverage    jaccard
1   0.96958285  0.9695829 1.0000000  1.110223e-16 0.96958285
2   0.97974906  0.9797491 1.0000000  1.110223e-16 0.97974906
3   0.05142852  0.9786391 1.2185994  9.225545e-03 0.06394930
4   0.05147378  0.9795004 1.0862535  4.087253e-03 0.05701565
5   0.05206221  0.9906977 1.0673601  3.285596e-03 0.05606137
6   0.05247864  0.9986219 1.0299500  1.526032e-03 0.05412092
7   0.05249674  0.9989664 1.0196146  1.009892e-03 0.05357885
8   0.05603636  0.9650764 0.9953522 -2.616636e-04 0.05767367
9   0.05696879  0.9811350 1.0014146  8.047453e-05 0.05808137
10  0.05988376  0.9663988 0.9967161 -1.973006e-04 0.06163005
11  0.06042693  0.9751644 0.9953205 -2.840953e-04 0.06157919
12  0.06277158  0.9684358 0.9988169 -7.435191e-05 0.06460449
13  0.06352296  0.9800279 1.0002846  1.807594e-05 0.06475039
14  0.06842048  0.9793961 1.0861378  5.426190e-03 0.07575651
15  0.06758763  0.9674744 1.0423397  2.745403e-03 0.07263988
16  0.06976934  0.9987042 1.0300349  2.034411e-03 0.07195138
17  0.06980555  0.9992225 1.0198759  1.360412e-03 0.07124444
18  0.06881880  0.9581548 0.9882134 -8.208134e-04 0.07075841
19  0.07304642  0.9679702 0.9983368 -1.216925e-04 0.07515065
20  0.07375253  0.9773273 0.9975281 -1.827577e-04 0.07514573
21  0.07524623  0.9698950 1.0003219  2.421577e-05 0.07742032
22  0.07603382  0.9800467 1.0003038  2.308959e-05 0.07748298
23  0.07601572  0.9668394 0.9971705 -2.156997e-04 0.07819018
24  0.07691194  0.9782383 0.9984581 -1.187769e-04 0.07836482
25  0.09349652  0.9513633 0.9812089 -1.790551e-03 0.09595659
26  0.09666498  0.9836035 1.0039341  3.788041e-04 0.09850099
27  0.18818801  0.9556822 0.9754357 -4.739114e-03 0.19038199
28  0.31315180  0.9760998 1.0067214  2.090757e-03 0.32044168
29  0.31599435  0.9849601 1.0053187  1.671795e-03 0.32094520
30  0.34147777  0.9754590 0.9956213 -1.501811e-03 0.34550634
31  0.63885972  0.9829652 1.0138021  8.697574e-03 0.65146270
32  0.63827129  0.9820598 1.0023585  1.501811e-03 0.64380222
33  0.65643105  0.9665045 0.9968251 -2.090757e-03 0.66150323
34  0.66375471  0.9772876 0.9974876 -1.671795e-03 0.66697292
35  0.78989535  0.9835761 1.0596874  4.449122e-02 0.83909527
36  0.78468098  0.9770831 1.0077356  6.023376e-03 0.79422194
37  0.79156105  0.9856502 1.0060231  4.739114e-03 0.79852968
38  0.87608633  0.9715685 1.0020480  1.790551e-03 0.88029399
39  0.88308408  0.9793290 0.9995712 -3.788041e-04 0.88450937
40  0.90076405  0.9704672 1.0009121  8.208134e-04 0.90347946
41  0.91152774  0.9820638 1.0023626  2.148474e-03 0.91482383
42  0.95003802  0.9798420 1.0000949  9.013648e-05 0.95070933
43  0.95003802  0.9696749 1.0000949  9.013648e-05 0.95070933
44  0.05040556  0.9801091 1.0869285  4.031250e-03 0.05583578
45  0.05040556  0.9792473 1.2193567  9.067730e-03 0.06268153
46  0.05126557  0.9968315 1.0739686  3.530869e-03 0.05522292
47  0.05126557  0.9846983 1.2261443  9.455182e-03 0.06377252
48  0.05140136  0.9994719 1.0308267  1.537151e-03 0.05301241
49  0.05140136  0.9794721 1.2196367  9.256548e-03 0.06391913
50  0.05139231  0.9992959 1.0199509  1.005265e-03 0.05245262
51  0.05139231  0.9789619 1.2190013  9.232955e-03 0.06390571
52  0.05098494  0.9905030 1.0671503  3.208222e-03 0.05490135
53  0.05098494  0.9793079 1.0860400  4.039211e-03 0.05647417
54  0.05146473  0.9998241 1.0311900  1.556633e-03 0.05307875
55  0.05146473  0.9806797 1.0875612  4.143504e-03 0.05700963
56  0.05141947  0.9989448 1.0195925  9.880762e-04 0.05247937
57  0.05141947  0.9794792 1.0862299  4.081915e-03 0.05695549
58  0.05198979  0.9986089 1.0299367  1.511162e-03 0.05361677
59  0.05198979  0.9906848 1.0673462  3.280394e-03 0.05598339
60  0.05202600  0.9993045 1.0199596  1.018098e-03 0.05309939
61  0.05202600  0.9910329 1.0677213  3.299800e-03 0.05602347
62  0.05242432  0.9989650 1.0196131  1.008425e-03 0.05350494
63  0.05242432  0.9986205 1.0299486  1.524379e-03 0.05406490
64  0.05103925  0.9670669 0.9974051 -1.327855e-04 0.05254623
65  0.05178158  0.9811321 1.0014116  7.299201e-05 0.05279821
66  0.05222516  0.9666555 0.9969808 -1.581552e-04 0.05376364
67  0.05309422  0.9827413 1.0030541  1.616601e-04 0.05414013
68  0.05503150  0.9820679 1.0023667  1.299367e-04 0.05611143
69  0.05503150  0.9659940 0.9962985 -2.044546e-04 0.05664474
70  0.05394518  0.9687856 0.9991777 -4.439558e-05 0.05553795
71  0.05428013  0.9748008 0.9949495 -2.755328e-04 0.05532284
72  0.05541172  0.9680531 0.9984223 -8.756123e-05 0.05704248
73  0.05597299  0.9778586 0.9980705 -1.082099e-04 0.05705611
74  0.05838101  0.9749055 0.9950563 -2.900494e-04 0.05949646
75  0.05838101  0.9661423 0.9964515 -2.079006e-04 0.06008572
76  0.05027882  0.9863257 1.0067126  3.352500e-04 0.05128158
77  0.05676057  0.9690881 0.9994897 -2.897815e-05 0.05843212
78  0.05742142  0.9803709 1.0006347  3.642446e-05 0.05853960
79  0.05779258  0.9687405 0.9991312 -5.025153e-05 0.05949119
80  0.05859828  0.9822458 1.0025484  1.489508e-04 0.05974489
81  0.06152231  0.9800981 1.0003562  2.190785e-05 0.06271398
82  0.06152231  0.9685051 0.9988884 -6.846450e-05 0.06332169
83  0.06390317  0.9793285 1.0860628  5.063876e-03 0.07076195
84  0.06473602  0.9920921 1.0688624  4.170676e-03 0.06970669
85  0.06473602  0.9578087 1.1926615  1.045740e-02 0.08032395
86  0.06520676  0.9993063 1.0306559  1.939517e-03 0.06724925
87  0.06521582  0.9994451 1.0201031  1.285204e-03 0.06656134
88  0.06618446  0.9673194 1.0421727  2.678231e-03 0.07113459
89  0.06618446  0.9792392 1.0859638  5.239094e-03 0.07328368
90  0.06832995  0.9986769 1.0300068  1.990629e-03 0.07046698
91  0.06832995  0.9793694 1.0861082  5.417294e-03 0.07565628
92  0.06836616  0.9992061 1.0198592  1.331263e-03 0.06977539
93  0.06836616  0.9793801 1.0861200  5.420852e-03 0.07569637
94  0.06750616  0.9987945 1.0301281  1.974349e-03 0.06961807
95  0.06750616  0.9675620 1.0424341  2.747953e-03 0.07255303
96  0.06754237  0.9993303 1.0199860  1.323450e-03 0.06893525
97  0.06754237  0.9675788 1.0424522  2.750554e-03 0.07259194
98  0.06971502  0.9992215 1.0198749  1.358578e-03 0.07115205
99  0.06971502  0.9987032 1.0300338  2.032759e-03 0.07189536
100 0.05631699  0.9604755 0.9906070 -5.340031e-04 0.05794523
101 0.06399370  0.9598099 0.9899205 -6.515941e-04 0.06581937
102 0.06534256  0.9578025 0.9878501 -8.036678e-04 0.06719294
103 0.05848964  0.9816165 1.0575762  3.184273e-03 0.06294142
104 0.05811848  0.9753874 1.0059867  3.458654e-04 0.05985121
