"rules","support","confidence","lift","count"
"{Diabetes=1} => {Hipertension=1}",0.0586344872537659,0.816359969750441,4.14575154921445,6477
"{Scholarship=1} => {Gender=1}",0.0801165990730012,0.815217391304348,1.254313367594,8850
"{Scholarship=0,Diabetes=1} => {Hipertension=1}",0.0547418163383546,0.821045485403938,4.16954617964603,6047
"{Diabetes=1,Alcoholism=0} => {Hipertension=1}",0.0563169901506373,0.818337279663247,4.15579299653921,6221
"{Diabetes=1,Handcap=0} => {Hipertension=1}",0.0554026651216686,0.812101910828026,4.124127688383,6120
"{Scholarship=1,SMS_received=0} => {Gender=1}",0.0533748551564311,0.801522566612289,1.23324217620219,5896
"{Scholarship=1,Hipertension=0} => {Gender=1}",0.0646817062572422,0.796100278551532,1.22489931150119,7145
"{Scholarship=1,Diabetes=0} => {Gender=1}",0.0754363412514484,0.810051521337611,1.24636503402844,8333
"{Scholarship=1,Alcoholism=0} => {Gender=1}",0.0761605590961761,0.814581719597211,1.25333530759655,8413
"{Scholarship=1,Handcap=0} => {Gender=1}",0.0789487977983778,0.816725978647687,1.25663451688634,8721
"{Scholarship=0,Diabetes=1,Alcoholism=0} => {Hipertension=1}",0.0526053736964079,0.822039892488329,4.1745961145564,5811
"{Scholarship=0,Diabetes=1,Handcap=0} => {Hipertension=1}",0.0516457850521437,0.816984104253186,4.14892111494226,5705
"{Diabetes=1,Alcoholism=0,Handcap=0} => {Hipertension=1}",0.0532028534183082,0.814214463840399,4.1348559458287,5877
"{Scholarship=1,Diabetes=0,SMS_received=0} => {Gender=1}",0.0501339803012746,0.795232624928202,1.22356431846768,5538
"{Scholarship=1,Alcoholism=0,SMS_received=0} => {Gender=1}",0.0503965092699884,0.800661584927369,1.2319174487759,5567
"{Scholarship=1,Handcap=0,SMS_received=0} => {Gender=1}",0.0525057937427578,0.803324099722992,1.23601405899937,5800
"{Scholarship=1,Hipertension=0,Diabetes=0} => {Gender=1}",0.0635501158748552,0.794477138976913,1.222401909351,7020
"{Scholarship=1,Hipertension=0,Alcoholism=0} => {Gender=1}",0.0622374710312862,0.794430321238734,1.2223298744368,6875
"{Scholarship=1,Hipertension=0,Handcap=0} => {Gender=1}",0.0637945393974508,0.797352342158859,1.22682576711475,7047
"{Scholarship=1,Diabetes=0,Alcoholism=0} => {Gender=1}",0.0717880938586327,0.809596733027055,1.24566528563808,7930
"{Scholarship=1,Diabetes=0,Handcap=0} => {Gender=1}",0.0744133835457706,0.811851851851852,1.24913506648136,8220
"{Scholarship=1,Alcoholism=0,Handcap=0} => {Gender=1}",0.07501991599073,0.816131573764034,1.25571995103031,8287
"{Scholarship=1,Hipertension=0,Diabetes=0,Alcoholism=0} => {Gender=1}",0.0612507242178447,0.793107490329387,1.2202945345258,6766
"{Scholarship=1,Hipertension=0,Diabetes=0,Handcap=0} => {Gender=1}",0.0626720017381228,0.795747126436782,1.22435594304138,6923
"{Scholarship=1,Hipertension=0,Alcoholism=0,Handcap=0} => {Gender=1}",0.0613774623406721,0.795774647887324,1.22439828821664,6780
"{Scholarship=1,Diabetes=0,Alcoholism=0,Handcap=0} => {Gender=1}",0.0707922943221321,0.81145584725537,1.24852576414766,7820
"{Scholarship=1,Hipertension=0,Diabetes=0,Alcoholism=0,Handcap=0} => {Gender=1}",0.0603997682502897,0.794474874970231,1.22239842589508,6672
