        support confidence       lift      leverage    jaccard
1    0.80308517  0.8030852  1.0000000  0.000000e+00 0.80308517
2    0.90172364  0.9017236  1.0000000 -1.110223e-16 0.90172364
3    0.92817570  0.9281757  1.0000000 -1.110223e-16 0.92817570
4    0.96958285  0.9695829  1.0000000  1.110223e-16 0.96958285
5    0.97974906  0.9797491  1.0000000  1.110223e-16 0.97974906
6    0.05176347  1.0000000  8.1349142  4.540035e-02 0.42109139
7    0.05176347  1.0000000  1.4723625  1.660673e-02 0.07621460
8    0.05055041  0.9765652  0.9967504 -1.648059e-04 0.05153146
9    0.05142852  0.9786391  1.2185994  9.225545e-03 0.06394930
10   0.05147378  0.9795004  1.0862535  4.087253e-03 0.05701565
11   0.05206221  0.9906977  1.0673601  3.285596e-03 0.05606137
12   0.05247864  0.9986219  1.0299500  1.526032e-03 0.05412092
13   0.05249674  0.9989664  1.0196146  1.009892e-03 0.05357885
14   0.05164579  0.8999842  0.9980710 -9.981663e-05 0.05691227
15   0.05310327  0.9253826  0.9969907 -1.602851e-04 0.05694980
16   0.05549319  0.9670295  0.9973665 -1.465246e-04 0.05712262
17   0.05607257  0.9771257  0.9973224 -1.505403e-04 0.05715498
18   0.06525203  0.9340417  1.1630668  9.148607e-03 0.08078816
19   0.06842048  0.9793961  1.0861378  5.426190e-03 0.07575651
20   0.06758763  0.9674744  1.0423397  2.745403e-03 0.07263988
21   0.06976934  0.9987042  1.0300349  2.034411e-03 0.07195138
22   0.06980555  0.9992225  1.0198759  1.360412e-03 0.07124444
23   0.05761153  0.8045512  1.0018255  1.049783e-04 0.07050899
24   0.06440107  0.8993679  0.9973875 -1.686883e-04 0.07085375
25   0.06649225  0.9285714  1.0004264  2.833729e-05 0.07124497
26   0.06949775  0.9705436  1.0009909  6.879755e-05 0.07152240
27   0.07006808  0.9785082  0.9987335 -8.885296e-05 0.07140419
28   0.05863449  0.8163600  4.1457515  4.449122e-02 0.27907277
29   0.06667331  0.9282833  1.0294544  1.907632e-03 0.07351987
30   0.06881880  0.9581548  0.9882134 -8.208134e-04 0.07075841
31   0.06822132  0.9498361  0.9694688 -2.148474e-03 0.06937629
32   0.08011660  0.8152174  1.2543134  1.624373e-02 0.11991870
33   0.08124819  0.8267318  1.0294447  2.323901e-03 0.09906946
34   0.09312536  0.9475866  1.0209130  1.907632e-03 0.09977788
35   0.09349652  0.9513633  0.9812089 -1.790551e-03 0.09595659
36   0.09666498  0.9836035  1.0039341  3.788041e-04 0.09850099
37   0.09720814  0.8036222  1.0006687  6.496220e-05 0.11756591
38   0.10778172  0.8910343  0.9881456 -1.293012e-03 0.11780654
39   0.11311377  0.9351145  1.0074757  8.393355e-04 0.12084490
40   0.11765824  0.9726837  1.0031982  3.750901e-04 0.12093720
41   0.11877173  0.9818889  1.0021841  2.588452e-04 0.12095622
42   0.09922690  0.8072023  1.0051266  5.061061e-04 0.12001533
43   0.11092302  0.9023492  1.0006938  7.690029e-05 0.12139616
44   0.11418200  0.9288607  1.0007381  8.421055e-05 0.12186944
45   0.11911573  0.9689962  0.9993950 -7.210971e-05 0.12237154
46   0.12053701  0.9805582  1.0008259  9.946711e-05 0.12272907
47   0.09922690  0.7649522  1.1262870  1.112600e-02 0.13982116
48   0.10301094  0.7941238  0.9888413 -1.162436e-03 0.12414087
49   0.11645423  0.8977598  0.9956041 -5.141767e-04 0.12727435
50   0.11947784  0.9210692  0.9923435 -9.218346e-04 0.12731886
51   0.12510863  0.9644776  0.9947346 -6.622308e-04 0.12842315
52   0.12695539  0.9787145  0.9989441 -1.341999e-04 0.12921535
53   0.12436631  0.7998370  0.9959554 -5.050591e-04 0.14908302
54   0.14026289  0.9020727  1.0003871  5.426913e-05 0.15296673
55   0.14344945  0.9225664  0.9939566 -8.721913e-04 0.15257077
56   0.15034762  0.9669306  0.9972645 -4.123972e-04 0.15424623
57   0.15194090  0.9771775  0.9973752 -3.998572e-04 0.15452177
58   0.14248986  0.8707679  1.2820860  3.135078e-02 0.20346169
59   0.13057648  0.7979642  0.9936233 -8.379879e-04 0.15616474
60   0.14765897  0.9023567  1.0007021  1.035949e-04 0.16090083
61   0.15104468  0.9230471  0.9944746 -8.392224e-04 0.16055465
62   0.15850413  0.9686324  0.9990198 -1.555222e-04 0.16261575
63   0.16007025  0.9782031  0.9984221 -2.529691e-04 0.16278620
64   0.13684096  0.7739095  1.1394753  1.674976e-02 0.19027958
65   0.14091469  0.7969486  0.9923588 -1.085055e-03 0.16795788
66   0.15894771  0.8989351  0.9969075 -4.930666e-04 0.17284558
67   0.16389050  0.9268892  0.9986140 -2.274739e-04 0.17414725
68   0.17111457  0.9677452  0.9981047 -3.249225e-04 0.17545065
69   0.17317859  0.9794184  0.9996625 -5.846802e-05 0.17610399
70   0.15098132  0.7963140  0.9915685 -1.283819e-03 0.17937577
71   0.17044467  0.8989687  0.9969448 -5.223411e-04 0.18508906
72   0.17603020  0.9284282  1.0002720  4.787296e-05 0.18691903
73   0.18387891  0.9698243  1.0002490  4.577762e-05 0.18853494
74   0.18562609  0.9790393  0.9992756 -1.345622e-04 0.18869748
75   0.19413565  1.0000000  1.4723625  6.228249e-02 0.28583805
76   0.15761696  0.8118909  1.0109649  1.709503e-03 0.18772777
77   0.17568620  0.9049662  1.0035960  6.294953e-04 0.19092734
78   0.18077383  0.9311728  1.0032290  5.818386e-04 0.19199854
79   0.18829664  0.9699231  1.0003509  6.604659e-05 0.19304123
80   0.19016150  0.9795290  0.9997754 -4.271582e-05 0.19330793
81   0.15614137  0.7970793  0.9925216 -1.176491e-03 0.18525719
82   0.17643757  0.9006886  0.9988521 -2.027612e-04 0.19153473
83   0.18140752  0.9260594  0.9977200 -4.145592e-04 0.19244214
84   0.18969076  0.9683442  0.9987225 -2.426429e-04 0.19439832
85   0.19212594  0.9807755  1.0010476  2.010621e-04 0.19534623
86   0.14755939  0.7507369  1.1053569  1.406460e-02 0.20264306
87   0.15780707  0.8028740  0.9997370 -4.150826e-05 0.18745699
88   0.17744242  0.9027727  1.0011634  2.061881e-04 0.19269753
89   0.18218605  0.9269068  0.9986329 -2.494088e-04 0.19329216
90   0.19074993  0.9704772  1.0009224  1.757781e-04 0.19556360
91   0.19253331  0.9795505  0.9997973 -3.903135e-05 0.19570999
92   0.17988666  0.9135252  1.0130878  2.323901e-03 0.19579462
93   0.18490187  0.9389941  0.9684517 -6.023376e-03 0.18836864
94   0.18818801  0.9556822  0.9754357 -4.739114e-03 0.19038199
95   0.25894409  0.8071334  1.0050408  1.298746e-03 0.29937099
96   0.28913492  0.9012387  0.9994623 -1.555622e-04 0.30976258
97   0.29954555  0.9336889  1.0059398  1.768735e-03 0.31549390
98   0.31315180  0.9760998  1.0067214  2.090757e-03 0.32044168
99   0.31599435  0.9849601  1.0053187  1.671795e-03 0.32094520
100  0.29169684  0.8332558  1.0375684  1.056178e-02 0.33860866
101  0.33190904  0.9481252  1.0514587  1.624373e-02 0.36081642
102  0.32893975  0.9396431  1.0123548  4.014393e-03 0.34650595
103  0.33072313  0.9447375  0.9743752 -8.697574e-03 0.33442572
104  0.34147777  0.9754590  0.9956213 -1.501811e-03 0.34550634
105  0.51138833  0.7868346  0.9797648 -1.056178e-02 0.54308952
106  0.56981460  0.8767306  0.9722831 -1.624373e-02 0.58035369
107  0.59923595  0.9219991  0.9933454 -4.014393e-03 0.61217054
108  0.63885972  0.9829652  1.0138021  8.697574e-03 0.65146270
109  0.63827129  0.9820598  1.0023585  1.501811e-03 0.64380222
110  0.54414108  0.8011729  0.9976189 -1.298746e-03 0.58003069
111  0.61258872  0.9019527  1.0002540  1.555622e-04 0.63263341
112  0.62863014  0.9255715  0.9971943 -1.768735e-03 0.64229424
113  0.65643105  0.9665045  0.9968251 -2.090757e-03 0.66150323
114  0.66375471  0.9772876  0.9974876 -1.671795e-03 0.66697292
115  0.72183698  0.8988299  0.9967909 -2.323901e-03 0.73434147
116  0.72183698  0.8005080  0.9967909 -2.323901e-03 0.73434147
117  0.78989535  0.9835761  1.0596874  4.449122e-02 0.83909527
118  0.78989535  0.8510192  1.0596874  4.449122e-02 0.83909527
119  0.78468098  0.9770831  1.0077356  6.023376e-03 0.79422194
120  0.78468098  0.8092975  1.0077356  6.023376e-03 0.79422194
121  0.79156105  0.9856502  1.0060231  4.739114e-03 0.79852968
122  0.79156105  0.8079222  1.0060231  4.739114e-03 0.79852968
123  0.83505033  0.9260602  0.9977208 -1.907632e-03 0.83937395
124  0.83505033  0.8996684  0.9977208 -1.907632e-03 0.83937395
125  0.87608633  0.9715685  1.0020480  1.790551e-03 0.88029399
126  0.87608633  0.9035704  1.0020480  1.790551e-03 0.88029399
127  0.88308408  0.9793290  0.9995712 -3.788041e-04 0.88450937
128  0.88308408  0.9013370  0.9995712 -3.788041e-04 0.88450937
129  0.90076405  0.9704672  1.0009121  8.208134e-04 0.90347946
130  0.90076405  0.9290223  1.0009121  8.208134e-04 0.90347946
131  0.91152774  0.9820638  1.0023626  2.148474e-03 0.91482383
132  0.91152774  0.9303686  1.0023626  2.148474e-03 0.91482383
133  0.95003802  0.9798420  1.0000949  9.013648e-05 0.95070933
134  0.95003802  0.9696749  1.0000949  9.013648e-05 0.95070933
135  0.05176347  1.0000000  1.4723625  1.660673e-02 0.07621460
136  0.05176347  1.0000000  8.1349142  4.540035e-02 0.42109139
137  0.05176347  0.7972672 15.4021194  4.840267e-02 0.79726715
138  0.05055041  0.9765652  0.9967504 -1.648059e-04 0.05153146
139  0.05055041  1.0000000  8.1349142  4.433640e-02 0.41122321
140  0.05055041  0.9765652  0.9967504 -1.648059e-04 0.05153146
141  0.05055041  1.0000000  1.4723625  1.621755e-02 0.07442852
142  0.05040556  0.9801091  1.0869285  4.031250e-03 0.05583578
143  0.05040556  0.9792473  1.2193567  9.067730e-03 0.06268153
144  0.05126557  0.9968315  1.0739686  3.530869e-03 0.05522292
145  0.05126557  0.9846983  1.2261443  9.455182e-03 0.06377252
146  0.05140136  0.9994719  1.0308267  1.537151e-03 0.05301241
147  0.05140136  0.9794721  1.2196367  9.256548e-03 0.06391913
148  0.05139231  0.9992959  1.0199509  1.005265e-03 0.05245262
149  0.05139231  0.9789619  1.2190013  9.232955e-03 0.06390571
150  0.05098494  0.9905030  1.0671503  3.208222e-03 0.05490135
151  0.05098494  0.9793079  1.0860400  4.039211e-03 0.05647417
152  0.05146473  0.9998241  1.0311900  1.556633e-03 0.05307875
153  0.05146473  0.9806797  1.0875612  4.143504e-03 0.05700963
154  0.05141947  0.9989448  1.0195925  9.880762e-04 0.05247937
155  0.05141947  0.9794792  1.0862299  4.081915e-03 0.05695549
156  0.05198979  0.9986089  1.0299367  1.511162e-03 0.05361677
157  0.05198979  0.9906848  1.0673462  3.280394e-03 0.05598339
158  0.05202600  0.9993045  1.0199596  1.018098e-03 0.05309939
159  0.05202600  0.9910329  1.0677213  3.299800e-03 0.05602347
160  0.05242432  0.9989650  1.0196131  1.008425e-03 0.05350494
161  0.05242432  0.9986205  1.0299486  1.524379e-03 0.05406490
162  0.05049609  0.9777388  0.9979482 -1.038201e-04 0.05147941
163  0.05049609  0.9005489  0.9986973 -6.586957e-05 0.05565533
164  0.05134705  0.9669281  0.9972619 -1.409781e-04 0.05286212
165  0.05134705  0.9252855  0.9968861 -1.603872e-04 0.05507438
166  0.05200789  0.9793727  0.9996158 -1.998821e-05 0.05302359
167  0.05200789  0.9275105  0.9992833 -3.729954e-05 0.05578807
168  0.05421676  0.9769984  0.9971925 -1.526446e-04 0.05526539
169  0.05421676  0.9669035  0.9972365 -1.502406e-04 0.05581079
170  0.06390317  0.9793285  1.0860628  5.063876e-03 0.07076195
171  0.06390317  0.9339772  1.1629865  8.955699e-03 0.07912701
172  0.06473602  0.9920921  1.0688624  4.170676e-03 0.06970669
173  0.06473602  0.9578087  1.1926615  1.045740e-02 0.08032395
174  0.06520676  0.9993063  1.0306559  1.939517e-03 0.06724925
175  0.06520676  0.9346049  1.1637681  9.176045e-03 0.08073664
176  0.06521582  0.9994451  1.0201031  1.285204e-03 0.06656134
177  0.06521582  0.9342498  1.1633259  9.156017e-03 0.08074513
