      support confidence      lift      leverage   jaccard
1   0.9695829  0.9695829 1.0000000  1.110223e-16 0.9695829
2   0.9797491  0.9797491 1.0000000  1.110223e-16 0.9797491
3   0.2085295  0.9692418 0.9996482 -7.338160e-05 0.2136134
4   0.2108108  0.9798452 1.0000981  2.067529e-05 0.2142200
5   0.2196643  0.9693979 0.9998093 -4.189900e-05 0.2249467
6   0.2219547  0.9795054 0.9997513 -5.520969e-05 0.2254736
7   0.2200264  0.9708796 1.0013374  2.938778e-04 0.2253948
8   0.2220723  0.9799073 1.0001615  3.586751e-05 0.2256139
9   0.2303737  0.9830037 1.0138419  3.145271e-03 0.2366287
10  0.2305638  0.9838149 1.0041499  9.528568e-04 0.2344219
11  0.2305366  0.9688047 0.9991974 -1.851717e-04 0.2359623
12  0.2334064  0.9808643 1.0011383  2.653919e-04 0.2371287
13  0.2382948  0.9788413 0.9990735 -2.209922e-04 0.2419482
14  0.2360226  0.9569111 1.1915437  3.794124e-02 0.2900563
15  0.2436450  0.9878147 1.0642540  1.471000e-02 0.2616515
16  0.2416172  0.9795933 1.0103245  2.469091e-03 0.2479101
17  0.2430204  0.9852822 1.0056476  1.364763e-03 0.2471278
18  0.2400239  0.9693624 0.9997726 -5.458907e-05 0.2456319
19  0.2413275  0.9746271 0.9947722 -1.268253e-03 0.2447462
20  0.2398157  0.9647123 1.0698536  1.565821e-02 0.2633902
21  0.2386298  0.9599417 0.9900564 -2.396664e-03 0.2436139
22  0.2395351  0.9635834 0.9835002 -4.018587e-03 0.2422478
23  0.2414180  0.9702394 1.0006771  1.633634e-04 0.2471044
24  0.2438441  0.9799898 1.0002457  5.990529e-05 0.2476259
25  0.2427397  0.9710292 1.0014917  3.615582e-04 0.2484987
26  0.2445865  0.9784167 0.9986401 -3.330542e-04 0.2482747
27  0.2424229  0.9697266 1.0001483  3.593553e-05 0.2480915
28  0.2457090  0.9828716 1.0031871  7.806140e-04 0.2496964
29  0.2414723  0.9658544 0.9961545 -9.321551e-04 0.2468740
30  0.2447042  0.9787812 0.9990121 -2.419770e-04 0.2484170
31  0.2429479  0.9717213 1.0022056  5.346614e-04 0.2487556
32  0.2447494  0.9789268 0.9991607 -2.055828e-04 0.2484721
33  0.2419612  0.9663051 0.9966195 -8.207348e-04 0.2473990
34  0.2459896  0.9823933 1.0026989  6.621256e-04 0.2499494
35  0.2609538  0.9986143 1.2434725  5.109487e-02 0.3247927
36  0.2608542  0.9982332 1.0754787  1.830714e-02 0.2809000
37  0.2610624  0.9990300 1.0303709  7.695009e-03 0.2691819
38  0.2588988  0.9907504 1.0112287  2.874816e-03 0.2635998
39  0.2572241  0.9611013 0.9912524 -2.269947e-03 0.2624753
40  0.2618681  0.9784535 0.9986777 -3.467298e-04 0.2657169
41  0.2623660  0.9689412 0.9993382 -1.737457e-04 0.2682699
42  0.2651090  0.9790712 0.9993082 -1.835357e-04 0.2690325
43  0.2681507  0.9711485 1.0016148  4.322990e-04 0.2743092
44  0.2704229  0.9793777 0.9996210 -1.025314e-04 0.2744176
45  0.2884741  0.9681889 0.9985623 -4.153422e-04 0.2946436
46  0.2918779  0.9796129 0.9998610 -4.056311e-05 0.2960752
47  0.3131518  0.9760998 1.0067214  2.090757e-03 0.3204417
48  0.3159944  0.9849601 1.0053187  1.671795e-03 0.3209452
49  0.3414778  0.9754590 0.9956213 -1.501811e-03 0.3455063
50  0.6388597  0.9829652 1.0138021  8.697574e-03 0.6514627
51  0.6382713  0.9820598 1.0023585  1.501811e-03 0.6438022
52  0.6564311  0.9665045 0.9968251 -2.090757e-03 0.6615032
53  0.6637547  0.9772876 0.9974876 -1.671795e-03 0.6669729
54  0.7898954  0.9835761 1.0596874  4.449122e-02 0.8390953
55  0.7846810  0.9770831 1.0077356  6.023376e-03 0.7942219
56  0.7915611  0.9856502 1.0060231  4.739114e-03 0.7985297
57  0.8760863  0.9715685 1.0020480  1.790551e-03 0.8802940
58  0.8830841  0.9793290 0.9995712 -3.788041e-04 0.8845094
59  0.9007640  0.9704672 1.0009121  8.208134e-04 0.9034795
60  0.9115277  0.9820638 1.0023626  2.148474e-03 0.9148238
61  0.9500380  0.9798420 1.0000949  9.013648e-05 0.9507093
62  0.9500380  0.9696749 1.0000949  9.013648e-05 0.9507093
63  0.2043562  0.9799870 1.0002428  4.961288e-05 0.2076954
64  0.2043562  0.9693821 0.9997929 -4.232909e-05 0.2093733
65  0.2004726  0.9790009 0.9992364 -1.532056e-04 0.2037221
66  0.2036863  0.9701203 1.0005543  1.128417e-04 0.2087257
67  0.2061215  0.9817186 1.0020103  4.135292e-04 0.2095609
68  0.2151380  0.9793942 0.9996378 -7.795214e-05 0.2185750
69  0.2151380  0.9692879 0.9996958 -6.547227e-05 0.2203380
70  0.2006808  0.9792384 0.9994788 -1.046421e-04 0.2039431
71  0.2045644  0.9721649 1.0026630  5.433102e-04 0.2097150
72  0.2067008  0.9823180 1.0026221  5.405642e-04 0.2101751
73  0.2156268  0.9800041 1.0002603  5.611903e-05 0.2190998
74  0.2156268  0.9709755 1.0014363  3.092690e-04 0.2209227
75  0.2107927  0.9869453 1.0179071  3.708283e-03 0.2167821
76  0.2100232  0.9833425 1.0036677  7.674940e-04 0.2135887
77  0.2173197  0.9836509 1.0145094  3.108076e-03 0.2233054
78  0.2178176  0.9859045 1.0062827  1.359938e-03 0.2216153
79  0.2266892  0.9840066 1.0043455  9.808260e-04 0.2305079
80  0.2266892  0.9831953 1.0140394  3.138528e-03 0.2328702
81  0.2086110  0.9705189 1.0009654  2.011949e-04 0.2137583
82  0.2107564  0.9805003 1.0007668  1.614857e-04 0.2141963
83  0.2140426  0.9696920 1.0001126  2.409252e-05 0.2192446
84  0.2169576  0.9828979 1.0032139  6.950564e-04 0.2205920
85  0.2261551  0.9809943 1.0012709  2.870662e-04 0.2298020
86  0.2261551  0.9689330 0.9993298 -1.516751e-04 0.2315185
87  0.2121506  0.9784152 0.9986385 -2.892295e-04 0.2155061
88  0.2207688  0.9803425 1.0006057  1.336401e-04 0.2243184
