         support confidence      lift      leverage    jaccard
1     0.80308517  0.8030852 1.0000000  0.000000e+00 0.80308517
2     0.90172364  0.9017236 1.0000000 -1.110223e-16 0.90172364
3     0.92817570  0.9281757 1.0000000 -1.110223e-16 0.92817570
4     0.96958285  0.9695829 1.0000000  1.110223e-16 0.96958285
5     0.97974906  0.9797491 1.0000000  1.110223e-16 0.97974906
6     0.05863449  0.8163600 4.1457515  4.449122e-02 0.27907277
7     0.06667331  0.9282833 1.0294544  1.907632e-03 0.07351987
8     0.06881880  0.9581548 0.9882134 -8.208134e-04 0.07075841
9     0.06822132  0.9498361 0.9694688 -2.148474e-03 0.06937629
10    0.08011660  0.8152174 1.2543134  1.624373e-02 0.11991870
11    0.08124819  0.8267318 1.0294447  2.323901e-03 0.09906946
12    0.09312536  0.9475866 1.0209130  1.907632e-03 0.09977788
13    0.09349652  0.9513633 0.9812089 -1.790551e-03 0.09595659
14    0.09666498  0.9836035 1.0039341  3.788041e-04 0.09850099
15    0.17988666  0.9135252 1.0130878  2.323901e-03 0.19579462
16    0.18490187  0.9389941 0.9684517 -6.023376e-03 0.18836864
17    0.18818801  0.9556822 0.9754357 -4.739114e-03 0.19038199
18    0.17344112  0.8061516 1.0038184  6.597434e-04 0.20530653
19    0.19342048  0.8990154 0.9969966 -5.826694e-04 0.20945416
20    0.19972118  0.9283009 1.0001349  2.694477e-05 0.21165838
21    0.20852948  0.9692418 0.9996482 -7.338160e-05 0.21361339
22    0.21081076  0.9798452 1.0000981  2.067529e-05 0.21422001
23    0.18541787  0.8182654 1.2047833  3.151644e-02 0.25739563
24    0.18230374  0.8045224 1.0017896  3.256732e-04 0.21513808
25    0.20477260  0.9036794 1.0021690  4.431815e-04 0.22172340
26    0.20995981  0.9265711 0.9982712 -3.636101e-04 0.22222329
27    0.21966433  0.9693979 0.9998093 -4.189900e-05 0.22494670
28    0.22195466  0.9795054 0.9997513 -5.520969e-05 0.22547361
29    0.18277448  0.8065032 1.0042561  7.746044e-04 0.21580658
30    0.20493554  0.9042902 1.0028462  5.816414e-04 0.22193247
31    0.21042149  0.9284972 1.0003464  7.287121e-05 0.22281442
32    0.22002643  0.9708796 1.0013374  2.938778e-04 0.22539482
33    0.22207235  0.9799073 1.0001615  3.586751e-05 0.22561391
34    0.19955823  0.8515142 1.0603037  1.134968e-02 0.23816932
35    0.21358090  0.9113489 1.0106743  2.255743e-03 0.23152410
36    0.22093171  0.9427148 1.0156641  3.407333e-03 0.23463413
37    0.23037370  0.9830037 1.0138419  3.145271e-03 0.23662873
38    0.23056380  0.9838149 1.0041499  9.528568e-04 0.23442188
39    0.19152846  0.8048771 1.0022313  4.264129e-04 0.22545582
40    0.21494786  0.9032945 1.0017421  3.738090e-04 0.23244249
41    0.22073255  0.9276040 0.9993841 -1.360292e-04 0.23347984
42    0.23053665  0.9688047 0.9991974 -1.851717e-04 0.23596234
43    0.23340636  0.9808643 1.0011383  2.653919e-04 0.23712867
44    0.18527303  0.7610442 0.9476506 -1.023470e-02 0.21511909
45    0.21683082  0.8906738 0.9877459 -2.690036e-03 0.23356867
46    0.22519554  0.9250335 0.9966146 -7.649623e-04 0.23794311
47    0.22827346  0.9376766 0.9670928 -7.767436e-03 0.23180732
48    0.23829483  0.9788413 0.9990735 -2.209922e-04 0.24194823
49    0.23602260  0.9569111 1.1915437  3.794124e-02 0.29005629
50    0.21304678  0.8637598 0.9578986 -9.363795e-03 0.22777778
51    0.24364499  0.9878147 1.0642540  1.471000e-02 0.26165153
52    0.24161718  0.9795933 1.0103245  2.469091e-03 0.24791009
53    0.24302035  0.9852822 1.0056476  1.364763e-03 0.24712781
54    0.19246994  0.7773106 0.9679056 -6.382039e-03 0.22426505
55    0.22232583  0.8978868 0.9957450 -9.500377e-04 0.23983164
56    0.22697893  0.9166789 0.9876135 -2.846734e-03 0.23922564
57    0.24002390  0.9693624 0.9997726 -5.458907e-05 0.24563191
58    0.24132749  0.9746271 0.9947722 -1.268253e-03 0.24474619
59    0.23981569  0.9647123 1.0698536  1.565821e-02 0.26339024
60    0.19848095  0.7984341 0.8602187 -3.225218e-02 0.20288715
61    0.23862978  0.9599417 0.9900564 -2.396664e-03 0.24361391
62    0.23953505  0.9635834 0.9835002 -4.018587e-03 0.24224780
63    0.19904222  0.7999345 0.9960768 -7.839561e-04 0.23338039
64    0.22305910  0.8964564 0.9941587 -1.310616e-03 0.24049817
65    0.23168634  0.9311286 1.0031814  7.347447e-04 0.24508968
66    0.24141802  0.9702394 1.0006771  1.633634e-04 0.24710439
67    0.24384415  0.9799898 1.0002457  5.990529e-05 0.24762588
68    0.20055403  0.8022742 0.9989902 -2.027251e-04 0.23525039
69    0.22543091  0.9017889 1.0000724  1.632611e-05 0.24337373
70    0.23266404  0.9307235 1.0027450  6.369166e-04 0.24607681
71    0.24273972  0.9710292 1.0014917  3.615582e-04 0.24849867
72    0.24458647  0.9784167 0.9986401 -3.330542e-04 0.24827472
73    0.20213825  0.8085823 1.0068450  1.374231e-03 0.23754761
74    0.22544902  0.9018287 1.0001165  2.626850e-05 0.24339565
75    0.23192171  0.9277204 0.9995095 -1.138092e-04 0.24509691
76    0.24242287  0.9697266 1.0001483  3.593553e-05 0.24809153
77    0.24570901  0.9828716 1.0031871  7.806140e-04 0.24969641
78    0.19898791  0.7959228 0.9910814 -1.790657e-03 0.23297791
79    0.22536754  0.9014375 0.9996827 -7.153212e-05 0.24328154
80    0.23105265  0.9241771 0.9956920 -9.996757e-04 0.24394976
81    0.24147233  0.9658544 0.9961545 -9.321551e-04 0.24687405
82    0.24470416  0.9787812 0.9990121 -2.419770e-04 0.24841701
83    0.20140498  0.8055616 1.0030836  6.191504e-04 0.23647456
84    0.22547617  0.9018394 1.0001284  2.893751e-05 0.24342497
85    0.23253730  0.9300818 1.0020536  4.765684e-04 0.24590038
86    0.24294793  0.9717213 1.0022056  5.346614e-04 0.24875562
87    0.24474942  0.9789268 0.9991607 -2.055828e-04 0.24847209
88    0.20202962  0.8068330 1.0046668  9.384438e-04 0.23727606
89    0.22528607  0.8997108 0.9977678 -5.040180e-04 0.24307007
90    0.23398573  0.9344541 1.0067642  1.572098e-03 0.24771187
91    0.24196118  0.9663051 0.9966195 -8.207348e-04 0.24739902
92    0.24598964  0.9823933 1.0026989  6.621256e-04 0.24994941
93    0.26095379  0.9986143 1.2434725  5.109487e-02 0.32479268
94    0.23203034  0.8879304 0.9847035 -3.604383e-03 0.24922455
95    0.26085421  0.9982332 1.0754787  1.830714e-02 0.28089997
96    0.26106243  0.9990300 1.0303709  7.695009e-03 0.26918194
97    0.25889883  0.9907504 1.0112287  2.874816e-03 0.26359983
98    0.20902738  0.7810175 0.9725213 -5.906086e-03 0.24257769
99    0.24053085  0.8987282 0.9966781 -8.016879e-04 0.25896181
100   0.24627933  0.9202070 0.9914147 -2.132697e-03 0.25936943
101   0.25722407  0.9611013 0.9912524 -2.269947e-03 0.26247529
102   0.26186812  0.9784535 0.9986777 -3.467298e-04 0.26571686
103   0.21517417  0.7946575 0.9895059 -2.282015e-03 0.25058511
104   0.24387131  0.9006386 0.9987967 -2.938129e-04 0.26261454
105   0.25086906  0.9264819 0.9981751 -4.586401e-04 0.26460675
106   0.26236602  0.9689412 0.9993382 -1.737457e-04 0.26826988
107   0.26510899  0.9790712 0.9993082 -1.835357e-04 0.26903255
108   0.24569996  0.8898397 1.3101666  5.816659e-02 0.34625247
109   0.22294141  0.8074162 1.0053929  1.195858e-03 0.26036623
110   0.24948399  0.9035441 1.0020189  5.026733e-04 0.26873720
111   0.25685291  0.9302318 1.0022152  5.677245e-04 0.27110207
112   0.26815071  0.9711485 1.0016148  4.322990e-04 0.27430916
113   0.27042294  0.9793777 0.9996210 -1.025314e-04 0.27441758
114   0.23896473  0.8020235 0.9986780 -3.163215e-04 0.27719788
115   0.26895640  0.9026828 1.0010637  2.857934e-04 0.28897686
116   0.27610805  0.9266855 0.9983945 -4.440058e-04 0.29063396
117   0.28847407  0.9681889 0.9985623 -4.153422e-04 0.29464360
118   0.29187790  0.9796129 0.9998610 -4.056311e-05 0.29607523
119   0.25894409  0.8071334 1.0050408  1.298746e-03 0.29937099
120   0.28913492  0.9012387 0.9994623 -1.555622e-04 0.30976258
121   0.29954555  0.9336889 1.0059398  1.768735e-03 0.31549390
122   0.31315180  0.9760998 1.0067214  2.090757e-03 0.32044168
123   0.31599435  0.9849601 1.0053187  1.671795e-03 0.32094520
124   0.29169684  0.8332558 1.0375684  1.056178e-02 0.33860866
125   0.33190904  0.9481252 1.0514587  1.624373e-02 0.36081642
126   0.32893975  0.9396431 1.0123548  4.014393e-03 0.34650595
127   0.33072313  0.9447375 0.9743752 -8.697574e-03 0.33442572
128   0.34147777  0.9754590 0.9956213 -1.501811e-03 0.34550634
129   0.51138833  0.7868346 0.9797648 -1.056178e-02 0.54308952
130   0.56981460  0.8767306 0.9722831 -1.624373e-02 0.58035369
131   0.59923595  0.9219991 0.9933454 -4.014393e-03 0.61217054
132   0.63885972  0.9829652 1.0138021  8.697574e-03 0.65146270
133   0.63827129  0.9820598 1.0023585  1.501811e-03 0.64380222
134   0.54414108  0.8011729 0.9976189 -1.298746e-03 0.58003069
135   0.61258872  0.9019527 1.0002540  1.555622e-04 0.63263341
136   0.62863014  0.9255715 0.9971943 -1.768735e-03 0.64229424
137   0.65643105  0.9665045 0.9968251 -2.090757e-03 0.66150323
138   0.66375471  0.9772876 0.9974876 -1.671795e-03 0.66697292
139   0.72183698  0.8988299 0.9967909 -2.323901e-03 0.73434147
140   0.72183698  0.8005080 0.9967909 -2.323901e-03 0.73434147
141   0.78989535  0.9835761 1.0596874  4.449122e-02 0.83909527
142   0.78989535  0.8510192 1.0596874  4.449122e-02 0.83909527
143   0.78468098  0.9770831 1.0077356  6.023376e-03 0.79422194
144   0.78468098  0.8092975 1.0077356  6.023376e-03 0.79422194
145   0.79156105  0.9856502 1.0060231  4.739114e-03 0.79852968
146   0.79156105  0.8079222 1.0060231  4.739114e-03 0.79852968
147   0.83505033  0.9260602 0.9977208 -1.907632e-03 0.83937395
148   0.83505033  0.8996684 0.9977208 -1.907632e-03 0.83937395
149   0.87608633  0.9715685 1.0020480  1.790551e-03 0.88029399
150   0.87608633  0.9035704 1.0020480  1.790551e-03 0.88029399
151   0.88308408  0.9793290 0.9995712 -3.788041e-04 0.88450937
152   0.88308408  0.9013370 0.9995712 -3.788041e-04 0.88450937
153   0.90076405  0.9704672 1.0009121  8.208134e-04 0.90347946
154   0.90076405  0.9290223 1.0009121  8.208134e-04 0.90347946
155   0.91152774  0.9820638 1.0023626  2.148474e-03 0.91482383
156   0.91152774  0.9303686 1.0023626  2.148474e-03 0.91482383
157   0.95003802  0.9798420 1.0000949  9.013648e-05 0.95070933
158   0.95003802  0.9696749 1.0000949  9.013648e-05 0.95070933
159   0.05474182  0.9336112 1.0353629  1.869713e-03 0.06044703
160   0.05474182  0.8210455 4.1695462  4.161285e-02 0.26211530
161   0.05631699  0.9604755 0.9906070 -5.340031e-04 0.05794523
162   0.05631699  0.8183373 4.1557930  4.276555e-02 0.26892318
163   0.05540267  0.9448819 0.9644121 -2.044419e-03 0.05636189
164   0.05540267  0.8121019 4.1241277  4.196888e-02 0.26415746
165   0.06399370  0.9598099 0.9899205 -6.515941e-04 0.06581937
166   0.06399370  0.9298869 1.0312327  1.938160e-03 0.07059047
167   0.06321517  0.9481331 0.9677305 -2.107943e-03 0.06429486
168   0.06321517  0.9266189 1.0276085  1.698387e-03 0.06971775
169   0.06534256  0.9494870 0.9691124 -2.082600e-03 0.06645736
170   0.06534256  0.9578025 0.9878501 -8.036678e-04 0.06719294
171   0.05337486  0.8015226 1.2332422  1.009475e-02 0.08048707
172   0.06468171  0.8073446 1.0053039  3.412538e-04 0.07902275
173   0.06468171  0.7961003 1.2248993  1.187597e-02 0.09704716
174   0.07543634  0.9415819 1.0144436  1.074061e-03 0.08086601
175   0.07543634  0.8100515 1.2463650  1.491126e-02 0.11299289
176   0.07616056  0.9506215 0.9804438 -1.519121e-03 0.07823063
177   0.07616056  0.8145817 1.2533353  1.539425e-02 0.11413803
