"rules","support","confidence","lift","count"
"{AppointmentDay=[11,20)} => {SMS_received=0}",0.245699956546929,0.889839677387627,1.31016661276837,27141
"{ScheduledDay=[ 7,14),AppointmentDay=[ 6,11)} => {SMS_received=0}",0.0658676129779838,0.863312766967252,1.27110938340914,7276
"{ScheduledDay=[ 7,14),AppointmentDay=[11,20)} => {SMS_received=0}",0.108542149478563,0.963284325540291,1.41830376189914,11990
"{ScheduledDay=[14,23),AppointmentDay=[11,20)} => {SMS_received=0}",0.0894318511008111,0.942832601641535,1.3881914096332,9879
"{AppointmentDay=[11,20),Neighbourhood=[28,44)} => {SMS_received=0}",0.0587431199304751,0.889757301522007,1.31004532562915,6489
"{AppointmentDay=[11,20),Age=[38, 56)} => {SMS_received=0}",0.0585168018539977,0.881975712921272,1.29858800602646,6464
"{AppointmentDay=[11,20),Age=[19, 38)} => {SMS_received=0}",0.0606894553881808,0.874396765358028,1.28742904749762,6704
"{AppointmentDay=[11,20),Neighbourhood=[59,81]} => {SMS_received=0}",0.0608252462340672,0.887113810404014,1.30615314831681,6719
"{AppointmentDay=[11,20),Age=[56,115]} => {SMS_received=0}",0.0609429316338355,0.910714285714286,1.34090160422716,6732
"{PatientId=[4.17e+12,3.17e+13),AppointmentDay=[11,20)} => {SMS_received=0}",0.061558516801854,0.889819419000262,1.31013678507757,6800
"{PatientId=[9.44e+13,1.00e+15],AppointmentDay=[11,20)} => {SMS_received=0}",0.0618572566628042,0.89180370660402,1.31305837582548,6833
"{PatientId=[3.17e+13,9.44e+13),AppointmentDay=[11,20)} => {SMS_received=0}",0.0615856749710313,0.890794814717821,1.31157292119946,6803
"{PatientId=[3.92e+04,4.17e+12),AppointmentDay=[11,20)} => {SMS_received=0}",0.0606985081112399,0.886904761904762,1.30584535313626,6705
"{AppointmentDay=[11,20),Neighbourhood=[44,59)} => {SMS_received=0}",0.0613774623406721,0.886854153041203,1.30577083854107,6780
"{AppointmentDay=[11,20),Age=[ 0, 19)} => {SMS_received=0}",0.0655507676709154,0.892518180697646,1.31411034072089,7241
"{AppointmentDay=[11,20),Neighbourhood=[ 1,28)} => {SMS_received=0}",0.0647541280417149,0.895356114657654,1.31828880839111,7153
