       support confidence      lift      leverage   jaccard
1    0.8030852  0.8030852 1.0000000  0.000000e+00 0.8030852
2    0.9017236  0.9017236 1.0000000 -1.110223e-16 0.9017236
3    0.9281757  0.9281757 1.0000000 -1.110223e-16 0.9281757
4    0.9695829  0.9695829 1.0000000  1.110223e-16 0.9695829
5    0.9797491  0.9797491 1.0000000  1.110223e-16 0.9797491
6    0.2143866  0.8975214 0.9953398 -1.003765e-03 0.2314684
7    0.2203795  0.9226105 0.9940041 -1.329337e-03 0.2327965
8    0.2303556  0.9643750 0.9946288 -1.243963e-03 0.2355152
9    0.2335784  0.9778671 0.9980791 -4.495461e-04 0.2371268
10   0.2003820  0.8283127 1.0314133  6.102939e-03 0.2372454
11   0.2236204  0.9243723 1.0251170  5.479063e-03 0.2430605
12   0.2270061  0.9383677 1.0109807  2.465608e-03 0.2407057
13   0.2379780  0.9837219 1.0145826  3.420458e-03 0.2444509
14   0.2382586  0.9848819 1.0052390  1.241725e-03 0.2422789
15   0.2134089  0.8768458 0.9724108 -6.054823e-03 0.2290539
16   0.2254219  0.9262042 0.9978759 -4.798266e-04 0.2382552
17   0.2327274  0.9562209 0.9862189 -3.252054e-03 0.2374193
18   0.2384397  0.9796913 0.9999410 -1.406285e-05 0.2421465
19   0.2168308  0.8906738 0.9877459 -2.690036e-03 0.2335687
20   0.2251955  0.9250335 0.9966146 -7.649623e-04 0.2379431
21   0.2282735  0.9376766 0.9670928 -7.767436e-03 0.2318073
22   0.2382948  0.9788413 0.9990735 -2.209922e-04 0.2419482
23   0.2360226  0.9569111 1.1915437  3.794124e-02 0.2900563
24   0.2130468  0.8637598 0.9578986 -9.363795e-03 0.2277778
25   0.2436450  0.9878147 1.0642540  1.471000e-02 0.2616515
26   0.2416172  0.9795933 1.0103245  2.469091e-03 0.2479101
27   0.2430204  0.9852822 1.0056476  1.364763e-03 0.2471278
28   0.2398157  0.9647123 1.0698536  1.565821e-02 0.2633902
29   0.2386298  0.9599417 0.9900564 -2.396664e-03 0.2436139
30   0.2395351  0.9635834 0.9835002 -4.018587e-03 0.2422478
31   0.2005540  0.8022742 0.9989902 -2.027251e-04 0.2352504
32   0.2254309  0.9017889 1.0000724  1.632611e-05 0.2433737
33   0.2326640  0.9307235 1.0027450  6.369166e-04 0.2460768
34   0.2427397  0.9710292 1.0014917  3.615582e-04 0.2484987
35   0.2445865  0.9784167 0.9986401 -3.330542e-04 0.2482747
36   0.2021383  0.8085823 1.0068450  1.374231e-03 0.2375476
37   0.2254490  0.9018287 1.0001165  2.626850e-05 0.2433957
38   0.2319217  0.9277204 0.9995095 -1.138092e-04 0.2450969
39   0.2424229  0.9697266 1.0001483  3.593553e-05 0.2480915
40   0.2457090  0.9828716 1.0031871  7.806140e-04 0.2496964
41   0.2253675  0.9014375 0.9996827 -7.153212e-05 0.2432815
42   0.2310527  0.9241771 0.9956920 -9.996757e-04 0.2439498
43   0.2414723  0.9658544 0.9961545 -9.321551e-04 0.2468740
44   0.2447042  0.9787812 0.9990121 -2.419770e-04 0.2484170
45   0.2014050  0.8055616 1.0030836  6.191504e-04 0.2364746
