         support confidence      lift      leverage    jaccard
1     0.96958285  0.9695829 1.0000000  1.110223e-16 0.96958285
2     0.97974906  0.9797491 1.0000000  1.110223e-16 0.97974906
3     0.06881880  0.9581548 0.9882134 -8.208134e-04 0.07075841
4     0.09349652  0.9513633 0.9812089 -1.790551e-03 0.09595659
5     0.09666498  0.9836035 1.0039341  3.788041e-04 0.09850099
6     0.11911573  0.9689962 0.9993950 -7.210971e-05 0.12237154
7     0.12053701  0.9805582 1.0008259  9.946711e-05 0.12272907
8     0.15034762  0.9669306 0.9972645 -4.123972e-04 0.15424623
9     0.15194090  0.9771775 0.9973752 -3.998572e-04 0.15452177
10    0.19413565  1.0000000 1.4723625  6.228249e-02 0.28583805
11    0.18829664  0.9699231 1.0003509  6.604659e-05 0.19304123
12    0.19016150  0.9795290 0.9997754 -4.271582e-05 0.19330793
13    0.18818801  0.9556822 0.9754357 -4.739114e-03 0.19038199
14    0.23035559  0.9643750 0.9946288 -1.243963e-03 0.23551516
15    0.23357836  0.9778671 0.9980791 -4.495461e-04 0.23712676
16    0.23797798  0.9837219 1.0145826  3.420458e-03 0.24445085
17    0.23825862  0.9848819 1.0052390  1.241725e-03 0.24227891
18    0.23272740  0.9562209 0.9862189 -3.252054e-03 0.23741931
19    0.23843967  0.9796913 0.9999410 -1.406285e-05 0.24214649
20    0.23829483  0.9788413 0.9990735 -2.209922e-04 0.24194823
21    0.23602260  0.9569111 1.1915437  3.794124e-02 0.29005629
22    0.24364499  0.9878147 1.0642540  1.471000e-02 0.26165153
23    0.24161718  0.9795933 1.0103245  2.469091e-03 0.24791009
24    0.24302035  0.9852822 1.0056476  1.364763e-03 0.24712781
25    0.23981569  0.9647123 1.0698536  1.565821e-02 0.26339024
26    0.23862978  0.9599417 0.9900564 -2.396664e-03 0.24361391
27    0.23953505  0.9635834 0.9835002 -4.018587e-03 0.24224780
28    0.24273972  0.9710292 1.0014917  3.615582e-04 0.24849867
29    0.24458647  0.9784167 0.9986401 -3.330542e-04 0.24827472
30    0.24242287  0.9697266 1.0001483  3.593553e-05 0.24809153
31    0.24570901  0.9828716 1.0031871  7.806140e-04 0.24969641
32    0.24147233  0.9658544 0.9961545 -9.321551e-04 0.24687405
33    0.24470416  0.9787812 0.9990121 -2.419770e-04 0.24841701
34    0.24294793  0.9717213 1.0022056  5.346614e-04 0.24875562
35    0.24474942  0.9789268 0.9991607 -2.055828e-04 0.24847209
36    0.24756482  0.9671795 0.9975212 -6.151787e-04 0.25313796
37    0.24941157  0.9743943 0.9945346 -1.370624e-03 0.25287515
38    0.25131264  0.9713096 1.0017809  4.467750e-04 0.25722731
39    0.25363919  0.9803016 1.0005640  1.429620e-04 0.25754205
40    0.26095379  0.9986143 1.2434725  5.109487e-02 0.32479268
41    0.26085421  0.9982332 1.0754787  1.830714e-02 0.28089997
42    0.26106243  0.9990300 1.0303709  7.695009e-03 0.26918194
43    0.25889883  0.9907504 1.0112287  2.874816e-03 0.26359983
44    0.25926094  0.9776405 1.0083104  2.136805e-03 0.26576898
45    0.26098095  0.9841264 1.0044679  1.160840e-03 0.26523571
46    0.25918851  0.9689330 0.9993297 -1.738453e-04 0.26504786
47    0.26219402  0.9801685 1.0004281  1.122091e-04 0.26617224
48    0.31315180  0.9760998 1.0067214  2.090757e-03 0.32044168
49    0.31599435  0.9849601 1.0053187  1.671795e-03 0.32094520
50    0.32961870  0.9681717 0.9985445 -4.804447e-04 0.33620188
51    0.33324884  0.9788343 0.9990663 -3.114371e-04 0.33765352
52    0.34147777  0.9754590 0.9956213 -1.501811e-03 0.34550634
53    0.40298197  0.9700159 1.0004466  1.799084e-04 0.41035214
54    0.40685653  0.9793424 0.9995849 -1.689604e-04 0.41166018
55    0.63885972  0.9829652 1.0138021  8.697574e-03 0.65146270
56    0.63827129  0.9820598 1.0023585  1.501811e-03 0.64380222
57    0.65643105  0.9665045 0.9968251 -2.090757e-03 0.66150323
58    0.66375471  0.9772876 0.9974876 -1.671795e-03 0.66697292
59    0.78989535  0.9835761 1.0596874  4.449122e-02 0.83909527
60    0.78468098  0.9770831 1.0077356  6.023376e-03 0.79422194
61    0.79156105  0.9856502 1.0060231  4.739114e-03 0.79852968
62    0.87608633  0.9715685 1.0020480  1.790551e-03 0.88029399
63    0.88308408  0.9793290 0.9995712 -3.788041e-04 0.88450937
64    0.90076405  0.9704672 1.0009121  8.208134e-04 0.90347946
65    0.91152774  0.9820638 1.0023626  2.148474e-03 0.91482383
66    0.95003802  0.9798420 1.0000949  9.013648e-05 0.95070933
67    0.95003802  0.9696749 1.0000949  9.013648e-05 0.95070933
68    0.05631699  0.9604755 0.9906070 -5.340031e-04 0.05794523
69    0.06399370  0.9598099 0.9899205 -6.515941e-04 0.06581937
70    0.06534256  0.9578025 0.9878501 -8.036678e-04 0.06719294
71    0.07616056  0.9506215 0.9804438 -1.519121e-03 0.07823063
72    0.07894880  0.9854237 1.0057920  4.546353e-04 0.08048470
73    0.06536066  0.9815117 1.0017991  1.173769e-04 0.06662791
74    0.07998986  0.9845125 1.0606963  4.577266e-03 0.08606298
75    0.07834227  0.9642340 0.9944833 -4.345858e-04 0.08055853
76    0.08000797  0.9847354 1.0050894  4.051293e-04 0.08155845
77    0.08867142  0.9521726 0.9820436 -1.621332e-03 0.09103498
78    0.09165882  0.9842520 1.0045960  4.193351e-04 0.09341354
79    0.09192135  0.9831526 1.0034739  3.182188e-04 0.09367072
80    0.09192135  0.9509271 0.9807590 -1.803354e-03 0.09434348
81    0.08698762  0.9654376 0.9957247 -3.734983e-04 0.08942931
82    0.08819163  0.9788004 0.9990317 -8.547925e-05 0.08983936
83    0.05660668  0.9759638 1.0065811  3.700996e-04 0.05829868
84    0.05709552  0.9843921 1.0047390  2.692984e-04 0.05822187
85    0.07989933  0.9807756 1.0115439  9.118258e-04 0.08227299
86    0.08010755  0.9833315 1.0036565  2.918437e-04 0.08165017
87    0.06250905  0.9627719 0.9929754 -4.422093e-04 0.06430973
88    0.06344148  0.9771333 0.9973302 -1.698313e-04 0.06465481
89    0.09763362  0.9839431 1.0600828  5.533624e-03 0.10500847
90    0.09681887  0.9757321 1.0063422  6.101750e-04 0.09960883
91    0.09775130  0.9851291 1.0054912  5.338442e-04 0.09962174
92    0.10776362  0.9715172 1.0019950  2.145616e-04 0.11078332
93    0.10872320  0.9801681 1.0004277  4.648380e-05 0.11072186
94    0.11071480  0.9696345 1.0000533  5.897907e-06 0.11378120
95    0.11219945  0.9826370 1.0029476  3.297466e-04 0.11428730
96    0.11682539  0.9807722 1.0010442  1.218667e-04 0.11896202
97    0.11682539  0.9692077 0.9996130 -4.522428e-05 0.12003088
98    0.09216577  1.0000000 1.4723625  2.956857e-02 0.13570143
99    0.08887963  0.9643453 0.9945982 -4.827184e-04 0.09135828
100   0.08976680  0.9739711 0.9941026 -5.325279e-04 0.09139844
101   0.05015209  0.9715889 1.0020690  1.035504e-04 0.05164731
102   0.05075862  0.9833392 1.0036643  1.853171e-04 0.05176234
103   0.05389991  0.9743086 0.9944471 -3.009713e-04 0.05493431
104   0.09827636  0.9811116 1.0118904  1.154817e-03 0.10116202
