      support confidence      lift      leverage   jaccard
1   0.8027541  0.8027541 1.0000000  0.000000e+00 0.8027541
2   0.9017344  0.9017344 1.0000000  0.000000e+00 0.9017344
3   0.9281352  0.9281352 1.0000000  0.000000e+00 0.9281352
4   0.9696002  0.9696002 1.0000000 -1.110223e-16 0.9696002
5   0.9797244  0.9797244 1.0000000 -1.110223e-16 0.9797244
6   0.5111964  0.7864839 0.9797320 -1.057527e-02 0.5429395
7   0.5698789  0.8767678 0.9723127 -1.622771e-02 0.5804237
8   0.5992563  0.9219655 0.9933526 -4.010181e-03 0.6122008
9   0.6389118  0.9829761 1.0137952  8.694007e-03 0.6515084
10  0.6383056  0.9820434 1.0023670  1.507309e-03 0.6438454
11  0.5438852  0.8010394 0.9978640 -1.164239e-03 0.5799319
12  0.6124205  0.9019788 1.0002710  1.659379e-04 0.6324774
13  0.6284256  0.9255513 0.9972161 -1.754382e-03 0.6421130
14  0.6562378  0.9665134 0.9968165 -2.095833e-03 0.6613056
15  0.6635483  0.9772803 0.9975053 -1.659490e-03 0.6667818
16  0.7215341  0.8988233 0.9967717 -2.336877e-03 0.7340464
17  0.7215341  0.8001625 0.9967717 -2.336877e-03 0.7340464
18  0.7895718  0.9835787 1.0597364  4.450746e-02 0.8387943
19  0.7895718  0.8507077 1.0597364  4.450746e-02 0.8387943
20  0.7843604  0.9770868 1.0077213  6.009877e-03 0.7938919
21  0.7843604  0.8089524 1.0077213  6.009877e-03 0.7938919
22  0.7912365  0.9856525 1.0060507  4.758764e-03 0.7982274
23  0.7912365  0.8076113 1.0060507  4.758764e-03 0.7982274
24  0.8350177  0.9260129 0.9977133 -1.913772e-03 0.8393387
25  0.8350177  0.8996725 0.9977133 -1.913772e-03 0.8393387
26  0.8761117  0.9715851 1.0020471  1.789858e-03 0.8803171
27  0.8761117  0.9035804 1.0020471  1.789858e-03 0.8803171
28  0.8830693  0.9793009 0.9995677 -3.819263e-04 0.8844937
29  0.8830693  0.9013446 0.9995677 -3.819263e-04 0.8844937
30  0.9007392  0.9704827 1.0009102  8.191147e-04 0.9034530
31  0.9007392  0.9289800 1.0009102  8.191147e-04 0.9034530
32  0.9114696  0.9820440 1.0023676  2.152877e-03 0.9147719
33  0.9114696  0.9303326 1.0023676  2.152877e-03 0.9147719
34  0.9500303  0.9798165 1.0000940  8.933583e-05 0.9507012
35  0.9500303  0.9696914 1.0000940  8.933583e-05 0.9507012
36  0.3776634  0.8762333 0.9717199 -1.099120e-02 0.3954264
37  0.3951252  0.9167471 0.9877302 -4.908348e-03 0.4098733
38  0.4231002  0.9816533 1.0124310  5.194986e-03 0.4328357
39  0.4222588  0.9797011 0.9999762 -1.005639e-05 0.4271828
40  0.4465334  0.8735067 0.9686962 -1.442993e-02 0.4620599
41  0.4465334  0.7835585 0.9760879 -1.093915e-02 0.4821657
42  0.5028636  0.9836994 1.0598665  2.840422e-02 0.5369789
43  0.5028636  0.8391461 1.0453339  2.180812e-02 0.5592675
44  0.5043926  0.9866905 1.0176261  8.736506e-03 0.5165819
45  0.5043926  0.7894558 0.9834342 -8.496428e-03 0.5381489
46  0.5049083  0.9876993 1.0081400  4.076751e-03 0.5120709
47  0.5049083  0.7910135 0.9853746 -7.494098e-03 0.5393447
48  0.5238358  0.9192056 0.9903789 -5.088822e-03 0.5377207
49  0.5238358  0.8741432 0.9694020 -1.653422e-02 0.5360827
50  0.5627675  0.9875212 1.0184829  1.021283e-02 0.5761859
51  0.5627675  0.8808219 0.9768086 -1.336125e-02 0.5754982
52  0.5593746  0.9815676 1.0018814  1.050409e-03 0.5648944
53  0.5593746  0.8763430 0.9718416 -1.620747e-02 0.5704032
54  0.5892225  0.9832563 1.0140843  8.183531e-03 0.6014722
55  0.5892225  0.9222284 0.9936358 -3.773955e-03 0.6025852
56  0.5898106  0.9842377 1.0046067  2.704618e-03 0.5962682
57  0.5898106  0.9240255 0.9955721 -2.623240e-03 0.6039243
58  0.6274847  0.9821148 1.0024398  1.527240e-03 0.6330866
59  0.6274847  0.9830475 1.0138689  8.583484e-03 0.6400155
60  0.4891836  0.8994244 0.9974383 -1.256370e-03 0.5114651
61  0.4891836  0.7987708 0.9950380 -2.439411e-03 0.5282812
62  0.5345481  0.9828326 1.0589326  2.974911e-02 0.5702015
63  0.5345481  0.8506148 1.0596206  3.007688e-02 0.5961736
64  0.5300243  0.9745151 1.0050690  2.673141e-03 0.5389378
65  0.5300243  0.8076711 1.0061252  3.226734e-03 0.5705520
66  0.5348195  0.9833317 1.0036819  1.961935e-03 0.5408828
67  0.5348195  0.8059995 1.0040428  2.153464e-03 0.5741593
68  0.5654184  0.9232519 0.9947386 -2.990618e-03 0.5798347
69  0.5654184  0.8997380 0.9977860 -1.254618e-03 0.5860827
70  0.5933301  0.9688280 0.9992036 -4.728902e-04 0.6001171
71  0.5933301  0.9041389 1.0026665  1.577888e-03 0.6150780
72  0.5982249  0.9768205 0.9970359 -1.778440e-03 0.6018843
73  0.5982249  0.9015544 0.9998004 -1.194478e-04 0.6186030
74  0.6078515  0.9672608 0.9975873 -1.470137e-03 0.6138833
75  0.6078515  0.9262670 0.9979872 -1.225970e-03 0.6224660
76  0.6155238  0.9794696 0.9997399 -1.601252e-04 0.6200963
77  0.6155238  0.9276248 0.9994500 -3.387052e-04 0.6305565
78  0.6413636  0.9773341 0.9975603 -1.568585e-03 0.6448467
79  0.6413636  0.9665667 0.9968714 -2.012882e-03 0.6466762
80  0.7096094  0.9834731 1.0596227  3.992821e-02 0.7548555
81  0.7096094  0.8987269 0.9966648 -2.374632e-03 0.7228397
82  0.7096094  0.8498136 1.0586226  3.929556e-02 0.7645316
83  0.7060447  0.9785326 1.0092125  6.445073e-03 0.7167314
84  0.7060447  0.9001534 0.9982467 -1.240076e-03 0.7204169
85  0.7060447  0.8058843 1.0038993  2.742421e-03 0.7257703
86  0.7112561  0.9857553 1.0061557  4.351497e-03 0.7184387
87  0.7112561  0.8989171 0.9968757 -2.229139e-03 0.7245037
88  0.7112561  0.8054363 1.0033413  2.368595e-03 0.7298173
89  0.7718657  0.9775751 1.0082249  6.296753e-03 0.7817895
90  0.7718657  0.9840702 1.0602660  4.387321e-02 0.8205839
91  0.7718657  0.8569247 1.0674810  4.879364e-02 0.8285132
92  0.7784252  0.9858827 1.0062858  4.862435e-03 0.7855969
93  0.7784252  0.9838084 1.0599840  4.405070e-02 0.8272788
94  0.7784252  0.8540331 1.0638788  4.673925e-02 0.8318299
95  0.7731685  0.9857313 1.0061312  4.711533e-03 0.7802562
96  0.7731685  0.9771649 1.0078019  5.985458e-03 0.7828222
97  0.7731685  0.8138357 1.0138045  1.052784e-02 0.7892569
98  0.8120731  0.9725220 1.0030134  2.439761e-03 0.8181727
99  0.8120731  0.9269058 0.9986754 -1.077064e-03 0.8184786
100 0.8120731  0.9015629 0.9998098 -1.544573e-04 0.8199441
101 0.8198178  0.9817969 1.0021154  1.730569e-03 0.8240001
102 0.8198178  0.9283731 1.0002563  2.100791e-04 0.8269405
103 0.8198178  0.8994461 0.9974623 -2.085723e-03 0.8252760
104 0.8581161  0.9794597 0.9997298 -2.319219e-04 0.8600771
105 0.8581161  0.9717427 1.0022097  1.891962e-03 0.8628156
106 0.8581161  0.9032513 1.0016822  1.441089e-03 0.8636012
107 0.8846526  0.9821407 1.0024663  2.176450e-03 0.8883740
108 0.8846526  0.9705783 1.0010088  8.915273e-04 0.8878336
109 0.8846526  0.9311836 1.0032844  2.896041e-03 0.8904289
110 0.3727325  0.9869436 1.0178872  6.549974e-03 0.3824736
111 0.3727325  0.8809554 0.9769566 -8.791592e-03 0.3914837
112 0.3697829  0.9791337 0.9993971 -2.230801e-04 0.3744240
113 0.3697829  0.8757258 0.9711571 -1.098236e-02 0.3875277
114 0.3879957  0.9819564 1.0127436  4.882251e-03 0.3972396
115 0.3879957  0.9170302 0.9880351 -4.698533e-03 0.4028028
116 0.3879324  0.9817961 1.0021146  8.185829e-04 0.3930749
117 0.3879324  0.9187075 0.9898424 -3.980912e-03 0.4030627
118 0.4145231  0.9797280 1.0000037  1.516672e-06 0.4194298
119 0.4145231  0.9816803 1.0124588  5.100922e-03 0.4241358
120 0.4393316  0.9838716 1.0600520  2.488817e-02 0.4697040
121 0.4393316  0.8736596 0.9688657 -1.411781e-02 0.4551402
122 0.4393316  0.8386818 1.0447556  1.882024e-02 0.4951563
123 0.4421725  0.9902338 1.0212806  9.213607e-03 0.4539940
124 0.4421725  0.8766435 0.9721749 -1.265566e-02 0.4587068
125 0.4421725  0.7857108 0.9787690 -9.591380e-03 0.4788790
126 0.4411320  0.9879037 1.0083486  3.652333e-03 0.4477926
127 0.4411320  0.8736874 0.9688966 -1.416116e-02 0.4568898
128 0.4411320  0.7886164 0.9823886 -7.908236e-03 0.4789724
129 0.4962498  0.9868478 1.0177884  8.673189e-03 0.5083412
130 0.4962498  0.9838562 1.0600354  2.810526e-02 0.5300240
131 0.4962498  0.8422111 1.0491521  2.324899e-02 0.5540191
132 0.4967474  0.9878374 1.0082808  4.079702e-03 0.5038821
133 0.4967474  0.9838369 1.0600146  2.812423e-02 0.5305452
134 0.4967474  0.8422151 1.0491570  2.327451e-02 0.5545186
135 0.4982402  0.9878025 1.0082452  4.074514e-03 0.5053778
136 0.4982402  0.9867935 1.0177324  8.681063e-03 0.5103518
137 0.4982402  0.7940277 0.9891295 -5.475643e-03 0.5345934
138 0.5174482  0.9878061 1.0187768  9.536930e-03 0.5301790
139 0.5174482  0.9194707 0.9906647 -4.876076e-03 0.5315587
