     support confidence      lift      leverage   jaccard
1  0.9017344  0.9017344 1.0000000  0.000000e+00 0.9017344
2  0.9281352  0.9281352 1.0000000  0.000000e+00 0.9281352
3  0.9696002  0.9696002 1.0000000 -1.110223e-16 0.9696002
4  0.9797244  0.9797244 1.0000000 -1.110223e-16 0.9797244
5  0.6562378  0.9665134 0.9968165 -2.095833e-03 0.6613056
6  0.6635483  0.9772803 0.9975053 -1.659490e-03 0.6667818
7  0.7215341  0.8988233 0.9967717 -2.336877e-03 0.7340464
8  0.7895718  0.9835787 1.0597364  4.450746e-02 0.8387943
9  0.7895718  0.8507077 1.0597364  4.450746e-02 0.8387943
10 0.7843604  0.9770868 1.0077213  6.009877e-03 0.7938919
11 0.7912365  0.9856525 1.0060507  4.758764e-03 0.7982274
12 0.8350177  0.9260129 0.9977133 -1.913772e-03 0.8393387
13 0.8350177  0.8996725 0.9977133 -1.913772e-03 0.8393387
14 0.8761117  0.9715851 1.0020471  1.789858e-03 0.8803171
15 0.8761117  0.9035804 1.0020471  1.789858e-03 0.8803171
16 0.8830693  0.9793009 0.9995677 -3.819263e-04 0.8844937
17 0.8830693  0.9013446 0.9995677 -3.819263e-04 0.8844937
18 0.9007392  0.9704827 1.0009102  8.191147e-04 0.9034530
19 0.9007392  0.9289800 1.0009102  8.191147e-04 0.9034530
20 0.9114696  0.9820440 1.0023676  2.152877e-03 0.9147719
21 0.9114696  0.9303326 1.0023676  2.152877e-03 0.9147719
22 0.9500303  0.9798165 1.0000940  8.933583e-05 0.9507012
23 0.9500303  0.9696914 1.0000940  8.933583e-05 0.9507012
24 0.7096094  0.9834731 1.0596227  3.992821e-02 0.7548555
25 0.7096094  0.8987269 0.9966648 -2.374632e-03 0.7228397
26 0.7060447  0.9785326 1.0092125  6.445073e-03 0.7167314
27 0.7060447  0.9001534 0.9982467 -1.240076e-03 0.7204169
28 0.7112561  0.9857553 1.0061557  4.351497e-03 0.7184387
29 0.7112561  0.8989171 0.9968757 -2.229139e-03 0.7245037
30 0.7718657  0.9775751 1.0082249  6.296753e-03 0.7817895
31 0.7718657  0.9840702 1.0602660  4.387321e-02 0.8205839
32 0.7718657  0.8569247 1.0674810  4.879364e-02 0.8285132
33 0.7784252  0.9858827 1.0062858  4.862435e-03 0.7855969
34 0.7784252  0.9838084 1.0599840  4.405070e-02 0.8272788
35 0.7784252  0.8540331 1.0638788  4.673925e-02 0.8318299
36 0.7731685  0.9857313 1.0061312  4.711533e-03 0.7802562
37 0.7731685  0.9771649 1.0078019  5.985458e-03 0.7828222
38 0.8120731  0.9725220 1.0030134  2.439761e-03 0.8181727
39 0.8120731  0.9269058 0.9986754 -1.077064e-03 0.8184786
40 0.8120731  0.9015629 0.9998098 -1.544573e-04 0.8199441
41 0.8198178  0.9817969 1.0021154  1.730569e-03 0.8240001
42 0.8198178  0.9283731 1.0002563  2.100791e-04 0.8269405
43 0.8198178  0.8994461 0.9974623 -2.085723e-03 0.8252760
44 0.8581161  0.9794597 0.9997298 -2.319219e-04 0.8600771
45 0.8581161  0.9717427 1.0022097  1.891962e-03 0.8628156
46 0.8581161  0.9032513 1.0016822  1.441089e-03 0.8636012
47 0.8846526  0.9821407 1.0024663  2.176450e-03 0.8883740
48 0.8846526  0.9705783 1.0010088  8.915273e-04 0.8878336
49 0.8846526  0.9311836 1.0032844  2.896041e-03 0.8904289
50 0.6946628  0.9789369 1.0096294  6.625419e-03 0.7055661
51 0.6946628  0.9838794 1.0600605  3.935792e-02 0.7393829
52 0.6946628  0.8999789 0.9980532 -1.355023e-03 0.7096091
53 0.6946628  0.8554191 1.0656055  4.276788e-02 0.7549335
54 0.6996933  0.9860259 1.0064319  4.471620e-03 0.7070176
55 0.6996933  0.9837431 1.0599136  3.955149e-02 0.7445938
56 0.6996933  0.8988575 0.9968095 -2.239490e-03 0.7136332
57 0.6996933  0.8534742 1.0631826  4.158122e-02 0.7581640
58 0.6960652  0.9858657 1.0062684  4.336009e-03 0.7033065
59 0.6960652  0.9786422 1.0093255  6.431192e-03 0.7068151
60 0.6960652  0.9002762 0.9983828 -1.127475e-03 0.7111140
61 0.7610358  0.9859691 1.0063740  4.820099e-03 0.7682928
62 0.7610358  0.9776608 1.0083133  6.274563e-03 0.7710677
63 0.7610358  0.9843077 1.0605219  4.343082e-02 0.8093818
64 0.7610358  0.8602651 1.0716421  5.087727e-02 0.8215238
65 0.7974160  0.9819511 1.0022727  1.808207e-03 0.8019216
66 0.7974160  0.9726747 1.0031709  2.520540e-03 0.8038452
67 0.7974160  0.9292635 1.0012157  9.682368e-04 0.8064194
68 0.7974160  0.9013889 0.9996168 -3.056982e-04 0.8063088
69 0.6850362  0.9861420 1.0065504  4.458091e-03 0.6924097
70 0.6850362  0.9790522 1.0097483  6.613492e-03 0.6959931
71 0.6850362  0.9841552 1.0603576  3.899360e-02 0.7294105
72 0.6850362  0.9001367 0.9982282 -1.215907e-03 0.7006366
73 0.6850362  0.8590701 1.0701535  4.490728e-02 0.7485640
