"rules","support","confidence","lift","count"
"{ScheduledDay=23} => {AppointmentDay=23}",0.0517430130194432,1,8.13476116876426,5719
"{ScheduledDay=23} => {SMS_received=0}",0.0517430130194432,1,1.47280964754481,5719
"{Diabetes=1} => {Hipertension=1}",0.058682493870276,0.816568047337278,4.13984755598584,6486
"{Scholarship=1} => {Gender=1}",0.0800980755833416,0.815118313230826,1.25407268661558,8853
"{ScheduledDay=22} => {SMS_received=0}",0.0991703384693333,0.764952194849606,1.12662897248507,10961
"{ScheduledDay=19} => {SMS_received=0}",0.142408642232215,0.870767868997566,1.28247531823165,15740
"{ScheduledDay=18} => {SMS_received=0}",0.136762962895944,0.773909481875896,1.13982135123322,15116
"{AppointmentDay=20} => {SMS_received=0}",0.194124512562541,1,1.47280964754481,21456
"{AppointmentDay=19} => {SMS_received=0}",0.147484325097035,0.750437344627567,1.10525136104539,16301
"{ScheduledDay=23,AppointmentDay=23} => {SMS_received=0}",0.0517430130194432,1,1.47280964754481,5719
"{ScheduledDay=23,SMS_received=0} => {AppointmentDay=23}",0.0517430130194432,1,8.13476116876426,5719
"{AppointmentDay=23,SMS_received=0} => {ScheduledDay=23}",0.0517430130194432,0.797184276554224,15.4066071926401,5719
"{ScheduledDay=23,Handcap=0} => {AppointmentDay=23}",0.0505306395722312,1,8.13476116876426,5585
"{ScheduledDay=23,Handcap=0} => {SMS_received=0}",0.0505306395722312,1,1.47280964754481,5585
"{Scholarship=0,Diabetes=1} => {Hipertension=1}",0.054792041763551,0.821263900189856,4.16365465328582,6056
"{Diabetes=1,Alcoholism=0} => {Hipertension=1}",0.0563663177323188,0.818552095651031,4.1499063105372,6230
"{Diabetes=1,Handcap=0} => {Hipertension=1}",0.0554434663023515,0.812301166489926,4.11821526666814,6128
"{Scholarship=1,SMS_received=0} => {Gender=1}",0.0533444316773277,0.801522566612289,1.23315541091253,5896
"{Scholarship=1,Hipertension=0} => {Gender=1}",0.0646629330389859,0.796145705692325,1.22488302356703,7147
"{Scholarship=1,Diabetes=0} => {Gender=1}",0.0754204854922327,0.809949475320637,1.24612034602957,8336
"{Scholarship=1,Alcoholism=0} => {Gender=1}",0.0761442905353443,0.814477886383432,1.2530873795699,8416
"{Scholarship=1,Handcap=0} => {Gender=1}",0.0789309399513241,0.816624543667509,1.25639004646351,8724
"{ScheduledDay=22,AppointmentDay=22} => {SMS_received=0}",0.0926651406443674,0.95943793911007,1.41306945294182,10242
"{ScheduledDay=22,SMS_received=0} => {AppointmentDay=22}",0.0926651406443674,0.934403795274154,4.76875136354372,10242
"{AppointmentDay=22,SMS_received=0} => {ScheduledDay=22}",0.0926651406443674,0.847496896979727,6.53718260398341,10242
"{ScheduledDay=22,Hipertension=0} => {SMS_received=0}",0.0789580826404408,0.766939098339046,1.12955530311306,8727
"{ScheduledDay=22,Scholarship=0} => {SMS_received=0}",0.0889104019832258,0.763914800995025,1.12510108880774,9827
"{ScheduledDay=22,Diabetes=0} => {SMS_received=0}",0.091317053751572,0.764737081375966,1.12631215128578,10093
"{ScheduledDay=22,Alcoholism=0} => {SMS_received=0}",0.0954246473712306,0.763169319826339,1.12400313695044,10547
"{ScheduledDay=22,Handcap=0} => {SMS_received=0}",0.0969717806508817,0.764261266400456,1.1256113663994,10718
"{ScheduledDay=20,AppointmentDay=20} => {SMS_received=0}",0.0921132392989948,1,1.47280964754481,10181
"{ScheduledDay=20,SMS_received=0} => {AppointmentDay=20}",0.0921132392989948,0.887310440997037,4.57083152088364,10181
"{ScheduledDay=19,AppointmentDay=19} => {SMS_received=0}",0.0963022609860034,0.996442613742745,1.46757029474508,10644
"{Gender=0,ScheduledDay=19} => {SMS_received=0}",0.0516615849520932,0.885545905707196,1.30424055326936,5710
"{Gender=1,ScheduledDay=19} => {SMS_received=0}",0.0907470572801216,0.862573099415205,1.27040598253134,10030
"{ScheduledDay=19,Hipertension=0} => {SMS_received=0}",0.112660254960326,0.863283416528009,1.27145214442789,12452
"{ScheduledDay=19,Scholarship=0} => {SMS_received=0}",0.128493490278394,0.87070075409233,1.28237647075172,14202
"{ScheduledDay=19,Diabetes=0} => {SMS_received=0}",0.13106299818144,0.868204974528019,1.27870066253126,14486
"{ScheduledDay=19,Alcoholism=0} => {SMS_received=0}",0.137649624073756,0.868924553086984,1.27976046477507,15214
"{ScheduledDay=19,Handcap=0} => {SMS_received=0}",0.139115329286057,0.869584888587264,1.2807330132705,15376
"{ScheduledDay=18,AppointmentDay=18} => {SMS_received=0}",0.092357523501045,0.981538461538462,1.44561931559013,10208
"{AppointmentDay=18,SMS_received=0} => {ScheduledDay=18}",0.092357523501045,0.844753392916253,4.78026102083016,10208
"{Gender=1,ScheduledDay=18} => {SMS_received=0}",0.0871732698797579,0.763349706861036,1.12426881271543,9635
"{ScheduledDay=18,Hipertension=0} => {SMS_received=0}",0.108588851592823,0.771039444944109,1.13559433315128,12002
"{ScheduledDay=18,Scholarship=0} => {SMS_received=0}",0.123010667076823,0.774347875612256,1.14046702175756,13596
