
Dunn Index
            comp       ave      cent
sin   0.00622315 0.0173961 0.0226172
comp  0.42346647 1.1837515 1.5390319
ave   0.25924813 0.7246982 0.9422025
cent  0.25924813 0.7246982 0.9422025
aveto 0.25924813 0.7246982 0.9422025
haus  0.16504366 0.4613605 0.5998290

Davies Index
            comp        ave       cent
sin   68.9595437 20.6872835 16.0856319
comp   0.9792666  0.3227746  0.2473718
ave    2.2865911  0.7195002  0.5578035
cent   2.2865911  0.7195002  0.5578035
aveto  2.2865911  0.7195002  0.5578035
haus   2.0605611  0.6651773  0.5084100

Silhouette Coefficient
[1] 0.6679522
