
Dunn Index
              comp          ave         cent
sin   0.0001228338 0.0003601546 0.0004734938
comp  0.4355895861 1.2771698125 1.6790900210
ave   0.2640789356 0.7742922591 1.0179589220
cent  0.2640789356 0.7742922591 1.0179589220
aveto 0.2640789356 0.7742922591 1.0179589220
haus  0.2684184093 0.7870158067 1.0346865189

Davies Index
              comp         ave        cent
sin   1183.5475139 343.3095138 255.0818792
comp     0.9968874   0.3138503   0.2342703
ave      2.2932937   0.6845933   0.5078503
cent     2.2932937   0.6845933   0.5078503
aveto    2.2932937   0.6845933   0.5078503
haus     2.0366349   0.6261880   0.4644361

Silhouette Coefficient
[1] 0.6724645
