
With 2 centroids
            comp         ave       cent
sin   0.00216602 0.006471038 0.00859394
comp  1.59029449 4.751043747 6.30968065
ave   1.03544975 3.093431494 4.10826881
cent  1.03544975 3.093431494 4.10826881
aveto 1.03544975 3.093431494 4.10826881
haus  1.00216602 2.993995531 3.97621168

With 3 centroids
            comp        ave       cent
sin   0.00431305 0.01280701 0.01698821
comp  1.54295548 4.58159587 6.07738322
ave   0.96914948 2.87775723 3.81727982
cent  0.96914948 2.87775723 3.81727982
aveto 0.96914948 2.87775723 3.81727982
haus  0.56926842 1.69036495 2.24223084

With 4 centroids
              comp          ave         cent
sin   0.0001116735 0.0003373645 0.0004494395
comp  0.8055601949 2.4335895497 3.2420454595
ave   0.2631797588 0.7950635033 1.0591893038
cent  0.2631797588 0.7950635033 1.0591893038
aveto 0.2631797588 0.7950635033 1.0591893038
haus  0.6354202201 1.9195983332 2.5573026729

With 5 centroids
              comp          ave         cent
sin   0.0002263308 0.0006762766 0.0009069595
comp  0.7493159407 2.2389565186 3.0026806870
ave   0.2689615550 0.8036573015 1.0777905860
cent  0.2689615550 0.8036573015 1.0777905860
aveto 0.2689615550 0.8036573015 1.0777905860
haus  0.5793364460 1.7310576778 2.3215338994

With 6 centroids
              comp         ave        cent
sin   0.0004198526 0.001253319 0.001647237
comp  0.8851896790 2.642415852 3.472927294
ave   0.3278261581 0.978607250 1.286183560
cent  0.3278261581 0.978607250 1.286183560
aveto 0.3278261581 0.978607250 1.286183560
haus  0.2061690831 0.615443748 0.808877750

With 7 centroids
            comp        ave       cent
sin   0.00607616 0.01744113 0.02269067
comp  0.42374077 1.21631424 1.58240776
ave   0.26276381 0.75424267 0.98125913
cent  0.26276381 0.75424267 0.98125913
aveto 0.26276381 0.75424267 0.98125913
haus  0.16495706 0.47349614 0.61601183

With 8 centroids
              comp        ave        cent
sin   0.0006297438 0.00180162 0.002344684
comp  0.3738805775 1.06962692 1.392045495
ave   0.2236796833 0.63992041 0.832812171
cent  0.2236796833 0.63992041 0.832812171
aveto 0.2236796833 0.63992041 0.832812171
haus  0.2272258692 0.65006561 0.846015457

With 9 centroids
             comp         ave       cent
sin   0.000572162 0.001641387 0.00217738
comp  0.457723834 1.313093320 1.74188218
ave   0.277331978 0.795594942 1.05539540
cent  0.277331978 0.795594942 1.05539540
aveto 0.277331978 0.795594942 1.05539540
haus  0.178025115 0.510708797 0.67748007

With 10 centroids
              comp         ave        cent
sin   0.0006637671 0.001932236 0.002543552
comp  0.5310069968 1.545768981 2.034815796
ave   0.3217337827 0.936571654 1.232882028
cent  0.3217337827 0.936571654 1.232882028
aveto 0.3217337827 0.936571654 1.232882028
haus  0.2065275485 0.601204655 0.791412393
