
Dunn Index
             comp       ave       cent
sin   0.003127119 0.0093809 0.01258062
comp  0.809119647 2.4272409 3.25514468
ave   0.262052058 0.7861179 1.05425368
cent  0.262052058 0.7861179 1.05425368
aveto 0.262052058 0.7861179 1.05425368
haus  0.170528413 0.5115604 0.68604768

Davies Index
             comp         ave       cent
sin   377.1052458 109.2654351 83.2531739
comp    0.9969609   0.2992025  0.2268839
ave     2.5284836   0.7006007  0.5402393
cent    2.5284836   0.7006007  0.5402393
aveto   2.5284836   0.7006007  0.5402393
haus    3.3701779   0.9043064  0.7018822

Silhouette Coefficient
[1] 0.7564585
