
Dunn Index
              comp       ave        cent
sin   0.0005294355 0.0015673 0.002114501
comp  0.6906872221 2.0446577 2.758520347
ave   0.2514065478 0.7442447 1.004087024
cent  0.2514065478 0.7442447 1.004087024
aveto 0.2514065478 0.7442447 1.004087024
haus  0.5307006498 1.5710457 2.119553531

Davies Index
             comp         ave        cent
sin   948.2916708 256.3260503 188.3268757
comp    0.9987556   0.3013620   0.2255906
ave     2.3005352   0.6436947   0.4760662
cent    2.3005352   0.6436947   0.4760662
aveto   2.3005352   0.6436947   0.4760662
haus    1.7846585   0.5558503   0.4152889

Silhouette Coefficient
[1] 0.6892991
