
Dunn Index
            comp        ave       cent
sin   0.00607616 0.01744113 0.02269067
comp  0.42374077 1.21631424 1.58240776
ave   0.26276381 0.75424267 0.98125913
cent  0.26276381 0.75424267 0.98125913
aveto 0.26276381 0.75424267 0.98125913
haus  0.16495706 0.47349614 0.61601183

Davies Index
            comp        ave       cent
sin   68.2787342 20.2868504 15.7477803
comp   0.9793053  0.3202556  0.2445296
ave    2.2662162  0.7047195  0.5448988
cent   2.2662162  0.7047195  0.5448988
aveto  2.2662162  0.7047195  0.5448988
haus   2.2065314  0.7071965  0.5409964

Silhouette Coefficient
[1] 0.6700117
