
With 2 centroids
             comp         ave       cent
sin   435.4587516 118.0251493 89.4937033
comp    0.9977088   0.2704154  0.2050450
ave     1.5206237   0.4121443  0.3125124
cent    1.5206237   0.4121443  0.3125124
aveto   1.5206237   0.4121443  0.3125124
haus    1.5824716   0.4289073  0.3252231

With 3 centroids
             comp         ave        cent
sin   832.2077973 235.8937806 180.9733590
comp    0.9939913   0.3163580   0.2388813
ave     1.7968199   0.5790623   0.4368558
cent    1.7968199   0.5790623   0.4368558
aveto   1.7968199   0.5790623   0.4368558
haus    2.4573613   0.7295980   0.5562325

With 4 centroids
             comp         ave        cent
sin   524.0982116 158.8541928 120.2886881
comp    0.9939538   0.3234984   0.2421860
ave     1.8744726   0.6126381   0.4583573
cent    1.8744726   0.6126381   0.4583573
aveto   1.8744726   0.6126381   0.4583573
haus    1.9172066   0.6280107   0.4696899

With 5 centroids
              comp         ave        cent
sin   2537.7581515 599.4253734 437.3400677
comp     0.9991593   0.3037716   0.2292025
ave      2.3109618   0.6418720   0.4769514
cent     2.3109618   0.6418720   0.4769514
aveto    2.3109618   0.6418720   0.4769514
haus     3.0622236   0.7882687   0.5802472

With 6 centroids
              comp         ave        cent
sin   3352.7092031 733.5318282 530.0638894
comp     0.9890431   0.3052557   0.2309884
ave      2.1845460   0.6327104   0.4756480
cent     2.1845460   0.6327104   0.4756480
aveto    2.1845460   0.6327104   0.4756480
haus     2.7724418   0.7461987   0.5551558

With 7 centroids
            comp        ave       cent
sin   71.5447715 21.3973389 16.6345183
comp   0.9794957  0.3205066  0.2452525
ave    2.2504104  0.7054867  0.5467789
cent   2.2504104  0.7054867  0.5467789
aveto  2.2504104  0.7054867  0.5467789
haus   1.9300606  0.6262565  0.4816281

With 8 centroids
              comp         ave        cent
sin   1350.7415933 370.1681959 274.2658835
comp     0.9981568   0.3169682   0.2374807
ave      2.3119558   0.6936171   0.5164883
cent     2.3119558   0.6936171   0.5164883
aveto    2.3119558   0.6936171   0.5164883
haus     2.4127171   0.7224445   0.5400608

With 9 centroids
             comp         ave        cent
sin   693.1941674 220.1822450 164.4049744
comp    0.9975374   0.3225834   0.2410305
ave     2.1722103   0.6670551   0.4951964
cent    2.1722103   0.6670551   0.4951964
aveto   2.1722103   0.6670551   0.4951964
haus    2.2541458   0.7078302   0.5264945

With 10 centroids
             comp         ave        cent
sin   788.3202834 235.2668055 175.2048521
comp    0.9971112   0.3244254   0.2435765
ave     2.0924956   0.6532780   0.4871401
cent    2.0924956   0.6532780   0.4871401
aveto   2.0924956   0.6532780   0.4871401
haus    2.1872049   0.6731678   0.5022385
