
With 2 centroids
             comp        ave       cent
sin   0.003647288 0.01083376 0.01433485
comp  1.591890635 4.72848830 6.25656886
ave   1.044468330 3.10244697 4.10504835
cent  1.044468330 3.10244697 4.10504835
aveto 1.044468330 3.10244697 4.10504835
haus  1.003647288 2.98119378 3.94461040

With 3 centroids
             comp         ave        cent
sin   0.001263969 0.003748193 0.005006997
comp  1.541153635 4.570161550 6.105018405
ave   0.965057343 2.861796424 3.822910776
cent  0.965057343 2.861796424 3.822910776
aveto 0.965057343 2.861796424 3.822910776
haus  0.564247449 1.673228379 2.235170450

With 4 centroids
             comp         ave        cent
sin   0.001877336 0.005549931 0.007443878
comp  1.436830420 4.247673171 5.697217184
ave   0.860748593 2.544613933 3.412978739
cent  0.860748593 2.544613933 3.412978739
aveto 0.860748593 2.544613933 3.412978739
haus  0.908900719 2.686965106 3.603908107

With 5 centroids
              comp          ave         cent
sin   0.0001454474 0.0004299408 0.0005681476
comp  0.7492200098 2.2146849863 2.9266076647
ave   0.2665229433 0.7878384897 1.0410935085
cent  0.2665229433 0.7878384897 1.0410935085
aveto 0.2665229433 0.7878384897 1.0410935085
haus  0.1690087719 0.4995878178 0.6601830715

With 6 centroids
              comp          ave         cent
sin   8.834643e-05 0.0002716061 0.0003488279
comp  8.621075e-01 2.6504028380 3.4039531705
ave   3.259437e-01 1.0020582614 1.2869588528
cent  3.259437e-01 1.0020582614 1.2869588528
aveto 3.259437e-01 1.0020582614 1.2869588528
haus  2.055812e-01 0.6320243610 0.8117186175

With 7 centroids
             comp        ave       cent
sin   0.005940295 0.01660861 0.02125385
comp  0.423873511 1.18511786 1.51658217
ave   0.260211644 0.72753182 0.93101439
cent  0.260211644 0.72753182 0.93101439
aveto 0.260211644 0.72753182 0.93101439
haus  0.264949557 0.74077866 0.94796623

With 8 centroids
              comp          ave         cent
sin   0.0002441535 0.0006898401 0.0008933858
comp  0.4241877749 1.1985155639 1.5521521267
ave   0.2596713421 0.7336848522 0.9501674721
cent  0.2596713421 0.7336848522 0.9501674721
aveto 0.2596713421 0.7336848522 0.9501674721
haus  0.1643707471 0.4644190858 0.6014515735

With 9 centroids
              comp          ave        cent
sin   0.0003546786 0.0009821102 0.001288195
comp  0.4839502756 1.3400654621 1.757710279
ave   0.2936193065 0.8130361971 1.066427067
cent  0.2936193065 0.8130361971 1.066427067
aveto 0.2936193065 0.8130361971 1.066427067
haus  0.1904243695 0.5272878922 0.691622442

With 10 centroids
              comp          ave         cent
sin   0.0002200886 0.0006362587 0.0008525908
comp  0.4661218609 1.3475211294 1.8056872421
ave   0.2826874575 0.8172268970 1.0950894569
cent  0.2826874575 0.8172268970 1.0950894569
aveto 0.2826874575 0.8172268970 1.0950894569
haus  0.2874032496 0.8308598760 1.1133577392
