
Dunn Index
             comp        ave       cent
sin   0.003647288 0.01083376 0.01433485
comp  1.591890635 4.72848830 6.25656886
ave   1.044468330 3.10244697 4.10504835
cent  1.044468330 3.10244697 4.10504835
aveto 1.044468330 3.10244697 4.10504835
haus  1.003647288 2.98119378 3.94461040

Davies Index
             comp         ave       cent
sin   435.4587516 118.0251493 89.4937033
comp    0.9977088   0.2704154  0.2050450
ave     1.5206237   0.4121443  0.3125124
cent    1.5206237   0.4121443  0.3125124
aveto   1.5206237   0.4121443  0.3125124
haus    1.5824716   0.4289073  0.3252231

Silhouette Coefficient
[1] 0.8552138
