
Dunn Index
             comp         ave       cent
sin   0.003092598 0.009270096 0.01245442
comp  1.540056951 4.616337498 6.20207280
ave   0.963718258 2.888755983 3.88105829
cent  0.963718258 2.888755983 3.88105829
aveto 0.963718258 2.888755983 3.88105829
haus  0.978848380 2.934108690 3.94198988

Davies Index
             comp        ave       cent
sin   351.6557263 99.3104354 75.6305601
comp    0.9932853  0.3122888  0.2347644
ave     1.8272023  0.5818108  0.4369980
cent    1.8272023  0.5818108  0.4369980
aveto   1.8272023  0.5818108  0.4369980
haus    1.8299233  0.5831754  0.4379821

Silhouette Coefficient
[1] 0.8258078
