
Dunn Index
             comp          ave         cent
sin   0.000118355 0.0003531067 0.0004773098
comp  0.782300508 2.3339574529 3.1549125652
ave   0.267940629 0.7993884970 1.0805684614
cent  0.267940629 0.7993884970 1.0805684614
aveto 0.267940629 0.7993884970 1.0805684614
haus  0.170689511 0.5092442768 0.6883678045

Davies Index
              comp         ave        cent
sin   2862.3704236 602.2581297 433.7468437
comp     0.9980489   0.2997409   0.2242488
ave      2.3728847   0.6415447   0.4736978
cent     2.3728847   0.6415447   0.4736978
aveto    2.3728847   0.6415447   0.4736978
haus     3.1238456   0.7763035   0.5680017

Silhouette Coefficient
[1] 0.6924088
