
With 2 centroids
              comp        ave        cent
sin   0.0007573817 0.00226077 0.003021953
comp  1.5809781678 4.71918934 6.308103324
ave   1.0199397165 3.04450038 4.069559749
cent  1.0199397165 3.04450038 4.069559749
aveto 1.0199397165 3.04450038 4.069559749
haus  1.0007573817 2.98724149 3.993022228

With 3 centroids
             comp        ave     cent
sin   0.007546461 0.02180463 0.028950
comp  1.540484060 4.45105191 5.909658
ave   0.965843985 2.79069536 3.705204
cent  0.965843985 2.79069536 3.705204
aveto 0.965843985 2.79069536 3.705204
haus  0.976074142 2.82025422 3.744449

With 4 centroids
              comp          ave         cent
sin   0.0002305534 0.0006761385 0.0008976899
comp  0.8673609140 2.5436891653 3.3771835424
ave   0.2976385730 0.8728777157 1.1588948430
cent  0.2976385730 0.8728777157 1.1588948430
aveto 0.2976385730 0.8728777157 1.1588948430
haus  0.1962283965 0.5754744512 0.7640410126

With 5 centroids
              comp          ave         cent
sin   0.0002153752 0.0006322855 0.0008449878
comp  0.8216581055 2.4121745581 3.2236356141
ave   0.2756217344 0.8091537477 1.0813549250
cent  0.2756217344 0.8091537477 1.0813549250
aveto 0.2756217344 0.8091537477 1.0813549250
haus  0.6464071677 1.8976833718 2.5360684122

With 6 centroids
              comp          ave         cent
sin   0.0002332822 0.0007050788 0.0009315755
comp  0.8920045817 2.6960198758 3.5620785871
ave   0.3311723756 1.0009447543 1.3224842695
cent  0.3311723756 1.0009447543 1.3224842695
aveto 0.3311723756 1.0009447543 1.3224842695
haus  0.6830089599 2.0643455976 2.7274877740

With 7 centroids
              comp          ave         cent
sin   0.0001606447 0.0004523948 0.0005848009
comp  0.4337772413 1.2215689138 1.5790954477
ave   0.2629987219 0.7406360510 0.9574040427
cent  0.2629987219 0.7406360510 0.9574040427
aveto 0.2629987219 0.7406360510 0.9574040427
haus  0.1650160081 0.4647049375 0.6007139204

With 8 centroids
              comp         ave        cent
sin   0.0003493564 0.001022171 0.001336627
comp  0.4171196240 1.220436605 1.595886628
ave   0.2581320912 0.755260205 0.987605303
cent  0.2581320912 0.755260205 0.987605303
aveto 0.2581320912 0.755260205 0.987605303
haus  0.2542730584 0.743969188 0.972840764

With 9 centroids
              comp         ave        cent
sin   0.0006681605 0.001941318 0.002592214
comp  0.4396920683 1.277510970 1.705841298
ave   0.2680041466 0.778677311 1.039756171
cent  0.2680041466 0.778677311 1.039756171
aveto 0.2680041466 0.778677311 1.039756171
haus  0.1696553532 0.492928098 0.658199519

With 10 centroids
             comp         ave         cent
sin   0.000149155 0.000433365 0.0005786658
comp  0.337430446 0.980393161 1.3091043300
ave   0.205558328 0.597243019 0.7974896744
cent  0.205558328 0.597243019 0.7974896744
aveto 0.205558328 0.597243019 0.7974896744
haus  0.204047433 0.592853163 0.7916279651
