
Dunn Index
             comp         ave         cent
sin   0.000149155 0.000433365 0.0005786658
comp  0.337430446 0.980393161 1.3091043300
ave   0.205558328 0.597243019 0.7974896744
cent  0.205558328 0.597243019 0.7974896744
aveto 0.205558328 0.597243019 0.7974896744
haus  0.204047433 0.592853163 0.7916279651

Davies Index
             comp         ave        cent
sin   897.5215744 269.3185739 201.3141682
comp    0.9973464   0.3321708   0.2492506
ave     2.1877668   0.6819123   0.5074896
cent    2.1877668   0.6819123   0.5074896
aveto   2.1877668   0.6819123   0.5074896
haus    2.3145903   0.7101501   0.5293007

Silhouette Coefficient
[1] 0.6605589
