
Dunn Index
             comp        ave     cent
sin   0.007546461 0.02180463 0.028950
comp  1.540484060 4.45105191 5.909658
ave   0.965843985 2.79069536 3.705204
cent  0.965843985 2.79069536 3.705204
aveto 0.965843985 2.79069536 3.705204
haus  0.976074142 2.82025422 3.744449

Davies Index
             comp        ave       cent
sin   155.8326633 44.8935216 34.1611589
comp    0.9913778  0.3169315  0.2392974
ave     1.8177403  0.5883107  0.4439416
cent    1.8177403  0.5883107  0.4439416
aveto   1.8177403  0.5883107  0.4439416
haus    1.7949796  0.5808778  0.4383361

Silhouette Coefficient
[1] 0.8216153
