
With 2 centroids
             comp        ave       cent
sin   354.4013290 96.2748107 72.8584323
comp    0.9971863  0.2708904  0.2050033
ave     1.5309368  0.4158863  0.3147326
cent    1.5309368  0.4158863  0.3147326
aveto   1.5309368  0.4158863  0.3147326
haus    2.6814432  0.7284268  0.5512557

With 3 centroids
             comp         ave        cent
sin   495.3244077 141.2823675 108.1964386
comp    0.9939811   0.3167568   0.2395687
ave     1.8089972   0.5832517   0.4408069
cent    1.8089972   0.5832517   0.4408069
aveto   1.8089972   0.5832517   0.4408069
haus    1.8277818   0.5904075   0.4461304

With 4 centroids
             comp         ave        cent
sin   913.7282322 277.5500058 210.5245877
comp    0.9983292   0.3019167   0.2294191
ave     2.4972255   0.7009357   0.5418406
cent    2.4972255   0.7009357   0.5418406
aveto   2.4972255   0.7009357   0.5418406
haus    2.0938648   0.6234394   0.4749651

With 5 centroids
              comp         ave        cent
sin   1318.5213092 311.6746652 226.5795995
comp     0.9987931   0.2976505   0.2222613
ave      2.3661723   0.6305023   0.4633689
cent     2.3661723   0.6305023   0.4633689
aveto    2.3661723   0.6305023   0.4633689
haus     1.7865561   0.5409955   0.4014804

With 6 centroids
              comp         ave        cent
sin   3736.4890114 797.5279529 572.0772375
comp     0.9851121   0.3042803   0.2305772
ave      2.1732026   0.6277666   0.4724602
cent     2.1732026   0.6277666   0.4724602
aveto    2.1732026   0.6277666   0.4724602
haus     2.6532721   0.7277983   0.5435924

With 7 centroids
              comp         ave        cent
sin   1131.9881183 323.2263899 257.2625090
comp     0.9831953   0.3201372   0.2456340
ave      2.2569606   0.7110876   0.5536065
cent     2.2569606   0.7110876   0.5536065
aveto    2.2569606   0.7110876   0.5536065
haus     2.2302791   0.7138958   0.5474784

With 8 centroids
             comp         ave        cent
sin   809.6895500 242.3144761 179.2929780
comp    0.9977385   0.3199564   0.2391700
ave     2.2853577   0.6823468   0.5063458
cent    2.2853577   0.6823468   0.5063458
aveto   2.2853577   0.6823468   0.5063458
haus    2.3371229   0.6812248   0.5032231

With 9 centroids
             comp         ave        cent
sin   812.2532506 247.9780095 185.0303489
comp    0.9971845   0.3249612   0.2435971
ave     2.1896575   0.6702862   0.4983991
cent    2.1896575   0.6702862   0.4983991
aveto   2.1896575   0.6702862   0.4983991
haus    2.3169640   0.7094588   0.5290478

With 10 centroids
             comp         ave        cent
sin   625.0481030 195.5071237 146.9315505
comp    0.9924572   0.3224824   0.2419382
ave     2.0094009   0.6432600   0.4819924
cent    2.0094009   0.6432600   0.4819924
aveto   2.0094009   0.6432600   0.4819924
haus    2.2059089   0.7045327   0.5288671
