
With 2 centroids
            comp        ave       cent
sin   0.00447962 0.01337537 0.01776876
comp  1.59206303 4.75362315 6.31504137
ave   1.03700127 3.09630532 4.11334588
cent  1.03700127 3.09630532 4.11334588
aveto 1.03700127 3.09630532 4.11334588
haus  0.59206303 1.76779717 2.34846388

With 3 centroids
             comp         ave        cent
sin   0.002166853 0.006400071 0.008539487
comp  1.542132519 4.554881518 6.077487638
ave   0.957392392 2.827778325 3.773048266
cent  0.957392392 2.827778325 3.773048266
aveto 0.957392392 2.827778325 3.773048266
haus  0.982963699 2.903306382 3.873823847

With 4 centroids
            comp         ave        cent
sin   0.00138236 0.004128649 0.005524961
comp  0.80315673 2.398761032 3.210023891
ave   0.26474330 0.790699858 1.058115168
cent  0.26474330 0.790699858 1.058115168
aveto 0.26474330 0.790699858 1.058115168
haus  0.63447668 1.894970031 2.535850379

With 5 centroids
              comp          ave        cent
sin   0.0003363245 0.0009823242 0.001306531
comp  0.8073914451 2.3581988108 3.136499288
ave   0.2759884978 0.8060969079 1.072141317
cent  0.2759884978 0.8060969079 1.072141317
aveto 0.2759884978 0.8060969079 1.072141317
haus  0.6337220414 1.8509516957 2.461840219

With 6 centroids
              comp          ave         cent
sin   8.248293e-05 0.0002505034 0.0003309226
comp  9.107647e-01 2.7660226204 3.6539996651
ave   3.421583e-01 1.0391459948 1.3727433351
cent  3.421583e-01 1.0391459948 1.3727433351
aveto 3.421583e-01 1.0391459948 1.3727433351
haus  2.152308e-01 0.6536629511 0.8635085580

With 7 centroids
              comp          ave         cent
sin   0.0002436092 0.0006901675 0.0009007543
comp  0.4411304451 1.2497634759 1.6310964727
ave   0.2708382918 0.7673100071 1.0014348077
cent  0.2708382918 0.7673100071 1.0014348077
aveto 0.2708382918 0.7673100071 1.0014348077
haus  0.1701956742 0.4821801344 0.6293049298

With 8 centroids
              comp          ave        cent
sin   0.0002901705 0.0008627536 0.001120511
comp  0.4160761493 1.2371045206 1.606703217
ave   0.2572538592 0.7648838143 0.993401337
cent  0.2572538592 0.7648838143 0.993401337
aveto 0.2572538592 0.7648838143 0.993401337
haus  0.2546650255 0.7571865266 0.983404400

With 9 centroids
             comp          ave        cent
sin   0.000259296 0.0007492125 0.001002005
comp  0.455131017 1.3150600276 1.758774898
ave   0.276693891 0.7994820451 1.069235565
cent  0.276693891 0.7994820451 1.069235565
aveto 0.276693891 0.7994820451 1.069235565
haus  0.173902395 0.5024752880 0.672015653

With 10 centroids
              comp          ave        cent
sin   0.0003199823 0.0009245601 0.001236516
comp  0.4275132308 1.2352609240 1.652050751
ave   0.2571728231 0.7430776785 0.993799782
cent  0.2571728231 0.7430776785 0.993799782
aveto 0.2571728231 0.7430776785 0.993799782
haus  0.1620568421 0.4682486299 0.626240566
