
Dunn Index
             comp         ave      cent
sin   0.002978004 0.009060897 0.0121271
comp  0.809404953 2.462701157 3.2960767
ave   0.257225429 0.782635884 1.0474791
cent  0.257225429 0.782635884 1.0474791
aveto 0.257225429 0.782635884 1.0474791
haus  0.643254751 1.957171393 2.6194762

Davies Index
             comp         ave        cent
sin   498.7612479 152.4253275 114.8563883
comp    0.9976787   0.2929848   0.2223720
ave     2.5674967   0.6971022   0.5377774
cent    2.5674967   0.6971022   0.5377774
aveto   2.5674967   0.6971022   0.5377774
haus    2.0973308   0.6064081   0.4609340

Silhouette Coefficient
[1] 0.6696414
