
Dunn Index
            comp         ave       cent
sin   0.00182718 0.005425079 0.00724118
comp  1.59020596 4.721479775 6.30204380
ave   1.03933927 3.085901752 4.11893917
cent  1.03933927 3.085901751 4.11893917
aveto 1.03933927 3.085901752 4.11893917
haus  0.59020596 1.752380241 2.33900759

Davies Index
            comp         ave        cent
sin   869.306243 235.8494216 177.6617474
comp    0.998851   0.2709959   0.2041370
ave     1.528258   0.4146281   0.3123330
cent    1.528258   0.4146281   0.3123330
aveto   1.528258   0.4146281   0.3123330
haus    2.691228   0.7301507   0.5500113

Silhouette Coefficient
[1] 0.9374495
