
Dunn Index
              comp         ave       cent
sin   7.943144e-05 0.000240711 0.00032566
comp  7.848354e-01 2.378384612 3.21773691
ave   2.521828e-01 0.764221015 1.03392115
cent  2.521828e-01 0.764221015 1.03392115
aveto 2.521828e-01 0.764221015 1.03392115
haus  1.650455e-01 0.500158076 0.67666814

Davies Index
              comp          ave        cent
sin   5138.1140907 1224.6788787 959.6717385
comp     0.9986161    0.2922524   0.2205680
ave      2.5323958    0.6860701   0.5252934
cent     2.5323958    0.6860701   0.5252934
aveto    2.5323958    0.6860701   0.5252934
haus     3.3669345    0.8841296   0.6806471

Silhouette Coefficient
[1] 0.6718168
