
With 2 centroids
            comp         ave        cent
sin   724.150083 199.3607769 150.8887714
comp    0.998621   0.2749235   0.2080794
ave     1.554084   0.4278442   0.3238194
cent    1.554084   0.4278442   0.3238194
aveto   1.554084   0.4278442   0.3238194
haus    2.730938   0.7518358   0.5690366

With 3 centroids
             comp        ave       cent
sin   259.1847656 74.0205866 56.1297847
comp    0.9931453  0.3174809  0.2387668
ave     1.8105619  0.5859148  0.4404078
cent    1.8105619  0.5859148  0.4404078
aveto   1.8105619  0.5859148  0.4404078
haus    1.8363351  0.5950820  0.4472572

With 4 centroids
              comp          ave         cent
sin   5442.8215780 1444.4067787 1145.2500944
comp     0.9996996    0.3024312    0.2310791
ave      2.5113860    0.7094646    0.5528277
cent     2.5113860    0.7094646    0.5528277
aveto    2.5113860    0.7094646    0.5528277
haus     2.1503451    0.6636235    0.5040710

With 5 centroids
              comp         ave        cent
sin   2906.4918589 676.5246069 491.0132270
comp     0.9993399   0.2984309   0.2237048
ave      2.3775400   0.6399878   0.4707006
cent     2.3775400   0.6399878   0.4707006
aveto    2.3775400   0.6399878   0.4707006
haus     1.7830631   0.5441943   0.4051389

With 6 centroids
              comp         ave        cent
sin   1980.8842780 452.0213809 329.4127506
comp     0.9974173   0.3058883   0.2289608
ave      2.1575769   0.6211496   0.4629693
cent     2.1575769   0.6211496   0.4629693
aveto    2.1575769   0.6211496   0.4629693
haus     2.0844313   0.6507246   0.4870537

With 7 centroids
            comp        ave       cent
sin   71.1079195 21.4340025 16.7007877
comp   0.9793787  0.3243676  0.2488603
ave    2.2589394  0.7140570  0.5546306
cent   2.2589394  0.7140570  0.5546306
aveto  2.2589394  0.7140570  0.5546306
haus   2.0639407  0.6694380  0.5122493

With 8 centroids
              comp         ave        cent
sin   1035.1591628 313.7747615 234.0433574
comp     0.9968506   0.3165740   0.2362990
ave      2.2543485   0.6664817   0.4940848
cent     2.2543485   0.6664817   0.4940848
aveto    2.2543485   0.6664817   0.4940848
haus     2.4723992   0.7208428   0.5350589

With 9 centroids
             comp         ave        cent
sin   862.6980867 232.6114123 172.3317648
comp    0.9968108   0.3260977   0.2464531
ave     2.1342450   0.6578057   0.4927499
cent    2.1342450   0.6578057   0.4927499
aveto   2.1342450   0.6578057   0.4927499
haus    2.2240910   0.7024561   0.5299529
