
With 2 centroids
             comp        ave        cent
sin   0.002173985 0.00635365 0.008431964
comp  1.576465434 4.60734950 6.114439339
ave   1.013002627 2.96058325 3.929006613
cent  1.013002627 2.96058325 3.929006613
aveto 1.013002627 2.96058325 3.929006613
haus  0.576465434 1.68476750 2.235864390

With 3 centroids
             comp        ave       cent
sin   0.004320765 0.01248306 0.01660114
comp  1.541880503 4.45462408 5.92417629
ave   0.965916963 2.79061636 3.71122299
cent  0.965916963 2.79061636 3.71122299
aveto 0.965916963 2.79061636 3.71122299
haus  0.976925055 2.82241968 3.75351802

With 4 centroids
              comp          ave        cent
sin   9.171639e-05 0.0002781815 0.000371895
comp  8.105208e-01 2.4583598969 3.286529587
ave   2.657628e-01 0.8060750973 1.077624826
cent  2.657628e-01 0.8060750966 1.077624825
aveto 2.657628e-01 0.8060750971 1.077624826
haus  6.380030e-01 1.9351028705 2.586998285

With 5 centroids
              comp         ave         cent
sin   0.0001421352 0.000414115 0.0005439457
comp  0.8130778018 2.368926173 3.1116168351
ave   0.2748715506 0.800846375 1.0519226356
cent  0.2748715503 0.800846374 1.0519226345
aveto 0.2748715505 0.800846375 1.0519226353
haus  0.6378955902 1.858527629 2.4412013868

With 6 centroids
             comp       ave        cent
sin   0.000150828 0.0004453 0.000584631
comp  0.788446975 2.3277865 3.056133208
ave   0.310644362 0.9171368 1.204101963
cent  0.310644362 0.9171368 1.204101961
aveto 0.310644362 0.9171368 1.204101962
haus  0.592980723 1.7506980 2.298478066

With 7 centroids
             comp        ave       cent
sin   0.005966388 0.01686971 0.02179041
comp  0.423543495 1.19755129 1.54686316
ave   0.262216641 0.74140645 0.95766614
cent  0.262216641 0.74140645 0.95766614
aveto 0.262216641 0.74140645 0.95766614
haus  0.164797771 0.46595872 0.60187349

With 8 centroids
              comp          ave         cent
sin   0.0001236777 0.0003637651 0.0004750664
comp  0.4042389938 1.1889612799 1.5527481184
ave   0.2485700955 0.7311026977 0.9547984088
cent  0.2485700950 0.7311026964 0.9547984071
aveto 0.2485700954 0.7311026973 0.9547984083
haus  0.1569994820 0.4617721395 0.6030606991

With 9 centroids
              comp          ave       cent
sin   0.0003353651 0.0009880626 0.00130981
comp  0.4364398556 1.2858521942 1.70457017
ave   0.2655110296 0.7822565596 1.03698637
cent  0.2655110290 0.7822565581 1.03698637
aveto 0.2655110294 0.7822565591 1.03698637
haus  0.1682657364 0.4957495600 0.65718277
