
Dunn Index
              comp        ave       cent
sin   0.0004121407 0.00119925 0.00161189
comp  0.3565435042 1.03747280 1.39444850
ave   0.2156033482 0.62736414 0.84322884
cent  0.2156033482 0.62736414 0.84322884
aveto 0.2156033482 0.62736414 0.84322884
haus  0.2127146423 0.61895856 0.83193106

Davies Index
             comp         ave        cent
sin   580.2240848 164.5523326 125.2082779
comp    0.9947052   0.3288254   0.2462764
ave     2.2451919   0.7011313   0.5284183
cent    2.2451919   0.7011313   0.5284183
aveto   2.2451919   0.7011313   0.5284183
haus    2.2690028   0.7070536   0.5330204

Silhouette Coefficient
[1] 0.655258
