
Dunn Index
              comp         ave         cent
sin   0.0001421352 0.000414115 0.0005439457
comp  0.8130778018 2.368926173 3.1116168351
ave   0.2748715506 0.800846375 1.0519226356
cent  0.2748715503 0.800846374 1.0519226345
aveto 0.2748715505 0.800846375 1.0519226353
haus  0.6378955902 1.858527629 2.4412013868

Davies Index
              comp         ave        cent
sin   2906.4918589 676.5246069 491.0132270
comp     0.9993399   0.2984309   0.2237048
ave      2.3775400   0.6399878   0.4707006
cent     2.3775400   0.6399878   0.4707006
aveto    2.3775400   0.6399878   0.4707006
haus     1.7830631   0.5441943   0.4051389

Silhouette Coefficient
[1] 0.7963712
