
Dunn Index
             comp       ave        cent
sin   0.000150828 0.0004453 0.000584631
comp  0.788446975 2.3277865 3.056133208
ave   0.310644362 0.9171368 1.204101963
cent  0.310644362 0.9171368 1.204101961
aveto 0.310644362 0.9171368 1.204101962
haus  0.592980723 1.7506980 2.298478066

Davies Index
              comp         ave        cent
sin   1980.8842780 452.0213809 329.4127506
comp     0.9974173   0.3058883   0.2289608
ave      2.1575769   0.6211496   0.4629693
cent     2.1575769   0.6211496   0.4629693
aveto    2.1575769   0.6211496   0.4629693
haus     2.0844313   0.6507246   0.4870537

Silhouette Coefficient
[1] 0.8201804
