
With 2 centroids
             comp        ave        cent
sin   1393.626111 373.100189 281.5902167
comp     0.999283   0.267527   0.2019109
ave      1.541508   0.412691   0.3114706
cent     1.541508   0.412691   0.3114706
aveto    1.541508   0.412691   0.3114706
haus     2.719475   0.728055   0.5494856

With 3 centroids
             comp         ave        cent
sin   854.7799264 241.3762150 184.3006801
comp    0.9945373   0.3130920   0.2354127
ave     1.8215903   0.5804216   0.4360035
cent    1.8215903   0.5804216   0.4360035
aveto   1.8215903   0.5804216   0.4360035
haus    1.8059475   0.5756050   0.4323693

With 4 centroids
              comp         ave        cent
sin   1095.8156671 285.2856331 217.6699591
comp     0.9988918   0.2953525   0.2210014
ave      2.5548631   0.6902765   0.5237457
cent     2.5548631   0.6902765   0.5237457
aveto    2.5548631   0.6902765   0.5237457
haus     1.7195821   0.5213037   0.3888207

With 5 centroids
             comp         ave        cent
sin   861.5575128 210.0829610 153.7283938
comp    0.9982925   0.3023417   0.2274609
ave     2.3759340   0.6464486   0.4773358
cent    2.3759340   0.6464486   0.4773358
aveto   2.3759340   0.6464486   0.4773358
haus    1.7886326   0.5522799   0.4133252

With 6 centroids
              comp         ave        cent
sin   1835.9157219 406.0489031 292.9183834
comp     0.9895823   0.3066564   0.2314091
ave      2.2121070   0.6414697   0.4804553
cent     2.2121070   0.6414697   0.4804553
aveto    2.2121070   0.6414697   0.4804553
haus     1.7795034   0.5635498   0.4248182

With 7 centroids
            comp        ave       cent
sin   71.6813096 21.5925107 16.8241867
comp   0.9794493  0.3211302  0.2456957
ave    2.2789350  0.7183619  0.5571165
cent   2.2789350  0.7183619  0.5571165
aveto  2.2789350  0.7183619  0.5571165
haus   2.3991822  0.7543091  0.5840076

With 8 centroids
             comp         ave        cent
sin   687.4476506 208.6640039 155.0111542
comp    0.9980005   0.3206459   0.2404911
ave     2.2652840   0.6808576   0.5078417
cent    2.2652840   0.6808576   0.5078417
aveto   2.2652840   0.6808576   0.5078417
haus    2.2607861   0.6794586   0.5056878

With 9 centroids
              comp         ave        cent
sin   1492.6376376 410.6050109 302.2650199
comp     0.9983588   0.3284549   0.2476263
ave      2.1471696   0.6673473   0.4987743
cent     2.1471696   0.6673473   0.4987743
aveto    2.1471696   0.6673473   0.4987743
haus     2.2287206   0.6773106   0.5078925

With 10 centroids
             comp         ave       cent
sin   365.5800953 117.6113639 88.6149310
comp    0.9928966   0.3349404  0.2527098
ave     2.1981929   0.6866914  0.5127459
cent    2.1981929   0.6866914  0.5127459
aveto   2.1981929   0.6866914  0.5127459
haus    2.2360589   0.6991663  0.5217235
