
With 2 centroids
             comp         ave        cent
sin   0.001133575 0.003412354 0.004545466
comp  1.580913756 4.758957820 6.339226139
ave   1.024827699 3.084995480 4.109404774
cent  1.024827699 3.084995480 4.109404774
aveto 1.024827699 3.084995480 4.109404774
haus  0.580913756 1.748700112 2.329376699

With 3 centroids
             comp         ave        cent
sin   0.001235588 0.003729484 0.004956805
comp  1.544309787 4.661326582 6.195303713
ave   0.965424419 2.914025765 3.872990730
cent  0.965424419 2.914025765 3.872990730
aveto 0.965424419 2.914025765 3.872990730
haus  0.979638539 2.956929498 3.930013479

With 4 centroids
              comp         ave       cent
sin   0.0004987725 0.001502289 0.00203054
comp  0.7774267160 2.341588312 3.16496244
ave   0.2485521087 0.748632251 1.01187427
cent  0.2485521087 0.748632251 1.01187427
aveto 0.2485521087 0.748632251 1.01187427
haus  0.6164472734 1.856722570 2.50960306

With 5 centroids
              comp         ave        cent
sin   0.0005209603 0.001560795 0.002063259
comp  0.7933033595 2.376733621 3.141870771
ave   0.2714605991 0.813294845 1.075117244
cent  0.2714605991 0.813294845 1.075117244
aveto 0.2714605991 0.813294845 1.075117244
haus  0.6208789189 1.860150702 2.458985336

With 6 centroids
              comp          ave         cent
sin   0.0001770807 0.0005235988 0.0007045479
comp  0.8770597999 2.5933230265 3.4895427364
ave   0.3290930412 0.9730745403 1.3093568211
cent  0.3290930412 0.9730745403 1.3093568211
aveto 0.3290930412 0.9730745403 1.3093568211
haus  0.6687851119 1.9774886850 2.6608838184

With 7 centroids
             comp        ave       cent
sin   0.005908393 0.01679675 0.02166833
comp  0.423594502 1.20422081 1.55348236
ave   0.260179533 0.73965457 0.95417744
cent  0.260179533 0.73965457 0.95417744
aveto 0.260179533 0.73965457 0.95417744
haus  0.165014147 0.46911249 0.60516972

With 8 centroids
             comp          ave        cent
sin   0.000340148 0.0009896899 0.001283633
comp  0.411217963 1.1964738704 1.551833220
ave   0.253599056 0.7378681665 0.957019088
cent  0.253599056 0.7378681665 0.957019088
aveto 0.253599056 0.7378681665 0.957019088
haus  0.250918811 0.7300697637 0.946904517

With 9 centroids
              comp          ave         cent
sin   0.0001523799 0.0004382511 0.0005822676
comp  0.4418202707 1.2706938738 1.6882646078
ave   0.2667134536 0.7670792265 1.0191539726
cent  0.2667134536 0.7670792265 1.0191539726
aveto 0.2667134536 0.7670792265 1.0191539726
haus  0.2727947429 0.7845692730 1.0423915337

With 10 centroids
             comp        ave        cent
sin   0.001721077 0.00494989 0.006576504
comp  0.339879468 0.97750779 1.298732797
ave   0.203211287 0.58444430 0.776502228
cent  0.203211287 0.58444430 0.776502228
aveto 0.203211287 0.58444430 0.776502228
haus  0.203915620 0.58646999 0.779193592
