
Dunn Index
              comp        ave        cent
sin   0.0004334286 0.00121337 0.001588773
comp  0.3369644075 0.94332171 1.235174191
ave   0.2082685986 0.58304167 0.763427805
cent  0.2082685986 0.58304167 0.763427805
aveto 0.2082685986 0.58304167 0.763427805
haus  0.2023545352 0.56648543 0.741749258

Davies Index
             comp         ave        cent
sin   575.1833526 168.9552496 126.3436370
comp    0.9934207   0.3339777   0.2518741
ave     2.2126317   0.6987641   0.5242975
cent    2.2126317   0.6987641   0.5242975
aveto   2.2126317   0.6987641   0.5242975
haus    2.2586665   0.7124523   0.5346684

Silhouette Coefficient
[1] 0.6579851
