
Dunn Index
           comp         ave       cent
sin   0.0013774 0.004200757 0.00560854
comp  1.5794792 4.817053538 6.43137455
ave   1.0177647 3.103951515 4.14416710
cent  1.0177647 3.103951515 4.14416710
aveto 1.0177647 3.103951515 4.14416710
haus  0.5794792 1.767280281 2.35954227

Davies Index
              comp         ave        cent
sin   1145.7109357 305.5212878 229.9494591
comp     0.9991279   0.2664327   0.2005296
ave      1.5505567   0.4134796   0.3112039
cent     1.5505567   0.4134796   0.3112039
aveto    1.5505567   0.4134796   0.3112039
haus     2.7233104   0.7262122   0.5465809

Silhouette Coefficient
[1] 0.9374562
