
Dunn Index
             comp          ave        cent
sin   0.000340148 0.0009896899 0.001283633
comp  0.411217963 1.1964738704 1.551833220
ave   0.253599056 0.7378681665 0.957019088
cent  0.253599056 0.7378681665 0.957019088
aveto 0.253599056 0.7378681665 0.957019088
haus  0.250918811 0.7300697637 0.946904517

Davies Index
             comp         ave        cent
sin   687.4476506 208.6640039 155.0111542
comp    0.9980005   0.3206459   0.2404911
ave     2.2652840   0.6808576   0.5078417
cent    2.2652840   0.6808576   0.5078417
aveto   2.2652840   0.6808576   0.5078417
haus    2.2607861   0.6794586   0.5056878

Silhouette Coefficient
[1] 0.6735865
