
With 2 centroids
              comp         ave        cent
sin   0.0005568445 0.001644943 0.002176117
comp  1.5729237451 4.646485762 6.146897731
ave   1.0108485040 2.986090837 3.950339230
cent  1.0108485040 2.986090837 3.950339230
aveto 1.0108485040 2.986090837 3.950339230
haus  0.5729237451 1.692441883 2.238953846

With 3 centroids
             comp        ave       cent
sin   0.003542037 0.01056465 0.01417774
comp  1.543107952 4.60254816 6.17660827
ave   0.974013304 2.90513903 3.89868941
cent  0.974013304 2.90513903 3.89868941
aveto 0.974013304 2.90513903 3.89868941
haus  0.976878940 2.91368621 3.91015971

With 4 centroids
              comp          ave         cent
sin   7.267301e-05 0.0002222113 0.0003005382
comp  7.759007e-01 2.3724609702 3.2087260681
ave   2.490084e-01 0.7613895044 1.0297705131
cent  2.490084e-01 0.7613895044 1.0297705131
aveto 2.490084e-01 0.7613895044 1.0297705131
haus  6.151953e-01 1.8810742893 2.5441312561

With 5 centroids
             comp         ave        cent
sin   0.000640062 0.001877758 0.002495373
comp  0.842554885 2.471813556 3.284819641
ave   0.279601909 0.820271534 1.090067672
cent  0.279601909 0.820271534 1.090067672
aveto 0.279601909 0.820271534 1.090067672
haus  0.665482447 1.952333983 2.594477645

With 6 centroids
              comp         ave        cent
sin   0.0006245457 0.001842882 0.002429416
comp  0.8846166066 2.610287384 3.441064609
ave   0.3280452299 0.967981291 1.276061090
cent  0.3280452299 0.967981291 1.276061090
aveto 0.3280452299 0.967981291 1.276061090
haus  0.2062456857 0.608580607 0.802273804

With 7 centroids
             comp        ave       cent
sin   0.005945562 0.01688411 0.02204145
comp  0.423832839 1.20359372 1.57123784
ave   0.260777016 0.74055040 0.96675547
cent  0.260777016 0.74055040 0.96675547
aveto 0.260777016 0.74055040 0.96675547
haus  0.164874756 0.46820870 0.61122554

With 8 centroids
              comp         ave        cent
sin   0.0006136392 0.001807768 0.002363767
comp  0.4162147489 1.226159739 1.603279059
ave   0.2581862723 0.760611230 0.994545832
cent  0.2581862723 0.760611230 0.994545832
aveto 0.2581862723 0.760611230 0.994545832
haus  0.1630772807 0.480422177 0.628181461

With 9 centroids
              comp         ave        cent
sin   0.0008129644 0.002314795 0.003081674
comp  0.4370470217 1.244426398 1.656698188
ave   0.2680549237 0.763246531 1.016106012
cent  0.2680549237 0.763246531 1.016106012
aveto 0.2680549237 0.763246531 1.016106012
haus  0.1689973966 0.481194954 0.640612261

With 10 centroids
             comp       ave       cent
sin   0.003785765 0.0107794 0.01435056
comp  0.336129159 0.9570778 1.27415253
ave   0.198701467 0.5657729 0.75321040
cent  0.198701467 0.5657729 0.75321040
aveto 0.198701467 0.5657729 0.75321040
haus  0.141977257 0.4042591 0.53818801
