
With 2 centroids
            comp         ave        cent
sin   0.00173596 0.005182255 0.006873958
comp  1.57806211 4.710891263 6.248721062
ave   1.01582205 3.032470765 4.022394676
cent  1.01582205 3.032470765 4.022394676
aveto 1.01582205 3.032470765 4.022394676
haus  0.57806211 1.725653086 2.288977644

With 3 centroids
             comp        ave      cent
sin   0.004054273 0.01215991 0.0162266
comp  1.542330339 4.62588239 6.1729364
ave   0.971367447 2.91340412 3.8877466
cent  0.971367447 2.91340412 3.8877466
aveto 0.971367447 2.91340412 3.8877466
haus  0.977002618 2.93030558 3.9103005

With 4 centroids
             comp         ave       cent
sin   0.003249193 0.009572011 0.01267053
comp  0.860767591 2.535791981 3.35664464
ave   0.303718639 0.894744756 1.18437956
cent  0.303718639 0.894744756 1.18437956
aveto 0.303718639 0.894744756 1.18437956
haus  0.204137039 0.601380759 0.79605169

With 5 centroids
              comp          ave         cent
sin   7.076376e-05 0.0002132331 0.0002800419
comp  7.425314e-01 2.2374765912 2.9385083621
ave   2.641752e-01 0.7960414736 1.0454520668
cent  2.641752e-01 0.7960414736 1.0454520668
aveto 2.641752e-01 0.7960414736 1.0454520668
haus  5.743243e-01 1.7306165290 2.2728421661

With 6 centroids
              comp          ave         cent
sin   0.0001470533 0.0004337679 0.0005790024
comp  0.6817597143 2.0110093861 2.6843367496
ave   0.2734708252 0.8066660215 1.0767544206
cent  0.2734708252 0.8066660215 1.0767544206
aveto 0.2734708252 0.8066660215 1.0767544206
haus  0.1729604672 0.5101872634 0.6810084676

With 7 centroids
              comp          ave         cent
sin   0.0001392858 0.0004096387 0.0005464078
comp  0.3109252223 0.9144290811 1.2197363181
ave   0.1887268681 0.5550445064 0.7403613430
cent  0.1887268681 0.5550445064 0.7403613430
aveto 0.1887268681 0.5550445064 0.7403613430
haus  0.1920568864 0.5648380688 0.7534247549

With 8 centroids
              comp         ave        cent
sin   0.0003498772 0.001039278 0.001366917
comp  0.4000546043 1.188325836 1.562953046
ave   0.2428306145 0.721306267 0.948702613
cent  0.2428306145 0.721306267 0.948702613
aveto 0.2428306145 0.721306267 0.948702613
haus  0.1536861742 0.456510810 0.600428720

With 9 centroids
              comp         ave         cent
sin   0.0001228542 0.000358279 0.0004793366
comp  0.4424726754 1.290380482 1.7263824295
ave   0.2700929498 0.787670494 1.0538135997
cent  0.2700929498 0.787670494 1.0538135997
aveto 0.2700929498 0.787670494 1.0538135997
haus  0.2708290998 0.789817324 1.0566858144

With 10 centroids
              comp          ave         cent
sin   0.0002332674 0.0006834067 0.0008955079
comp  0.4831024401 1.4153518261 1.8546184398
ave   0.2953688884 0.8653462721 1.1339139312
cent  0.2953688884 0.8653462721 1.1339139312
aveto 0.2953688884 0.8653462721 1.1339139312
haus  0.1873359793 0.5488407806 0.7191782379
