
Dunn Index
             comp        ave        cent
sin   0.002530765 0.00748122 0.009884629
comp  1.573751812 4.65218360 6.146739597
ave   1.008454053 2.98110119 3.938806875
cent  1.008454053 2.98110119 3.938806875
aveto 1.008454053 2.98110119 3.938806875
haus  1.002530765 2.96359130 3.915671775

Davies Index
             comp         ave        cent
sin   620.8482587 169.4034862 128.6311797
comp    0.9983919   0.2724193   0.2068530
ave     1.5580492   0.4251264   0.3228063
cent    1.5580492   0.4251264   0.3228063
aveto   1.5580492   0.4251264   0.3228063
haus    1.5672547   0.4276382   0.3247135

Silhouette Coefficient
[1] 0.8535021
