
Dunn Index
             comp         ave        cent
sin   0.000403511 0.001223696 0.001633873
comp  0.854870078 2.592497007 3.461489350
ave   0.283421741 0.859510743 1.147614549
cent  0.283421741 0.859510743 1.147614549
aveto 0.283421741 0.859510743 1.147614549
haus  0.185749646 0.563308290 0.752126480

Davies Index
              comp         ave        cent
sin   1465.3275774 408.6651953 323.7089076
comp     0.9991498   0.3022616   0.2317904
ave      2.4916118   0.7152909   0.5604632
cent     2.4916118   0.7152909   0.5604632
aveto    2.4916118   0.7152909   0.5604632
haus     3.3174879   0.9319740   0.7361984

Silhouette Coefficient
[1] 0.6636336
