
With 2 centroids
              comp         ave        cent
sin   1042.7733959 286.2105704 217.6664570
comp     0.9990419   0.2742076   0.2085380
ave      1.5399649   0.4226750   0.3214492
cent     1.5399649   0.4226750   0.3214492
aveto    1.5399649   0.4226750   0.3214492
haus     2.7196743   0.7464704   0.5676994

With 3 centroids
             comp         ave        cent
sin   594.1549057 187.3927545 139.5026114
comp    0.9983185   0.3141051   0.2338792
ave     1.8234642   0.5787815   0.4306410
cent    1.8234642   0.5787815   0.4306410
aveto   1.8234642   0.5787815   0.4306410
haus    2.4389129   0.7085839   0.5312447

With 4 centroids
             comp        ave       cent
sin   285.4912219 83.0230150 63.4523090
comp    0.9964789  0.2974744  0.2260035
ave     2.5296759  0.7006569  0.5415789
cent    2.5296759  0.7006569  0.5415789
aveto   2.5296759  0.7006569  0.5415789
haus    2.1132127  0.6458763  0.4892547

With 5 centroids
             comp         ave        cent
sin   996.4378224 248.7723711 182.5738924
comp    0.9987066   0.2978649   0.2225333
ave     2.4103069   0.6393444   0.4709501
cent    2.4103069   0.6393444   0.4709501
aveto   2.4103069   0.6393444   0.4709501
haus    1.7760534   0.5394347   0.4009347

With 6 centroids
              comp         ave        cent
sin   1877.3774832 399.4077381 288.8176894
comp     0.9849271   0.3097036   0.2365555
ave      2.2060657   0.6428426   0.4853180
cent     2.2060657   0.6428426   0.4853180
aveto    2.2060657   0.6428426   0.4853180
haus     2.8013429   0.7540850   0.5660589

With 7 centroids
             comp         ave        cent
sin   480.1595400 128.3469489 100.1774115
comp    0.9809799   0.3244946   0.2484649
ave     2.2874553   0.7098264   0.5478852
cent    2.2874553   0.7098264   0.5478852
aveto   2.2874553   0.7098264   0.5478852
haus    2.0626638   0.6674864   0.5098098

With 8 centroids
             comp         ave        cent
sin   844.5207188 258.9897668 192.8627784
comp    0.9970613   0.3192349   0.2367703
ave     2.2756522   0.6738899   0.4965110
cent    2.2756522   0.6738899   0.4965110
aveto   2.2756522   0.6738899   0.4965110
haus    2.2804714   0.6672800   0.4909294

With 9 centroids
              comp         ave        cent
sin   1025.4142427 265.8680274 195.8270616
comp     0.9958116   0.3272141   0.2456895
ave      2.1697596   0.6680725   0.4978330
cent     2.1697596   0.6680725   0.4978330
aveto    2.1697596   0.6680725   0.4978330
haus     1.8561159   0.6152388   0.4623792

With 10 centroids
            comp         ave       cent
sin   433.156381 131.7618124 98.7438338
comp    0.995320   0.3318240  0.2488864
ave     2.228631   0.6812793  0.5060317
cent    2.228631   0.6812793  0.5060317
aveto   2.228631   0.6812793  0.5060317
haus    2.068188   0.6761505  0.5065257

With 11 centroids
             comp         ave        cent
sin   459.1237067 140.4170312 105.3488373
comp    0.9958526   0.3309373   0.2496602
ave     2.2212247   0.6755779   0.5042396
cent    2.2212247   0.6755779   0.5042396
aveto   2.2212247   0.6755779   0.5042396
haus    2.0810092   0.6738653   0.5062658

With 12 centroids
             comp         ave        cent
sin   689.8827387 222.3829651 167.7505466
comp    0.9829284   0.3233125   0.2437842
ave     2.0446840   0.6446017   0.4846425
cent    2.0446840   0.6446017   0.4846425
aveto   2.0446840   0.6446017   0.4846425
haus    2.1162484   0.6727690   0.5064956
