
With 2 centroids
              comp        ave        cent
sin   0.0009121845 0.00271261 0.003580813
comp  1.5753410843 4.68467213 6.184057785
ave   1.0115229726 3.00801745 3.970769617
cent  1.0115229726 3.00801745 3.970769617
aveto 1.0115229726 3.00801745 3.970769617
haus  1.0009121845 2.97646361 3.929116588

With 3 centroids
              comp         ave        cent
sin   0.0006303953 0.001881133 0.002494321
comp  1.5436503747 4.606335207 6.107848500
ave   0.9596202916 2.863558230 3.796983731
cent  0.9596202916 2.863558230 3.796983731
aveto 0.9596202916 2.863558230 3.796983731
haus  0.5634627999 1.681403105 2.229485040

With 4 centroids
              comp          ave        cent
sin   0.0003148837 0.0009684014 0.001302172
comp  0.8443966231 2.5968790270 3.491922387
ave   0.2930358920 0.9012100964 1.211822221
cent  0.2930358920 0.9012100964 1.211822221
aveto 0.2930358920 0.9012100964 1.211822221
haus  0.6519786839 2.0051119628 2.696196195

With 5 centroids
              comp          ave        cent
sin   0.0002636246 0.0007875252 0.001065883
comp  0.6924806347 2.0686456505 2.799826675
ave   0.2510281868 0.7498958682 1.014953167
cent  0.2510281868 0.7498958682 1.014953167
aveto 0.2510281868 0.7498958682 1.014953167
haus  0.1601795137 0.4785038566 0.647635259

With 6 centroids
              comp         ave      cent
sin   0.0006913583 0.002086081 0.0027860
comp  0.8271651037 2.495859880 3.3332680
ave   0.3169196718 0.956262650 1.2771068
cent  0.3169196718 0.956262650 1.2771068
aveto 0.3169196718 0.956262650 1.2771068
haus  0.2013645099 0.607590431 0.8114485

With 7 centroids
             comp        ave       cent
sin   0.005913238 0.01646172 0.02145757
comp  0.423828319 1.17988512 1.53796016
ave   0.257626880 0.71720107 0.93485938
cent  0.257626880 0.71720107 0.93485938
aveto 0.257626880 0.71720107 0.93485938
haus  0.165211447 0.45992804 0.59950837

With 8 centroids
              comp        ave       cent
sin   0.0009207198 0.00266076 0.00351014
comp  0.4245403974 1.22686637 1.61851230
ave   0.2588150366 0.74794169 0.98670308
cent  0.2588150366 0.74794169 0.98670308
aveto 0.2588150366 0.74794169 0.98670308
haus  0.1645298437 0.47546978 0.62725144

With 9 centroids
              comp          ave         cent
sin   0.0001993508 0.0005734546 0.0007623901
comp  0.4551555061 1.3093052843 1.7406807500
ave   0.2760704793 0.7941473465 1.0557942561
cent  0.2760704793 0.7941473465 1.0557942561
aveto 0.2760704793 0.7941473465 1.0557942561
haus  0.1759041490 0.5060077903 0.6727216566

With 10 centroids
              comp          ave         cent
sin   0.0002318676 0.0006625725 0.0008808696
comp  0.4268946010 1.2198715561 1.6217813832
ave   0.2579664782 0.7371514385 0.9800199649
cent  0.2579664782 0.7371514385 0.9800199649
aveto 0.2579664782 0.7371514385 0.9800199649
haus  0.2630801774 0.7517640761 0.9994470132

With 11 centroids
              comp          ave        cent
sin   0.0002311896 0.0006606352 0.000878294
comp  0.3016461231 0.8619680939 1.145959835
ave   0.1808820799 0.5168791167 0.687174748
cent  0.1808820799 0.5168791167 0.687174748
aveto 0.1808820799 0.5168791167 0.687174748
haus  0.1191189023 0.3403879094 0.452535164

With 12 centroids
             comp          ave        cent
sin   0.000280317 0.0008037602 0.001040734
comp  0.365745428 1.0487113730 1.357904384
ave   0.219319225 0.6288597131 0.814267284
cent  0.219319225 0.6288597131 0.814267284
aveto 0.219319225 0.6288597131 0.814267284
haus  0.144431473 0.4141321174 0.536231257
