
Dunn Index
              comp         ave      cent
sin   0.0006913583 0.002086081 0.0027860
comp  0.8271651037 2.495859880 3.3332680
ave   0.3169196718 0.956262650 1.2771068
cent  0.3169196718 0.956262650 1.2771068
aveto 0.3169196718 0.956262650 1.2771068
haus  0.2013645099 0.607590431 0.8114485

Davies Index
             comp         ave        cent
sin   773.2074314 210.6731173 155.6774790
comp    0.9900103   0.3091461   0.2331307
ave     2.1767303   0.6367990   0.4771140
cent    2.1767303   0.6367990   0.4771140
aveto   2.1767303   0.6367990   0.4771140
haus    2.6946459   0.7491315   0.5581809

Silhouette Coefficient
[1] 0.6944763
