
Dunn Index
              comp        ave       cent
sin   0.0009207198 0.00266076 0.00351014
comp  0.4245403974 1.22686637 1.61851230
ave   0.2588150366 0.74794169 0.98670308
cent  0.2588150366 0.74794169 0.98670308
aveto 0.2588150366 0.74794169 0.98670308
haus  0.1645298437 0.47546978 0.62725144

Davies Index
             comp         ave       cent
sin   341.9384685 109.0314593 81.2575270
comp    0.9965144   0.3195630  0.2383709
ave     2.2423007   0.6795216  0.5042512
cent    2.2423007   0.6795216  0.5042512
aveto   2.2423007   0.6795216  0.5042512
haus    2.3773484   0.7144438  0.5297224

Silhouette Coefficient
[1] 0.674356
