
Dunn Index
             comp          ave         cent
sin   0.000174326 0.0005025631 0.0006545407
comp  0.292880348 0.8443426262 1.0996759437
ave   0.162762320 0.4692263112 0.6111226302
cent  0.162762320 0.4692263112 0.6111226302
aveto 0.162762320 0.4692263112 0.6111226302
haus  0.166409937 0.4797419973 0.6248183110

Davies Index
             comp         ave        cent
sin   657.4620696 207.7032106 156.8340705
comp    0.9966273   0.3284287   0.2474636
ave     2.1876832   0.6772894   0.5053464
cent    2.1876832   0.6772894   0.5053464
aveto   2.1876832   0.6772894   0.5053464
haus    2.2888618   0.7003929   0.5220894

Silhouette Coefficient
[1] 0.6519965
