
Dunn Index
              comp          ave         cent
sin   9.458228e-05 0.0002832052 0.0003782184
comp  8.648309e-01 2.5895404774 3.4583110168
ave   3.032642e-01 0.9080561087 1.2127018180
cent  3.032642e-01 0.9080561087 1.2127018180
aveto 3.032642e-01 0.9080561087 1.2127018180
haus  6.660879e-01 1.9944495399 2.6635717328

Davies Index
              comp          ave         cent
sin   4768.5118528 1327.5941050 1089.0050318
comp     0.9986806    0.3095572    0.2384839
ave      2.4120107    0.7201981    0.5678327
cent     2.4120107    0.7201981    0.5678327
aveto    2.4120107    0.7201981    0.5678327
haus     2.0015247    0.6178515    0.4787881

Silhouette Coefficient
[1] 0.6683043
