
With 2 centroids
             comp         ave        cent
sin   0.001385766 0.004121614 0.005445596
comp  1.576477159 4.688835066 6.195025192
ave   1.017112137 3.025144404 3.996908726
cent  1.017112137 3.025144404 3.996908726
aveto 1.017112137 3.025144404 3.996908726
haus  0.576477159 1.714586413 2.265361412

With 3 centroids
             comp        ave        cent
sin   0.001933081 0.00585135 0.007886205
comp  1.542222556 4.66823934 6.291658011
ave   0.977901789 2.96006539 3.989452496
cent  0.977901789 2.96006539 3.989452496
aveto 0.977901789 2.96006539 3.989452496
haus  0.972169813 2.94271495 3.966068299

With 4 centroids
              comp         ave        cent
sin   0.0004623374 0.001417496 0.001895443
comp  0.8116730353 2.488536214 3.327612512
ave   0.2663763662 0.816692443 1.092062062
cent  0.2663763662 0.816692443 1.092062062
aveto 0.2663763662 0.816692443 1.092062062
haus  0.1727346599 0.529593122 0.708159555

With 5 centroids
              comp         ave        cent
sin   0.0005692648 0.001715233 0.002318408
comp  0.7183619380 2.164473349 2.925626530
ave   0.2630447414 0.792571686 1.071285425
cent  0.2630447414 0.792571686 1.071285425
aveto 0.2630447414 0.792571686 1.071285425
haus  0.5520949594 1.663499640 2.248481685

With 6 centroids
              comp          ave       cent
sin   0.0002873575 0.0008580366 0.00115889
comp  0.6791002885 2.0277628409 2.73875798
ave   0.2796662240 0.8350707346 1.12787186
cent  0.2796662240 0.8350707346 1.12787186
aveto 0.2796662240 0.8350707346 1.12787186
haus  0.1761531934 0.5259854927 0.71041196

With 7 centroids
             comp        ave       cent
sin   0.005987195 0.01681893 0.02166985
comp  0.424304822 1.19193627 1.53571443
ave   0.259855261 0.72997264 0.94051129
cent  0.259855261 0.72997264 0.94051129
aveto 0.259855261 0.72997264 0.94051129
haus  0.165099649 0.46378983 0.59755605

With 8 centroids
              comp          ave        cent
sin   0.0003020268 0.0009142335 0.001203998
comp  0.4161650967 1.2597295138 1.658998717
ave   0.2571057574 0.7782577475 1.024925264
cent  0.2571057574 0.7782577475 1.024925264
aveto 0.2571057574 0.7782577475 1.024925264
haus  0.2539379418 0.7686687868 1.012297098

With 9 centroids
             comp         ave        cent
sin   0.000435901 0.001288708 0.001678948
comp  0.417951904 1.235642434 1.609813742
ave   0.256006516 0.756863437 0.986053188
cent  0.256006516 0.756863437 0.986053188
aveto 0.256006516 0.756863437 0.986053188
haus  0.162277588 0.479761120 0.625040078

With 10 centroids
              comp          ave         cent
sin   0.0002207081 0.0006243805 0.0008285543
comp  0.3305181556 0.9350318879 1.2407894363
ave   0.1990370952 0.5630735491 0.7471998769
cent  0.1990370952 0.5630735491 0.7471998769
aveto 0.1990370952 0.5630735491 0.7471998769
haus  0.1950276527 0.5517308843 0.7321481350

With 11 centroids
              comp         ave        cent
sin   0.0004099781 0.001159823 0.001539088
comp  0.2917274305 0.825293393 1.095166205
ave   0.1758324692 0.497427941 0.660088006
cent  0.1758324692 0.497427941 0.660088006
aveto 0.1758324692 0.497427941 0.660088006
haus  0.1163562688 0.329170485 0.436809981

With 12 centroids
             comp          ave         cent
sin   0.000203385 0.0005753738 0.0007635224
comp  0.249214823 0.7050257381 0.9355707537
ave   0.138127088 0.3907598704 0.5185392345
cent  0.138127088 0.3907598704 0.5185392345
aveto 0.138127088 0.3907598704 0.5185392345
haus  0.135403755 0.3830555936 0.5083156416
