
Dunn Index
            comp        ave       cent
sin   0.00354976 0.01054007 0.01396992
comp  1.54315951 4.58200150 6.07303600
ave   0.97150733 2.88463247 3.82332411
cent  0.97150733 2.88463247 3.82332411
aveto 0.97150733 2.88463247 3.82332411
haus  0.56977885 1.69180666 2.24233945

Davies Index
             comp        ave       cent
sin   310.4642857 89.7898863 68.6108608
comp    0.9933342  0.3186140  0.2402048
ave     1.8099553  0.5875617  0.4425667
cent    1.8099553  0.5875617  0.4425667
aveto   1.8099553  0.5875617  0.4425667
haus    2.4395145  0.7315995  0.5564306

Silhouette Coefficient
[1] 0.8251473
