
Dunn Index
             comp        ave       cent
sin   0.006145269 0.01723683 0.02250978
comp  0.424144926 1.18968193 1.55361929
ave   0.260951870 0.73194257 0.95585219
cent  0.260951870 0.73194257 0.95585219
aveto 0.260951870 0.73194257 0.95585219
haus  0.265208281 0.74388135 0.97144319

Davies Index
            comp        ave       cent
sin   69.0660045 20.5891551 16.0090221
comp   0.9786304  0.3226070  0.2469738
ave    2.2627824  0.7089941  0.5497454
cent   2.2627824  0.7089941  0.5497454
aveto  2.2627824  0.7089941  0.5497454
haus   1.9256266  0.6289836  0.4841103

Silhouette Coefficient
[1] 0.666969
