
With 2 centroids
             comp        ave        cent
sin   0.001527923 0.00452777 0.006004541
comp  1.570207534 4.65307249 6.170712326
ave   1.003395706 2.97341139 3.943215225
cent  1.003395706 2.97341139 3.943215225
aveto 1.003395706 2.97341139 3.943215225
haus  1.001527923 2.96787649 3.935875080

With 3 centroids
             comp        ave       cent
sin   0.004890032 0.01442204 0.01942636
comp  1.542024437 4.54785063 6.12591597
ave   0.966473605 2.85039425 3.83945672
cent  0.966473605 2.85039425 3.83945672
aveto 0.966473605 2.85039425 3.83945672
haus  0.569409646 1.67934434 2.26206250

With 4 centroids
             comp         ave        cent
sin   0.001331636 0.004038385 0.005388622
comp  0.806165000 2.444816231 3.262242757
ave   0.263924683 0.800391171 1.068002686
cent  0.263924683 0.800391171 1.068002686
aveto 0.263924683 0.800391171 1.068002686
haus  0.639427258 1.939159027 2.587518609

With 5 centroids
              comp         ave        cent
sin   0.0006381329 0.001881843 0.002486949
comp  0.8301287990 2.448035378 3.235201262
ave   0.2823452021 0.832631086 1.100363648
cent  0.2823452021 0.832631086 1.100363648
aveto 0.2823452021 0.832631086 1.100363648
haus  0.1783136949 0.525843982 0.694929138

With 6 centroids
             comp         ave        cent
sin   0.000607507 0.001787385 0.002350055
comp  0.787279889 2.316307061 3.045481210
ave   0.312188950 0.918511295 1.207658923
cent  0.312188950 0.918511295 1.207658923
aveto 0.312188950 0.918511295 1.207658923
haus  0.592706673 1.743840623 2.292802168

With 7 centroids
             comp         ave        cent
sin   0.002151684 0.006321468 0.008264942
comp  0.380606756 1.118190830 1.461967612
ave   0.236179146 0.693874585 0.907199508
cent  0.236179146 0.693874585 0.907199508
aveto 0.236179146 0.693874585 0.907199508
haus  0.148163928 0.435293233 0.569119860

With 8 centroids
              comp         ave        cent
sin   0.0003740451 0.001101823 0.001446579
comp  0.4096321009 1.206651851 1.584207454
ave   0.2496898836 0.735510619 0.965648381
cent  0.2496898836 0.735510619 0.965648381
aveto 0.2496898836 0.735510619 0.965648381
haus  0.2477607048 0.729827844 0.958187492

With 9 centroids
              comp          ave        cent
sin   0.0003283542 0.0009496071 0.001254365
comp  0.4534887630 1.3114988750 1.732399316
ave   0.2724204724 0.7878456364 1.040689601
cent  0.2724204724 0.7878456364 1.040689601
aveto 0.2724204724 0.7878456364 1.040689601
haus  0.2768631409 0.8006939255 1.057661303

With 10 centroids
              comp         ave        cent
sin   0.0004743642 0.001371871 0.001812147
comp  0.3362757365 0.972516380 1.284626882
ave   0.2091090660 0.604747741 0.798829943
cent  0.2091090660 0.604747741 0.798829943
aveto 0.2091090660 0.604747741 0.798829943
haus  0.1421369934 0.411063122 0.542985957

With 11 centroids
              comp          ave         cent
sin   0.0001476374 0.0004343919 0.0005704702
comp  0.3541698482 1.0420697340 1.3685103063
ave   0.2082742122 0.6128027386 0.8047703874
cent  0.2082742122 0.6128027386 0.8047703874
aveto 0.2082742122 0.6128027386 0.8047703874
haus  0.2086400628 0.6138791766 0.8061840322

With 12 centroids
              comp          ave         cent
sin   0.0002283653 0.0006719165 0.0008824022
comp  0.3503487295 1.0308269019 1.3537455251
ave   0.2006394449 0.5903390535 0.7752696893
cent  0.2006394449 0.5903390535 0.7752696893
aveto 0.2006394449 0.5903390535 0.7752696893
haus  0.1400497455 0.4120667013 0.5411514309
